Time,Cyl[1].WP_Time,Cyl[2].WP_Time,Cyl[3].WP_Time,Cyl[4].WP_Time,Cyl[5].WP_Time,Cyl[6].WP_Time,Cyl[7].WP_Time,Cyl[8].WP_Time,Cyl[9].WP_Time,Cyl[10].WP_Time,Cyl[11].WP_Time,Cyl[12].WP_Time,Cyl[13].WP_Time,Cyl[14].WP_Time,Cyl[15].WP_Time,Cyl[16].WP_Time,Cyl[17].WP_Time,Cyl[18].WP_Time,Cyl[19].WP_Time,Cyl[20].WP_Time,Cyl[21].WP_Time,Cyl[22].WP_Time,Cyl[23].WP_Time,Cyl[24].WP_Time,Cyl[25].WP_Time,Cyl[26].WP_Time,Cyl[27].WP_Time,Cyl[28].WP_Time,Cyl[29].WP_Time,Cyl[30].WP_Time,Cyl[31].WP_Time,Cyl[32].WP_Time,Cyl[33].WP_Time,Cyl[34].WP_Time,Cyl[35].WP_Time,Cyl[36].WP_Time,Cyl[37].WP_Time,Cyl[38].WP_Time,Cyl[39].WP_Time,Cyl[40].WP_Time,Cyl[41].WP_Time,Cyl[42].WP_Time,Cyl[43].WP_Time,Cyl[44].WP_Time,Cyl[45].WP_Time,Cyl[46].WP_Time,Cyl[47].WP_Time,Cyl[48].WP_Time,Cyl[49].WP_Time,Cyl[50].WP_Time,Cyl[1].HP_Time,Cyl[2].HP_Time,Cyl[3].HP_Time,Cyl[4].HP_Time,Cyl[5].HP_Time,Cyl[6].HP_Time,Cyl[7].HP_Time,Cyl[8].HP_Time,Cyl[9].HP_Time,Cyl[10].HP_Time,Cyl[11].HP_Time,Cyl[12].HP_Time,Cyl[13].HP_Time,Cyl[14].HP_Time,Cyl[15].HP_Time,Cyl[16].HP_Time,Cyl[17].HP_Time,Cyl[18].HP_Time,Cyl[19].HP_Time,Cyl[20].HP_Time,Cyl[21].HP_Time,Cyl[22].HP_Time,Cyl[23].HP_Time,Cyl[24].HP_Time,Cyl[25].HP_Time,Cyl[26].HP_Time,Cyl[27].HP_Time,Cyl[28].HP_Time,Cyl[29].HP_Time,Cyl[30].HP_Time,Cyl[31].HP_Time,Cyl[32].HP_Time,Cyl[33].HP_Time,Cyl[34].HP_Time,Cyl[35].HP_Time,Cyl[36].HP_Time,Cyl[37].HP_Time,Cyl[38].HP_Time,Cyl[39].HP_Time,Cyl[40].HP_Time,Cyl[41].HP_Time,Cyl[42].HP_Time,Cyl[43].HP_Time,Cyl[44].HP_Time,Cyl[45].HP_Time,Cyl[46].HP_Time,Cyl[47].HP_Time,Cyl[48].HP_Time,Cyl[49].HP_Time,Cyl[50].HP_Time,Vac[1]_Time,Vac[2]_Time,Vac[3]_Time,Vac[4]_Time,Vac[5]_Time,Vac[6]_Time,Vac[7]_Time,Vac[8]_Time,Vac[9]_Time,Vac[10]_Time
00:50:10 184,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
01:50:10 162,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
02:50:10 026,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
03:50:10 060,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
04:50:09 920,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
05:50:09 923,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
06:50:09 818,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
07:50:09 778,0.6295001,0.9103599,0.61591,0.40397,0.18695,0.8127199,0.15413,0.8040398,0.42277,0.2339401,0.6869698,0.13591,0.60856,,0.09772001,0.09702001,0.6660699,0.7333099,0.13668,0.10809003,0.6652999,0.2866801,0.5912799,0.41015,0.09850001,0.64569,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14102,0.9111898,0.628,0.10807,0.14519,0.9248,1.05509,0.67083,0.1412101,0.1414,1.48443,0.286,0.98162,,0.11996002,0.12267004,0.56087,0.5246399,0.18302,0.13007,0.3195899,0.16636,0.76731,0.36916,0.45671,0.9246301,0.17,0.108,0.526,0.362,0.246,0.338,0.599,0.31,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3017001,,0.28351,,,
08:50:09 743,0.6294199,0.9114701,0.61606,0.4044,0.18686,0.8134601,0.15415,0.8050398,0.42301,0.2337101,0.6876198,0.13562,0.6085,,0.09781998,0.09718999,0.6662799,0.7334802,0.13674,0.10807003,0.6653898,0.2869501,0.59165,0.41013,0.09858001,0.6457199,0.135,0.123,0.43,0.309,,,,,,,,,,,,,,,,,,,,,1.14121,0.9114498,0.628,0.10808999,0.14524,0.9236901,1.05496,0.6708799,0.1411901,0.14152,1.48152,0.286,0.98225,,0.11994002,0.12275004,0.55988,0.5246399,0.18324,0.13009,0.3197,0.16648,0.7670802,0.37075,0.4581701,0.9263902,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3021101,,0.28351,,,
09:50:09 657,0.6294199,0.9118699,0.61606,0.40491,0.18669,0.81359,0.15405,0.80101,0.4232001,0.2331601,0.6866899,0.13449,0.60887,,0.09836998,0.09799996,0.6665299,0.73431,0.13681,0.10774,0.6757099,0.28719,0.59196,0.4104901,0.09870001,0.6459398,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14121,0.9122597,0.628,0.10816,0.1454001,0.9237199,1.05335,0.6689999,0.1412301,0.1418701,1.47305,0.286,0.98123,,0.11958003,0.12240998,0.5594,0.52562,0.18365,0.1306,0.3202,0.16672,0.7677301,0.37559,0.4638601,0.92817,0.17,0.108,0.526,0.364,0.245,0.338,0.601,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3029901,,0.2839601,,,
