Time,Cyl[1].WP_Time,Cyl[2].WP_Time,Cyl[3].WP_Time,Cyl[4].WP_Time,Cyl[5].WP_Time,Cyl[6].WP_Time,Cyl[7].WP_Time,Cyl[8].WP_Time,Cyl[9].WP_Time,Cyl[10].WP_Time,Cyl[11].WP_Time,Cyl[12].WP_Time,Cyl[13].WP_Time,Cyl[14].WP_Time,Cyl[15].WP_Time,Cyl[16].WP_Time,Cyl[17].WP_Time,Cyl[18].WP_Time,Cyl[19].WP_Time,Cyl[20].WP_Time,Cyl[21].WP_Time,Cyl[22].WP_Time,Cyl[23].WP_Time,Cyl[24].WP_Time,Cyl[25].WP_Time,Cyl[26].WP_Time,Cyl[27].WP_Time,Cyl[28].WP_Time,Cyl[29].WP_Time,Cyl[30].WP_Time,Cyl[31].WP_Time,Cyl[32].WP_Time,Cyl[33].WP_Time,Cyl[34].WP_Time,Cyl[35].WP_Time,Cyl[36].WP_Time,Cyl[37].WP_Time,Cyl[38].WP_Time,Cyl[39].WP_Time,Cyl[40].WP_Time,Cyl[41].WP_Time,Cyl[42].WP_Time,Cyl[43].WP_Time,Cyl[44].WP_Time,Cyl[45].WP_Time,Cyl[46].WP_Time,Cyl[47].WP_Time,Cyl[48].WP_Time,Cyl[49].WP_Time,Cyl[50].WP_Time,Cyl[1].HP_Time,Cyl[2].HP_Time,Cyl[3].HP_Time,Cyl[4].HP_Time,Cyl[5].HP_Time,Cyl[6].HP_Time,Cyl[7].HP_Time,Cyl[8].HP_Time,Cyl[9].HP_Time,Cyl[10].HP_Time,Cyl[11].HP_Time,Cyl[12].HP_Time,Cyl[13].HP_Time,Cyl[14].HP_Time,Cyl[15].HP_Time,Cyl[16].HP_Time,Cyl[17].HP_Time,Cyl[18].HP_Time,Cyl[19].HP_Time,Cyl[20].HP_Time,Cyl[21].HP_Time,Cyl[22].HP_Time,Cyl[23].HP_Time,Cyl[24].HP_Time,Cyl[25].HP_Time,Cyl[26].HP_Time,Cyl[27].HP_Time,Cyl[28].HP_Time,Cyl[29].HP_Time,Cyl[30].HP_Time,Cyl[31].HP_Time,Cyl[32].HP_Time,Cyl[33].HP_Time,Cyl[34].HP_Time,Cyl[35].HP_Time,Cyl[36].HP_Time,Cyl[37].HP_Time,Cyl[38].HP_Time,Cyl[39].HP_Time,Cyl[40].HP_Time,Cyl[41].HP_Time,Cyl[42].HP_Time,Cyl[43].HP_Time,Cyl[44].HP_Time,Cyl[45].HP_Time,Cyl[46].HP_Time,Cyl[47].HP_Time,Cyl[48].HP_Time,Cyl[49].HP_Time,Cyl[50].HP_Time,Vac[1]_Time,Vac[2]_Time,Vac[3]_Time,Vac[4]_Time,Vac[5]_Time,Vac[6]_Time,Vac[7]_Time,Vac[8]_Time,Vac[9]_Time,Vac[10]_Time
00:50:11 619,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
01:50:11 515,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
02:50:11 443,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
03:50:11 353,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
04:50:11 286,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
05:50:11 316,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
06:50:11 228,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
07:50:11 117,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,
08:50:11 085,0.6292599,0.9116799,0.6167501,0.4053599,0.18747,0.8149901,0.15374,0.85949,0.42351,0.23339,0.68405,0.13074,0.6095501,,0.09639002,0.09835001,0.6673698,0.7348401,0.13652,0.10791001,0.6675999,0.2907901,0.59177,0.4104,0.09903997,0.6462798,0.135,0.123,0.43,0.304,,,,,,,,,,,,,,,,,,,,,1.14201,0.9115298,0.628,0.1087,0.14576,0.9192801,1.05186,0.6843799,0.1452,0.1417901,1.45223,0.286,0.9833797,,0.11779003,0.12166002,0.5614401,0.5269299,0.1835401,0.13123,0.3192501,0.16625,0.7681301,0.37789,0.4480201,0.93025,0.17,0.108,0.526,0.362,0.246,0.33,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31071,,0.28545,,,
09:50:11 019,0.62969,0.91118,0.61672,0.4058499,0.18735,0.8158401,0.15387,0.8536199,0.4238099,0.23483,0.6828299,0.13475,0.60956,,0.09970997,0.09931998,0.6671099,0.7352199,0.13704,0.10766999,0.67535,0.2915801,0.5919401,0.4105,0.09948996,0.6459698,0.135,0.123,0.43,0.304,0,,,,,,,,,,,,,,,,,,,,1.14226,0.9123597,0.628,0.10882998,0.14489,0.9228401,1.05176,0.6822703,0.14519,0.14115,1.45493,0.286,0.9825398,,0.11762004,0.12107003,0.56098,0.5280898,0.18345,0.1313,0.32006,0.16668,0.76652,0.3788599,0.4403799,0.9309998,0.17,0.108,0.526,0.362,0.246,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.30892,,0.2848701,,,
