Time,Cyl[1].WP_Time,Cyl[2].WP_Time,Cyl[3].WP_Time,Cyl[4].WP_Time,Cyl[5].WP_Time,Cyl[6].WP_Time,Cyl[7].WP_Time,Cyl[8].WP_Time,Cyl[9].WP_Time,Cyl[10].WP_Time,Cyl[11].WP_Time,Cyl[12].WP_Time,Cyl[13].WP_Time,Cyl[14].WP_Time,Cyl[15].WP_Time,Cyl[16].WP_Time,Cyl[17].WP_Time,Cyl[18].WP_Time,Cyl[19].WP_Time,Cyl[20].WP_Time,Cyl[21].WP_Time,Cyl[22].WP_Time,Cyl[23].WP_Time,Cyl[24].WP_Time,Cyl[25].WP_Time,Cyl[26].WP_Time,Cyl[27].WP_Time,Cyl[28].WP_Time,Cyl[29].WP_Time,Cyl[30].WP_Time,Cyl[31].WP_Time,Cyl[32].WP_Time,Cyl[33].WP_Time,Cyl[34].WP_Time,Cyl[35].WP_Time,Cyl[36].WP_Time,Cyl[37].WP_Time,Cyl[38].WP_Time,Cyl[39].WP_Time,Cyl[40].WP_Time,Cyl[41].WP_Time,Cyl[42].WP_Time,Cyl[43].WP_Time,Cyl[44].WP_Time,Cyl[45].WP_Time,Cyl[46].WP_Time,Cyl[47].WP_Time,Cyl[48].WP_Time,Cyl[49].WP_Time,Cyl[50].WP_Time,Cyl[1].HP_Time,Cyl[2].HP_Time,Cyl[3].HP_Time,Cyl[4].HP_Time,Cyl[5].HP_Time,Cyl[6].HP_Time,Cyl[7].HP_Time,Cyl[8].HP_Time,Cyl[9].HP_Time,Cyl[10].HP_Time,Cyl[11].HP_Time,Cyl[12].HP_Time,Cyl[13].HP_Time,Cyl[14].HP_Time,Cyl[15].HP_Time,Cyl[16].HP_Time,Cyl[17].HP_Time,Cyl[18].HP_Time,Cyl[19].HP_Time,Cyl[20].HP_Time,Cyl[21].HP_Time,Cyl[22].HP_Time,Cyl[23].HP_Time,Cyl[24].HP_Time,Cyl[25].HP_Time,Cyl[26].HP_Time,Cyl[27].HP_Time,Cyl[28].HP_Time,Cyl[29].HP_Time,Cyl[30].HP_Time,Cyl[31].HP_Time,Cyl[32].HP_Time,Cyl[33].HP_Time,Cyl[34].HP_Time,Cyl[35].HP_Time,Cyl[36].HP_Time,Cyl[37].HP_Time,Cyl[38].HP_Time,Cyl[39].HP_Time,Cyl[40].HP_Time,Cyl[41].HP_Time,Cyl[42].HP_Time,Cyl[43].HP_Time,Cyl[44].HP_Time,Cyl[45].HP_Time,Cyl[46].HP_Time,Cyl[47].HP_Time,Cyl[48].HP_Time,Cyl[49].HP_Time,Cyl[50].HP_Time,Vac[1]_Time,Vac[2]_Time,Vac[3]_Time,Vac[4]_Time,Vac[5]_Time,Vac[6]_Time,Vac[7]_Time,Vac[8]_Time,Vac[9]_Time,Vac[10]_Time
10:50:12 391,0.6295299,0.9102097,0.61613,0.40514,0.1873501,0.8099799,0.15355,0.8587702,0.4242901,0.2343101,0.67676,0.13164,0.60939,,0.09943999,0.09888999,0.6668698,0.7362499,0.13731,0.10778004,0.7017002,0.2897101,0.5909702,0.41052,0.09811003,0.64664,0.135,0.123,0.43,0.,,,,,,,,,,,,,,,,,,,,,1.14167,0.9144102,0.628,0.10829999,0.1456301,0.9161202,1.05092,0.6840197,0.1448401,0.14177,1.48066,0.286,0.98673,,0.11875003,0.12123003,0.5596301,0.5243899,0.18345,0.13102,0.31947,0.16753,0.76972,0.3702801,0.4435901,0.92585,0.17,0.108,0.526,0.367,0.246,0.3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3075201,,0.28663,,,,
11:50:12 314,0.6294899,0.9106397,0.6162099,0.4052501,0.18729,0.81022,0.15352,0.8572301,0.42428,0.23435,0.6780999,0.13155,0.60948,,0.09932999,0.09874995,0.66695,0.7361499,0.13727,0.10777003,0.7046001,0.2898501,0.5911001,0.4105799,0.09817001,0.64668,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14207,0.9142902,0.628,0.10822999,0.14587,0.9166003,1.05142,0.6837799,0.1449601,0.14189,1.47966,0.286,0.98646,,0.11888,0.12130003,0.5595501,0.5248699,0.18354,0.13132,0.31949,0.16728,0.7697,0.3712301,0.44335,0.92737,0.17,0.108,0.526,0.367,0.246,0.338,0.602,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3072101,,0.28652,,,,
12:50:12 260,0.6294899,0.9106397,0.6162099,0.4052501,0.18729,0.81022,0.15352,0.8572301,0.42428,0.23435,0.6780999,0.13155,0.60948,,0.09932999,0.09874995,0.66695,0.7361499,0.13727,0.10777003,0.7046001,0.2898501,0.5911001,0.4105799,0.09817001,0.64668,0.135,0.123,0.43,0.30,,,,,,,,,,,,,,,,,,,,,1.14207,0.9142902,0.628,0.10822999,0.14587,0.9166003,1.05142,0.6837799,0.1449601,0.14189,1.47966,0.286,0.98646,,0.11888,0.12130003,0.5595501,0.5248699,0.18354,0.13132,0.31949,0.16728,0.7697,0.3712301,0.44335,0.92737,0.17,0.108,0.526,0.367,0.246,0.338,0.602,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3072101,,0.28652,,,,
13:50:12 262,0.6294999,0.9109498,0.6163,0.4056201,0.18737,0.8111999,0.15349,0.8549001,0.42447,0.2343,0.68073,0.13165,0.60959,,0.09910999,0.09910998,0.66678,0.7360698,0.13722,0.10787003,0.7023601,0.2901301,0.5916001,0.4105699,0.09851,0.6467001,0.135,0.123,0.43,0.305,0.4,,,,,,,,,,,,,,,,,,,,1.1423,0.91398,0.628,0.10818999,0.14546,0.91418,1.05083,0.6832099,0.1450201,0.14183,1.47669,0.286,0.9859799,,0.11937001,0.12149003,0.55953,0.52576,0.18365,0.13178,0.31947,0.16724,0.7690701,0.3729101,0.4425001,0.9299401,0.17,0.108,0.526,0.367,0.246,0.338,0.,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3077001,,0.2865801,,,,
14:50:12 186,0.6286201,0.9110101,0.61632,0.40587,0.18745,0.81276,0.15363,0.8526299,0.42481,0.2356001,0.6823498,0.13039,0.60913,,0.09897999,0.09914999,0.6666498,0.7358,0.13705,0.10798999,0.6984499,0.2909701,0.5920602,0.41056,0.09968002,0.64642,0.135,0.123,0.43,0.305,0.4,,,,,,,,,,,,,,,,,,,,1.14131,0.91283,0.628,0.10835999,0.14569,0.9159998,1.05173,0.6814301,0.14502,0.1407,1.46766,0.286,0.98498,,0.11767,0.12115002,0.5607302,0.5270599,0.1836401,0.13268,0.3195999,0.16714,0.7650199,0.3781101,0.4384501,0.9317198,0.17,0.108,0.526,0.367,0.246,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31157,,0.2860101,,,,
15:50:12 111,0.62894,0.91178,0.61663,0.40571,0.18751,0.8139901,0.15375,0.85467,0.4245,0.2373201,0.6832798,0.129,0.60886,,0.09849998,0.09908997,0.6667398,0.7354101,0.13665,0.10798998,0.6898,0.2916,0.5916701,0.4103399,0.09929,0.6465299,0.135,0.123,0.43,0.305,0.402,0.433,,,,,,,,,,,,,,,,,,,1.14124,0.9116699,0.628,0.10824997,0.14547,0.9117199,1.05155,0.6813802,0.14513,0.14066,1.46514,0.286,0.9840101,,0.11763001,0.12173004,0.56187,0.5279999,0.18371,0.13227,0.31985,0.16695,0.76531,0.3814201,0.4511101,0.9312199,0.17,0.108,0.526,0.367,0.246,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31131,,0.28554,,,,
16:50:12 004,0.62934,0.9119695,0.61654,0.4058101,0.18763,0.81615,0.154,0.8587899,0.4241701,0.23759,0.68399,0.12832,0.6087501,,0.09866,0.09926996,0.66722,0.73472,0.1365,0.10811999,0.67578,0.29242,0.59157,0.4105599,0.09922998,0.6465398,0.135,0.123,0.43,0.305,0.402,0.433,,,,,,,,,,,,,,,,,,,1.14204,0.9106898,0.628,0.10852998,0.1455301,0.91839,1.05311,0.6818601,0.14545,0.14116,1.46102,0.286,0.9822099,,0.11822002,0.12140001,0.5642401,0.5277199,0.18357,0.13245,0.31978,0.16684,0.7660602,0.38247,0.4665301,0.9302099,0.17,0.108,0.526,0.367,0.246,0.3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3127499,,0.28589,,,,
17:50:12 034,0.62934,0.9119695,0.61654,0.4058101,0.18763,0.81615,0.154,0.8587899,0.4241701,0.23759,0.68399,0.12832,0.6087501,,0.09866,0.09926996,0.66722,0.73472,0.1365,0.10811999,0.67578,0.29242,0.59157,0.4105599,0.09922998,0.6465398,0.135,0.123,0.43,0.305,0.402,0.433,,,,,,,,,,,,,,,,,,,1.14204,0.9106898,0.628,0.10852998,0.1455301,0.91839,1.05311,0.6818601,0.14545,0.14116,1.46102,0.286,0.9822099,,0.11822002,0.12140001,0.5642401,0.5277199,0.18357,0.13245,0.31978,0.16684,0.7660602,0.38247,0.4665301,0.9302099,0.17,0.108,0.526,0.367,0.246,0.3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3127499,,0.28589,,,,
18:50:11 920,0.6291999,0.9109799,0.61642,0.40578,0.1878,0.8149401,0.15391,0.86329,0.42398,0.2360299,0.68247,0.12877,0.6088402,,0.09765998,0.09890996,0.6674198,0.7349402,0.13633,0.10811001,0.6660699,0.2914401,0.5915602,0.4104399,0.09942999,0.6465599,0.135,0.123,0.43,0.3,,,,,,,,,,,,,,,,,,,,,1.1422,0.9109897,0.628,0.10875998,0.1456301,0.9192401,1.05262,0.6834899,0.1452701,0.1414601,1.45897,0.286,0.9825,,0.11838,0.12168005,0.5636699,0.5265199,0.18344,0.13156,0.3195801,0.16659,0.76684,0.37766,0.4651701,0.9274802,0.17,0.108,0.526,0.367,0.246,0.33,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3124099,,0.2855501,,,,
19:50:11 804,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,,
20:50:11 742,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,,
21:50:11 685,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,,
22:50:11 667,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,,
23:50:11 668,0.6291698,0.9107898,0.6166201,0.4053299,0.18767,0.8144901,0.15383,0.8594199,0.4235301,0.23367,0.6818,0.13037,0.6092601,,0.09650999,0.09839998,0.6672398,0.73479,0.13653,0.10790002,0.6661299,0.2907601,0.59156,0.41048,0.09901997,0.6463798,0.135,0.123,0.43,0.2,,,,,,,,,,,,,,,,,,,,,1.14187,0.9114598,0.628,0.10857,0.14576,0.91966,1.05192,0.68412,0.14515,0.1416201,1.45438,0.286,0.9826197,,0.11792002,0.12151003,0.56191,0.5266299,0.18333,0.13101,0.3193201,0.16624,0.7681002,0.37698,0.4513001,0.92787,0.17,0.108,0.526,0.355,0.245,0.338,0.60,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31046,,0.2855201,,,,
