时间,通道,亮度,设置时间
2025/07/01 08:53:09:305,5,255,24ms
2025/07/01 08:53:09:464,5,0,23ms
2025/07/01 08:53:09:495,4,255,23ms
2025/07/01 08:53:09:579,4,0,24ms
2025/07/01 08:53:09:848,5,255,23ms
2025/07/01 08:53:10:009,5,0,24ms
2025/07/01 08:53:10:039,4,255,23ms
2025/07/01 08:53:10:124,4,0,24ms
2025/07/01 08:53:20:193,3,255,24ms
2025/07/01 08:53:20:255,3,0,24ms
2025/07/01 08:53:20:285,3,0,23ms
2025/07/01 08:53:20:316,2,255,24ms
2025/07/01 08:53:20:426,3,0,23ms
2025/07/01 08:53:20:458,2,0,25ms
2025/07/01 08:53:22:749,2,255,25ms
2025/07/01 08:53:22:866,2,0,24ms
2025/07/01 08:53:23:581,3,90,23ms
2025/07/01 08:53:23:612,2,255,23ms
2025/07/01 08:53:23:678,3,0,23ms
2025/07/01 08:53:23:710,2,0,24ms
2025/07/01 08:53:24:285,6,255,24ms
2025/07/01 08:53:24:350,6,0,23ms
2025/07/01 08:53:24:756,6,255,23ms
2025/07/01 08:53:24:823,6,0,23ms
2025/07/01 08:53:35:096,2,255,23ms
2025/07/01 08:53:35:191,2,0,23ms
2025/07/01 08:53:35:671,3,255,23ms
2025/07/01 08:53:35:739,3,0,23ms
2025/07/01 08:53:35:770,3,0,23ms
2025/07/01 08:53:35:802,2,255,24ms
2025/07/01 08:53:35:910,3,0,23ms
2025/07/01 08:53:37:212,1,255,23ms
2025/07/01 08:53:37:310,1,0,23ms
2025/07/01 08:53:37:341,4,255,23ms
2025/07/01 08:53:37:436,4,0,24ms
2025/07/01 08:53:37:584,4,255,24ms
2025/07/01 08:53:37:676,4,0,24ms
2025/07/01 08:53:38:977,5,255,24ms
2025/07/01 08:53:39:140,5,0,23ms
2025/07/01 08:53:39:171,4,255,23ms
2025/07/01 08:53:39:255,4,0,24ms
2025/07/01 08:53:39:510,5,255,23ms
2025/07/01 08:53:39:671,5,0,23ms
2025/07/01 08:53:39:701,4,255,23ms
2025/07/01 08:53:39:785,4,0,23ms
2025/07/01 08:53:49:846,3,255,24ms
2025/07/01 08:53:49:909,3,0,23ms
2025/07/01 08:53:49:939,3,0,22ms
2025/07/01 08:53:49:971,2,255,23ms
2025/07/01 08:53:50:082,3,0,24ms
2025/07/01 08:53:50:112,2,0,23ms
2025/07/01 08:53:51:431,2,255,24ms
2025/07/01 08:53:51:524,2,0,25ms
2025/07/01 08:53:52:718,2,255,24ms
2025/07/01 08:53:52:835,2,0,24ms
2025/07/01 08:53:53:541,3,90,22ms
2025/07/01 08:53:53:574,2,255,24ms
2025/07/01 08:53:53:639,3,0,23ms
2025/07/01 08:53:53:670,2,0,23ms
2025/07/01 08:53:54:236,6,255,24ms
2025/07/01 08:53:54:303,6,0,23ms
2025/07/01 08:53:54:703,6,255,23ms
2025/07/01 08:53:54:772,6,0,24ms
2025/07/01 08:54:05:180,2,255,24ms
2025/07/01 08:54:05:279,2,0,23ms
2025/07/01 08:54:05:759,3,255,23ms
2025/07/01 08:54:05:827,3,0,24ms
2025/07/01 08:54:05:858,3,0,24ms
2025/07/01 08:54:05:889,2,255,24ms
2025/07/01 08:54:06:000,3,0,24ms
2025/07/01 08:54:06:030,2,0,23ms
2025/07/01 08:54:07:301,1,255,23ms
2025/07/01 08:54:07:400,1,0,24ms
2025/07/01 08:54:07:430,4,255,23ms
2025/07/01 08:54:07:525,4,0,24ms
2025/07/01 08:54:07:673,4,255,23ms
2025/07/01 08:54:07:773,4,0,24ms
2025/07/01 08:54:09:081,5,255,24ms
2025/07/01 08:54:09:238,5,0,24ms
2025/07/01 08:54:09:269,4,255,23ms
2025/07/01 08:54:09:353,4,0,23ms
2025/07/01 08:54:09:687,5,255,23ms
2025/07/01 08:54:09:851,5,0,24ms
2025/07/01 08:54:09:881,4,255,23ms
2025/07/01 08:54:09:966,4,0,25ms
2025/07/01 08:54:19:850,3,255,23ms
2025/07/01 08:54:19:911,3,0,23ms
2025/07/01 08:54:19:942,3,0,24ms
2025/07/01 08:54:19:973,2,255,23ms
2025/07/01 08:54:20:082,3,0,23ms
2025/07/01 08:54:20:114,2,0,24ms
2025/07/01 08:54:22:404,2,255,24ms
2025/07/01 08:54:22:527,2,0,23ms
2025/07/01 08:54:23:222,3,90,23ms
2025/07/01 08:54:23:253,2,255,23ms
2025/07/01 08:54:23:323,3,0,23ms
2025/07/01 08:54:23:354,2,0,23ms
2025/07/01 08:54:23:942,6,255,24ms
2025/07/01 08:54:24:009,6,0,24ms
2025/07/01 08:54:24:435,6,255,24ms
2025/07/01 08:54:24:503,6,0,23ms
2025/07/01 08:55:07:953,2,255,23ms
2025/07/01 08:55:08:051,2,0,23ms
2025/07/01 08:55:08:540,3,255,24ms
2025/07/01 08:55:08:608,3,0,23ms
2025/07/01 08:55:08:639,3,0,23ms
2025/07/01 08:55:08:670,2,255,23ms
2025/07/01 08:55:08:780,3,0,25ms
2025/07/01 08:55:08:811,2,0,24ms
2025/07/01 08:55:10:088,1,255,23ms
2025/07/01 08:55:10:189,1,0,23ms
2025/07/01 08:55:10:220,4,255,23ms
2025/07/01 08:55:10:314,4,0,23ms
2025/07/01 08:55:10:459,4,255,24ms
2025/07/01 08:55:10:552,4,0,23ms
2025/07/01 08:55:11:803,5,255,24ms
2025/07/01 08:55:11:963,5,0,23ms
2025/07/01 08:55:11:994,4,255,23ms
2025/07/01 08:55:12:078,4,0,24ms
2025/07/01 08:55:12:384,5,255,24ms
2025/07/01 08:55:12:544,5,0,24ms
2025/07/01 08:55:12:574,4,255,24ms
2025/07/01 08:55:12:658,4,0,24ms
2025/07/01 08:55:22:243,3,255,23ms
2025/07/01 08:55:22:305,3,0,23ms
2025/07/01 08:55:22:336,3,0,23ms
2025/07/01 08:55:22:367,2,255,23ms
2025/07/01 08:55:22:477,3,0,23ms
2025/07/01 08:55:22:509,2,0,24ms
2025/07/01 08:55:23:816,2,255,24ms
2025/07/01 08:55:23:910,2,0,23ms
2025/07/01 08:57:49:174,2,255,23ms
2025/07/01 08:57:49:290,2,0,23ms
2025/07/01 08:57:50:015,3,90,24ms
2025/07/01 08:57:50:046,2,255,24ms
2025/07/01 08:57:50:116,3,0,24ms
2025/07/01 08:57:50:146,2,0,24ms
2025/07/01 08:57:50:731,6,255,24ms
2025/07/01 08:57:50:799,6,0,23ms
2025/07/01 08:57:51:162,6,255,26ms
2025/07/01 08:57:51:227,6,0,23ms
2025/07/01 08:57:56:358,2,255,23ms
2025/07/01 08:57:56:452,2,0,23ms
2025/07/01 08:57:56:945,3,255,24ms
2025/07/01 08:57:57:013,3,0,24ms
2025/07/01 08:57:57:043,3,0,23ms
2025/07/01 08:57:57:074,2,255,24ms
2025/07/01 08:57:57:185,3,0,24ms
2025/07/01 08:57:57:217,2,0,24ms
2025/07/01 08:57:58:479,1,255,24ms
2025/07/01 08:57:58:578,1,0,24ms
2025/07/01 08:57:58:609,4,255,24ms
2025/07/01 08:57:58:703,4,0,24ms
2025/07/01 08:57:58:851,4,255,24ms
2025/07/01 08:57:58:948,4,0,23ms
2025/07/01 08:58:00:224,5,255,23ms
2025/07/01 08:58:00:386,5,0,24ms
2025/07/01 08:58:00:417,4,255,23ms
2025/07/01 08:58:00:502,4,0,23ms
2025/07/01 08:58:00:765,5,255,24ms
2025/07/01 08:58:00:925,5,0,23ms
2025/07/01 08:58:00:956,4,255,23ms
2025/07/01 08:58:01:039,4,0,23ms
2025/07/01 08:58:10:733,3,255,24ms
2025/07/01 08:58:10:795,3,0,23ms
2025/07/01 08:58:10:826,3,0,24ms
2025/07/01 08:58:10:857,2,255,24ms
2025/07/01 08:58:10:966,3,0,24ms
2025/07/01 08:58:10:998,2,0,24ms
2025/07/01 08:59:43:434,2,255,24ms
2025/07/01 08:59:43:545,2,0,24ms
2025/07/01 08:59:53:446,2,255,24ms
2025/07/01 08:59:53:549,2,0,23ms
2025/07/01 08:59:54:249,3,90,23ms
2025/07/01 08:59:54:280,2,255,23ms
2025/07/01 08:59:54:346,3,0,23ms
2025/07/01 08:59:54:377,2,0,24ms
2025/07/01 08:59:54:944,6,255,24ms
2025/07/01 08:59:55:011,6,0,23ms
2025/07/01 08:59:55:429,6,255,24ms
2025/07/01 08:59:55:496,6,0,23ms
2025/07/01 09:00:00:674,2,255,24ms
