开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/17 2:00:04,2025/6/17 2:00:11,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,6.84,S4
2025/6/17 1:58:41,2025/6/17 1:58:46,F01ESSE-01-03,Emergency Stop Alarm,设备急停报警,Safety Error,5.01,S2
2025/6/17 3:10:50,2025/6/17 3:10:57,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,6.5,S4
2025/6/17 3:09:27,2025/6/17 3:09:29,M99EEDE-04-03,1# Loading Y-axis - Alarm,1#Carrier上料Y轴报警,Motion Error,2.2,S2
2025/6/17 3:10:58,2025/6/17 3:11:24,S02SSSP-98-03,Returnline Block Outflow Sensor Alarm,回流线阻挡流出检测报警,Sensor Error,26.03,S2
2025/6/17 5:58:40,2025/6/17 5:59:26,C04PNCY-24-03,Mainline Updown2 Cylinder Alarm ,YV0206_主流线顶升2上顶气缸报警,Cylinder Error,46.73,S2
2025/6/17 6:02:38,2025/6/17 6:02:46,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,7.62,S4
2025/6/17 6:10:20,2025/6/17 6:10:25,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,5.04,S4
2025/6/17 6:25:23,2025/6/17 6:25:47,V02VSDV-115-03,Pop up: Platform 1 group Bracket on the camera to take a photo NG!,弹窗:平台1组Bracket上相机拍照NG!,Vision Error,23.94,S4
2025/6/17 7:14:33,2025/6/17 7:14:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,17.57,S2
2025/6/17 7:24:18,2025/6/17 7:24:48,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,29.36,S2
2025/6/17 7:25:07,2025/6/17 7:25:35,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,28.38,S2
2025/6/17 7:25:36,2025/6/17 7:25:44,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,8.55,S2
2025/6/17 7:25:44,2025/6/17 7:25:51,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,6.07,S2
