开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/17 7:41:41,2025/6/17 7:41:52,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.79,S2
2025/6/17 8:09:05,2025/6/17 8:09:19,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,13.89,S4
2025/6/17 8:38:33,2025/6/17 8:39:39,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,65.78,S2
2025/6/17 9:34:14,2025/6/17 9:34:14,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,0.2,S4
2025/6/17 9:33:16,2025/6/17 9:33:22,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,5.43,S2
2025/6/17 13:06:57,2025/6/17 13:07:19,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,21.87,S2
2025/6/17 13:27:52,2025/6/17 13:28:13,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,21.55,S2
2025/6/17 13:49:54,2025/6/17 13:50:25,C02PNCY-28-03,Mainline top up 1 top cylinder alarm,主流线顶升1上顶气缸报警,Cylinder Error,31.17,S5
2025/6/17 14:16:33,2025/6/17 14:16:33,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,0.42,S2
2025/6/17 14:16:37,2025/6/17 14:18:37,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,119.41,S2
2025/6/17 14:37:49,2025/6/17 14:38:06,C04PNCY-19-03,Mainline Updown1 Blocking Cylinder Alarm ,YV0201_主流线顶升1阻挡气缸报警,Cylinder Error,16.8,S3
2025/6/17 14:38:38,2025/6/17 14:39:03,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,25.29,S2
2025/6/17 14:39:26,2025/6/17 14:40:12,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,46.22,S2
2025/6/17 14:43:41,2025/6/17 14:43:59,C04PNCY-19-03,Mainline Updown1 Blocking Cylinder Alarm ,YV0201_主流线顶升1阻挡气缸报警,Cylinder Error,17.77,S3
2025/6/17 14:53:11,2025/6/17 14:53:25,C02PNCY-28-03,Mainline top up 1 top cylinder alarm,主流线顶升1上顶气缸报警,Cylinder Error,13.38,S5
2025/6/17 15:04:06,2025/6/17 15:04:18,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.22,S2
2025/6/17 15:04:48,2025/6/17 15:05:29,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,41.19,S2
2025/6/17 15:07:44,2025/6/17 15:07:54,C04PNCY-19-03,Mainline Updown1 Blocking Cylinder Alarm ,YV0201_主流线顶升1阻挡气缸报警,Cylinder Error,9.78,S2
2025/6/17 15:12:44,2025/6/17 15:12:56,C02PNCY-28-03,Mainline top up 1 top cylinder alarm,主流线顶升1上顶气缸报警,Cylinder Error,12.13,S4
2025/6/17 15:37:35,2025/6/17 15:39:15,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,99.66,S2
2025/6/17 15:39:44,2025/6/17 15:39:54,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.38,S2
2025/6/17 15:40:23,2025/6/17 15:40:31,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.56,S2
2025/6/17 15:41:30,2025/6/17 15:41:41,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.72,S2
2025/6/17 18:25:32,2025/6/17 18:25:55,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,22.7,S2
2025/6/17 19:01:16,2025/6/17 19:01:46,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,30.32,S4
2025/6/17 19:28:18,2025/6/17 19:29:07,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,48.62,S2
2025/6/17 19:41:39,2025/6/17 19:42:02,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,22.78,S2
2025/6/17 21:16:59,2025/6/17 21:17:24,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,25.15,S2
2025/6/17 21:46:30,2025/6/17 21:46:36,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,5.53,S2
