开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/27 8:10:21,2025/6/27 8:10:41,F01ESSE-01-03,Emergency Stop Alarm,设备急停报警,Safety Error,20.35,S2
2025/6/27 8:13:13,2025/6/27 8:13:14,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,0.8,S4
2025/6/27 08:13:36,2025/6/27 08:13:43,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,6.84,S5
2025/6/27 8:35:14,2025/6/27 8:35:15,M99EEDE-04-03,1# Loading Y-axis - Alarm,1#Carrier上料Y轴报警,Motion Error,1.01,S2
2025/6/27 8:35:36,2025/6/27 8:36:44,C04PNCY-29-03,Mainline Updown3 Cylinder Alarm ,YV0211_主流线顶升3上顶气缸报警,Cylinder Error,68.12,S2
2025/6/27 8:36:55,2025/6/27 8:37:08,C04PNCY-29-03,Mainline Updown3 Cylinder Alarm ,YV0211_主流线顶升3上顶气缸报警,Cylinder Error,13.13,S2
2025/6/27 08:55:59,2025/6/27 08:56:01,M99EEDE-08-03,Lock the screw module X-axis alarm,锁螺丝模组Y轴报警,Motion Error,2.73,S5
2025/6/27 08:56:55,2025/6/27 08:56:56,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,1.01,S5
2025/6/27 9:18:19,2025/6/27 9:18:45,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,26.25,S2
2025/6/27 12:59:09,2025/6/27 12:59:53,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,44.82,S4
2025/6/27 13:18:41,2025/6/27 13:19:03,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,21.77,S2
2025/6/27 13:27:38,2025/6/27 13:27:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,12.21,S2
2025/6/27 13:28:20,2025/6/27 13:28:37,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,17.14,S2
2025/6/27 13:30:21,2025/6/27 13:30:30,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,8.79,S2
2025/6/27 13:31:21,2025/6/27 13:31:25,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,4.13,S2
2025/6/27 13:50:54,2025/6/27 13:51:19,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,24.78,S2
2025/6/27 13:51:21,2025/6/27 13:51:25,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,3.65,S2
2025/6/27 13:52:03,2025/6/27 13:52:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.63,S2
2025/6/27 13:52:13,2025/6/27 13:52:14,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,1.15,S2
2025/6/27 13:52:44,2025/6/27 13:52:49,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,4.89,S2
2025/6/27 13:53:18,2025/6/27 13:54:00,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,42.25,S2
2025/6/27 13:54:01,2025/6/27 13:55:43,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,102.06,S2
2025/6/27 13:55:43,2025/6/27 13:55:45,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,1.32,S2
2025/6/27 13:59:27,2025/6/27 14:00:10,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,42.79,S2
2025/6/27 14:02:08,2025/6/27 14:02:26,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,18.1,S2
2025/6/27 15:58:10,2025/6/27 15:58:43,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,33.18,S2
2025/6/27 16:13:35,2025/6/27 16:13:48,U01VGVV-180-03,Popup:CHG Feeding Vacuum Alarm,弹窗：CHG取料真空报警,Vacuum Error,12.31,S2
2025/6/27 16:13:49,2025/6/27 16:14:02,U01VGVV-180-03,Popup:CHG Feeding Vacuum Alarm,弹窗：CHG取料真空报警,Vacuum Error,12.83,S2
2025/6/27 16:17:41,2025/6/27 16:17:54,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,12.78,S2
2025/6/27 16:22:21,2025/6/27 16:22:46,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,25.01,S2
2025/6/27 16:27:08,2025/6/27 16:27:23,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,15.5,S2
2025/6/27 16:27:27,2025/6/27 16:27:29,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,1.81,S2
2025/6/27 16:30:54,2025/6/27 16:34:02,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,188.1,S2
2025/6/27 18:43:45,2025/6/27 18:44:19,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,33.85,S2
2025/6/27 18:58:49,2025/6/27 19:00:40,W01VSDV-142-03,Pop-up window: Platform 1 lock screw NG,弹窗:平台1锁螺丝NG,Screwing Error,110.84,S4
2025/6/27 19:25:35,2025/6/27 19:26:19,U01VGVV-180-03,Popup:CHG Feeding Vacuum Alarm,弹窗：CHG取料真空报警,Vacuum Error,44.14,S2
