开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/28 8:02:58,2025/6/28 8:03:06,F01ESSE-01-03,Emergency Stop Alarm,设备急停报警,Safety Error,8.04,S2
2025/6/28 8:06:33,2025/6/28 8:23:46,C02PNCY-45-03,Positioning platform 1Carrier rotary clamping cylinder alarm,定位平台1Carrier旋转夹紧气缸报警,Cylinder Error,1033.22,S4
2025/6/28 9:24:49,2025/6/28 9:24:59,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,9.73,S2
2025/6/28 9:41:05,2025/6/28 9:41:30,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,24.66,S4
2025/6/28 9:51:35,2025/6/28 9:51:44,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.14,S2
2025/6/28 9:53:17,2025/6/28 9:53:22,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,5.04,S2
2025/6/28 9:54:28,2025/6/28 9:54:36,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,8.17,S2
2025/6/28 10:55:25,2025/6/28 10:55:44,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,18.29,S2
2025/6/28 11:00:33,2025/6/28 11:00:41,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.76,S2
2025/6/28 11:11:29,2025/6/28 11:11:40,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.65,S2
2025/6/28 11:12:49,2025/6/28 11:12:55,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,6.7,S2
2025/6/28 13:00:23,2025/6/28 13:00:44,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,20.6,S2
2025/6/28 13:07:20,2025/6/28 13:07:28,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.6,S2
2025/6/28 13:08:41,2025/6/28 13:08:58,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,16.78,S2
2025/6/28 13:09:28,2025/6/28 13:09:39,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.25,S2
2025/6/28 13:10:11,2025/6/28 13:10:20,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.46,S2
2025/6/28 13:19:16,2025/6/28 13:19:26,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.87,S2
2025/6/28 13:20:29,2025/6/28 13:20:38,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,9.77,S2
