开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/19 1:05:06,2025/6/19 1:05:47,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,40.38,S2
2025/6/19 8:06:27,2025/6/19 8:06:32,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,4.52,S4
2025/6/19 8:42:11,2025/6/19 8:42:37,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,26.02,S2
2025/6/19 9:30:31,2025/6/19 9:30:47,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,16.27,S2
2025/6/19 10:47:04,2025/6/19 10:47:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,46.29,S2
2025/6/19 11:04:45,2025/6/19 11:04:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,4.87,S2
2025/6/19 11:05:19,2025/6/19 11:05:26,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.79,S2
2025/6/19 12:39:09,2025/6/19 12:39:50,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,40.66,S2
2025/6/19 12:53:31,2025/6/19 12:53:42,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.15,S2
2025/6/19 13:26:50,2025/6/19 13:27:14,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,23.88,S2
2025/6/19 16:18:52,2025/6/19 20:28:35,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,14982.63,S2
2025/6/19 21:03:31,2025/6/19 21:04:35,V03VSDV-108-03,CCD1 communication connection abnormality,CCD1通讯连接异常,Vision Error,63.34,S4
2025/6/19 21:06:43,2025/6/19 21:07:54,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,70.49,S2
