开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/20 8:34:53,2025/6/20 8:34:57,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,4.24,S4
2025/6/20 8:35:21,2025/6/20 8:35:49,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,27.8,S2
2025/6/20 8:36:04,2025/6/20 8:37:54,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,109.29,S2
2025/6/20 14:36:57,2025/6/20 14:37:26,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,29.63,S2
2025/6/20 14:37:37,2025/6/20 14:38:12,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,34.62,S2
2025/6/20 14:40:55,2025/6/20 14:41:02,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,7.51,S4
2025/6/20 14:42:11,2025/6/20 14:42:31,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,20.57,S2
2025/6/20 14:44:36,2025/6/20 14:45:12,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,36.14,S2
2025/6/20 14:45:12,2025/6/20 14:45:54,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,41.83,S2
2025/6/20 14:45:55,2025/6/20 14:46:31,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,36.52,S2
2025/6/20 14:45:22,2025/6/20 14:48:47,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,205.38,S4
2025/6/20 14:48:49,2025/6/20 14:48:50,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,0.55,S4
2025/6/20 14:48:52,2025/6/20 14:48:52,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,0.6,S4
2025/6/20 14:48:54,2025/6/20 14:50:04,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,69.2,S4
2025/6/20 14:50:06,2025/6/20 14:50:29,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,23.9,S4
2025/6/20 15:07:13,2025/6/20 15:08:28,V02VSDV-133-03,Popup:Platform1 SPK&CHG Assembly Coordinate Exceeding Limit,弹窗:组装计算坐标超限1,Vision Error,75.64,S2
2025/6/20 15:13:48,2025/6/20 15:14:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,23.67,S2
