开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/18 1:45:06,2025/6/18 1:45:17,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,11.03,S2
2025/6/18 8:14:35,2025/6/18 8:14:35,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,0.11,S4
2025/6/18 8:19:14,2025/6/18 8:19:16,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,2.04,S2
2025/6/18 8:20:05,2025/6/18 8:23:38,U01VGVV-63-03,Mainline Updown2 CHG Vacuum Alarm ,YVV0207_主流线顶升2吸CHG真空报警,Vacuum Error,213.03,S2
2025/6/18 9:08:24,2025/6/18 9:08:29,C04PNCY-25-03,Mainline Updown2 Holder Unlocking Cylinder Alarm ,YV0207_主流线顶升2 Holder解锁气缸报警,Cylinder Error,4.98,S2
2025/6/18 12:39:34,2025/6/18 12:39:49,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,15.92,S2
2025/6/18 13:33:07,2025/6/18 13:33:22,C04PNCY-30-03,Mainline Updown3 Carrier Opening Cylinder Alarm ,YV0212_主流线顶升3Carrier压料打开气缸报警,Cylinder Error,14.58,S2
2025/6/18 13:33:32,2025/6/18 13:34:22,C04PNCY-30-03,Mainline Updown3 Carrier Opening Cylinder Alarm ,YV0212_主流线顶升3Carrier压料打开气缸报警,Cylinder Error,50.05,S2
2025/6/18 14:25:38,2025/6/18 14:25:48,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,10.08,S2
2025/6/18 15:14:55,2025/6/18 15:16:08,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,72.92,S2
2025/6/18 15:16:36,2025/6/18 15:17:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,35.32,S2
2025/6/18 16:06:55,2025/6/18 16:07:24,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,29.07,S4
2025/6/18 16:13:37,2025/6/18 16:14:15,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,37.97,S4
2025/6/18 16:12:32,2025/6/18 16:13:18,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,46.77,S2
2025/6/18 16:16:36,2025/6/18 16:16:41,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,4.65,S4
2025/6/18 16:23:44,2025/6/18 16:24:14,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,30.18,S2
2025/6/18 16:28:13,2025/6/18 16:28:20,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,7.3,S4
2025/6/18 16:34:56,2025/6/18 16:35:13,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,17.63,S4
2025/6/18 18:12:07,2025/6/18 18:12:39,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,31.56,S2
2025/6/18 18:27:29,2025/6/18 18:28:02,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,32.67,S2
2025/6/18 18:38:26,2025/6/18 18:39:42,C04PNCY-24-03,Mainline Updown2 Cylinder Alarm ,YV0206_主流线顶升2上顶气缸报警,Cylinder Error,75.71,S2
2025/6/18 18:55:19,2025/6/18 18:55:30,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,10.69,S4
2025/6/18 19:10:31,2025/6/18 19:11:12,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,40.49,S2
2025/6/18 19:11:12,2025/6/18 19:11:14,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,1.88,S2
2025/6/18 19:11:15,2025/6/18 19:11:55,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,40.44,S2
2025/6/18 19:12:25,2025/6/18 19:13:44,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,78.72,S2
2025/6/18 19:24:13,2025/6/18 19:24:50,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,37.26,S4
2025/6/18 19:25:01,2025/6/18 19:26:31,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,89.32,S4
2025/6/18 20:59:00,2025/6/18 20:59:19,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,19.1,S2
2025/6/18 20:59:19,2025/6/18 21:00:35,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,76.17,S2
2025/6/18 21:11:04,2025/6/18 21:11:12,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,7.56,S2
2025/6/18 21:45:41,2025/6/18 21:47:04,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,83.11,S2
2025/6/18 21:47:41,2025/6/18 21:48:17,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,36.31,S2
2025/6/18 22:17:51,2025/6/18 22:17:59,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,8.6,S4
2025/6/18 22:16:15,2025/6/18 22:16:16,U01VGVV-180-03,Popup:CHG Feeding Vacuum Alarm,弹窗：CHG取料真空报警,Vacuum Error,0.6,S2
2025/6/18 22:21:53,2025/6/18 22:22:08,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,15.21,S4
2025/6/18 22:26:20,2025/6/18 22:26:37,V02VSDV-139-03,Pop-up window: Gun 1 takes 2 to detect whether there is a photo NG,弹窗:枪1取2有无检测拍照NG,Vision Error,16.94,S4
2025/6/18 22:26:51,2025/6/18 22:27:01,V02VSDV-139-03,Pop-up window: Gun 1 takes 2 to detect whether there is a photo NG,弹窗:枪1取2有无检测拍照NG,Vision Error,9.87,S4
2025/6/18 22:34:14,2025/6/18 22:36:23,V01VSDV-131-03,Popup:Platform1 SPK Assembly Top Photography Failed,弹窗:组SPK上相机拍照失败1,Vision Error,129.1,S2
2025/6/18 23:03:57,2025/6/18 23:05:11,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,73.85,S2
2025/6/18 23:08:16,2025/6/18 23:08:23,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,6.89,S2
2025/6/18 23:14:43,2025/6/18 23:14:44,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,1.49,S4
2025/6/18 23:13:00,2025/6/18 23:13:11,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,10.99,S2
2025/6/18 23:17:20,2025/6/18 23:17:27,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,6.59,S4
2025/6/18 23:17:38,2025/6/18 23:17:44,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,6.13,S4
