时间,采集时间
2025/06/27 08:18:21:863,77ms
2025/06/27 08:18:22:606,27ms
2025/06/27 08:18:23:247,32ms
2025/06/27 08:18:23:538,32ms
2025/06/27 08:18:28:640,62ms
2025/06/27 08:18:29:190,22ms
2025/06/27 08:18:29:333,67ms
2025/06/27 08:18:30:762,70ms
2025/06/27 08:18:30:897,56ms
2025/06/27 08:18:31:148,60ms
2025/06/27 08:18:32:608,120ms
2025/06/27 08:18:32:723,40ms
2025/06/27 08:18:33:191,120ms
2025/06/27 08:18:33:302,40ms
2025/06/27 08:18:43:574,20ms
2025/06/27 08:18:43:748,67ms
2025/06/27 08:18:45:497,52ms
2025/06/27 08:18:46:814,77ms
2025/06/27 08:18:47:618,27ms
2025/06/27 08:18:48:294,32ms
2025/06/27 08:18:48:753,32ms
2025/06/27 08:18:59:327,62ms
2025/06/27 08:18:59:883,22ms
2025/06/27 08:19:00:021,67ms
2025/06/27 08:19:01:417,70ms
2025/06/27 08:19:01:554,56ms
2025/06/27 08:19:01:811,61ms
2025/06/27 08:19:03:288,120ms
2025/06/27 08:19:03:400,40ms
2025/06/27 08:19:03:888,119ms
2025/06/27 08:19:04:004,40ms
2025/06/27 08:19:14:118,20ms
2025/06/27 08:19:14:288,66ms
2025/06/27 08:19:16:729,77ms
2025/06/27 08:19:17:512,28ms
2025/06/27 08:19:18:196,32ms
2025/06/27 08:19:18:656,32ms
2025/06/27 08:19:28:245,62ms
2025/06/27 08:19:28:798,22ms
2025/06/27 08:19:28:941,67ms
2025/06/27 08:19:30:338,70ms
2025/06/27 08:19:30:476,56ms
2025/06/27 08:19:30:734,60ms
2025/06/27 08:19:32:170,120ms
2025/06/27 08:19:32:283,40ms
2025/06/27 08:19:32:721,119ms
2025/06/27 08:19:32:832,40ms
2025/06/27 08:19:42:934,20ms
2025/06/27 08:19:43:106,68ms
2025/06/27 08:19:44:567,52ms
2025/06/27 08:59:06:965,77ms
2025/06/27 08:59:07:772,27ms
2025/06/27 08:59:08:415,32ms
2025/06/27 08:59:08:832,32ms
2025/06/27 08:59:14:068,62ms
2025/06/27 08:59:14:621,20ms
2025/06/27 08:59:14:788,67ms
2025/06/27 08:59:16:274,70ms
2025/06/27 08:59:16:412,56ms
2025/06/27 08:59:16:669,60ms
2025/06/27 08:59:18:108,120ms
2025/06/27 08:59:18:219,40ms
2025/06/27 08:59:18:667,120ms
2025/06/27 08:59:18:780,40ms
2025/06/27 08:59:28:708,22ms
2025/06/27 08:59:28:848,35ms
