时间,采集时间
2025/06/30 08:16:43:779,77ms
2025/06/30 08:16:44:587,27ms
2025/06/30 08:16:45:255,32ms
2025/06/30 08:16:45:631,32ms
2025/06/30 08:16:50:887,62ms
2025/06/30 08:16:51:448,22ms
2025/06/30 08:16:51:592,67ms
2025/06/30 08:16:53:015,70ms
2025/06/30 08:16:53:150,56ms
2025/06/30 08:16:53:409,60ms
2025/06/30 08:16:54:852,120ms
2025/06/30 08:16:54:962,40ms
2025/06/30 08:16:55:426,120ms
2025/06/30 08:16:55:539,40ms
2025/06/30 08:17:06:005,20ms
2025/06/30 08:17:06:176,67ms
2025/06/30 08:17:07:939,52ms
2025/06/30 08:17:09:259,77ms
2025/06/30 08:17:10:057,27ms
2025/06/30 08:17:10:743,32ms
2025/06/30 08:17:11:083,32ms
2025/06/30 08:17:23:354,62ms
2025/06/30 08:17:23:909,22ms
2025/06/30 08:17:24:053,67ms
2025/06/30 08:17:25:458,70ms
2025/06/30 08:17:25:595,56ms
2025/06/30 08:17:25:849,60ms
2025/06/30 08:17:27:318,120ms
2025/06/30 08:17:27:433,40ms
2025/06/30 08:17:27:930,120ms
2025/06/30 08:17:28:046,40ms
2025/06/30 08:17:38:271,20ms
2025/06/30 08:17:38:441,67ms
2025/06/30 08:17:40:890,77ms
2025/06/30 08:17:41:689,27ms
2025/06/30 08:17:42:361,32ms
2025/06/30 08:17:42:648,32ms
2025/06/30 08:17:54:032,62ms
2025/06/30 08:17:54:602,22ms
2025/06/30 08:17:54:747,68ms
2025/06/30 08:17:56:147,70ms
2025/06/30 08:17:56:281,56ms
2025/06/30 08:17:56:533,60ms
2025/06/30 08:17:57:992,120ms
2025/06/30 08:17:58:104,40ms
2025/06/30 08:17:58:639,120ms
2025/06/30 08:17:58:751,40ms
2025/06/30 08:18:09:174,20ms
2025/06/30 08:18:09:347,67ms
2025/06/30 08:18:10:789,52ms
2025/06/30 08:22:47:781,77ms
2025/06/30 08:22:48:578,27ms
2025/06/30 08:22:49:268,32ms
2025/06/30 08:22:49:551,32ms
2025/06/30 08:22:54:664,62ms
2025/06/30 08:22:55:235,22ms
2025/06/30 08:22:55:378,67ms
2025/06/30 08:22:56:772,70ms
2025/06/30 08:22:56:907,56ms
2025/06/30 08:22:57:159,60ms
2025/06/30 08:22:58:628,120ms
2025/06/30 08:22:58:744,40ms
2025/06/30 08:22:59:236,120ms
2025/06/30 08:22:59:346,40ms
2025/06/30 08:23:09:454,20ms
2025/06/30 08:23:09:624,67ms
2025/06/30 08:23:59:792,77ms
2025/06/30 08:24:00:610,27ms
2025/06/30 08:24:01:294,32ms
2025/06/30 08:24:01:661,32ms
2025/06/30 08:24:06:964,62ms
2025/06/30 08:24:07:542,22ms
2025/06/30 08:24:07:685,67ms
2025/06/30 08:24:09:092,70ms
2025/06/30 08:24:09:228,56ms
2025/06/30 08:24:09:483,60ms
2025/06/30 08:24:10:930,120ms
2025/06/30 08:24:11:046,40ms
2025/06/30 08:24:11:529,120ms
2025/06/30 08:24:11:641,40ms
2025/06/30 08:24:22:056,20ms
2025/06/30 08:24:22:228,66ms
2025/06/30 08:24:23:671,52ms
2025/06/30 08:50:48:551,77ms
2025/06/30 08:50:49:355,27ms
2025/06/30 08:50:49:993,32ms
2025/06/30 08:50:50:457,32ms
2025/06/30 08:50:55:775,60ms
2025/06/30 08:50:56:347,22ms
2025/06/30 08:50:56:523,67ms
2025/06/30 08:50:57:957,70ms
2025/06/30 08:50:58:091,56ms
2025/06/30 08:50:58:347,60ms
2025/06/30 08:50:59:823,119ms
2025/06/30 08:50:59:933,40ms
2025/06/30 08:51:00:445,120ms
2025/06/30 08:51:00:559,40ms
2025/06/30 08:51:10:892,20ms
2025/06/30 08:51:11:062,67ms
2025/06/30 08:51:16:761,77ms
2025/06/30 08:51:17:603,27ms
2025/06/30 08:51:18:283,32ms
2025/06/30 08:51:18:783,32ms
2025/06/30 08:51:25:233,60ms
2025/06/30 08:51:25:794,22ms
2025/06/30 08:51:25:969,67ms
2025/06/30 08:51:35:318,22ms
2025/06/30 08:51:35:492,67ms
2025/06/30 08:51:36:931,70ms
2025/06/30 08:51:37:066,56ms
2025/06/30 08:51:37:325,60ms
2025/06/30 08:51:38:792,120ms
2025/06/30 08:51:38:902,40ms
2025/06/30 08:51:39:413,120ms
2025/06/30 08:51:39:526,40ms
2025/06/30 08:51:49:776,20ms
2025/06/30 08:51:49:947,67ms
2025/06/30 08:51:51:412,52ms
