时间,采集时间
2025/06/28 08:23:59:509,77ms
2025/06/28 08:24:00:313,28ms
2025/06/28 08:24:00:955,32ms
2025/06/28 08:24:01:297,32ms
2025/06/28 08:24:06:386,62ms
2025/06/28 08:24:06:941,22ms
2025/06/28 08:24:07:084,68ms
2025/06/28 08:24:08:497,70ms
2025/06/28 08:24:08:634,56ms
2025/06/28 08:24:08:891,60ms
2025/06/28 08:24:10:351,119ms
2025/06/28 08:24:10:461,40ms
2025/06/28 08:24:10:935,120ms
2025/06/28 08:24:11:049,40ms
2025/06/28 08:24:21:129,20ms
2025/06/28 08:24:21:299,67ms
2025/06/28 08:24:23:043,53ms
2025/06/28 08:24:24:359,77ms
2025/06/28 08:24:25:196,28ms
2025/06/28 08:24:25:876,32ms
2025/06/28 08:24:26:212,32ms
2025/06/28 08:24:38:321,62ms
2025/06/28 08:24:38:869,22ms
2025/06/28 08:24:39:011,67ms
2025/06/28 08:24:40:399,70ms
2025/06/28 08:24:40:537,56ms
2025/06/28 08:24:40:792,60ms
2025/06/28 08:24:42:231,120ms
2025/06/28 08:24:42:345,40ms
2025/06/28 08:24:42:808,120ms
2025/06/28 08:24:42:922,40ms
2025/06/28 08:24:52:775,20ms
2025/06/28 08:24:52:945,67ms
2025/06/28 08:24:55:408,77ms
2025/06/28 08:24:56:202,27ms
2025/06/28 08:24:56:880,32ms
2025/06/28 08:24:57:169,32ms
2025/06/28 08:25:08:338,62ms
2025/06/28 08:25:08:894,22ms
2025/06/28 08:25:09:039,67ms
2025/06/28 08:25:10:435,70ms
2025/06/28 08:25:10:572,56ms
2025/06/28 08:25:10:827,60ms
2025/06/28 08:25:12:247,119ms
2025/06/28 08:25:12:357,40ms
2025/06/28 08:25:12:814,120ms
2025/06/28 08:25:12:930,40ms
2025/06/28 08:25:22:877,20ms
2025/06/28 08:25:23:048,67ms
2025/06/28 08:25:24:494,52ms
2025/06/28 08:54:07:372,77ms
2025/06/28 08:54:08:189,27ms
2025/06/28 08:54:08:872,32ms
2025/06/28 08:54:09:312,32ms
2025/06/28 08:54:14:552,62ms
2025/06/28 08:54:15:095,20ms
2025/06/28 08:54:15:264,68ms
2025/06/28 08:54:16:708,70ms
2025/06/28 08:54:16:843,56ms
2025/06/28 08:54:17:099,60ms
2025/06/28 08:54:18:540,120ms
2025/06/28 08:54:18:652,40ms
2025/06/28 08:54:19:109,120ms
2025/06/28 08:54:19:225,40ms
2025/06/28 08:54:29:419,22ms
2025/06/28 08:54:29:562,35ms
2025/06/28 08:54:32:090,77ms
2025/06/28 08:54:32:909,27ms
2025/06/28 08:54:33:587,32ms
2025/06/28 08:54:34:057,32ms
2025/06/28 08:54:55:947,62ms
2025/06/28 08:54:56:495,20ms
2025/06/28 08:54:56:664,67ms
2025/06/28 08:54:58:097,70ms
2025/06/28 08:54:58:232,56ms
2025/06/28 08:54:58:484,60ms
2025/06/28 08:54:59:925,120ms
2025/06/28 08:55:00:036,40ms
2025/06/28 08:55:00:534,120ms
2025/06/28 08:55:00:646,40ms
2025/06/28 08:55:10:807,21ms
2025/06/28 08:55:10:945,36ms
2025/06/28 08:55:12:394,52ms
2025/06/28 08:55:13:709,77ms
2025/06/28 08:55:14:543,27ms
2025/06/28 08:55:15:227,32ms
2025/06/28 08:55:15:705,32ms
2025/06/28 08:55:27:641,62ms
2025/06/28 08:55:28:189,20ms
2025/06/28 08:55:28:358,67ms
2025/06/28 08:55:29:783,70ms
2025/06/28 08:55:29:918,56ms
2025/06/28 08:55:30:167,60ms
2025/06/28 08:55:31:586,120ms
2025/06/28 08:55:31:698,40ms
2025/06/28 08:55:32:149,120ms
2025/06/28 08:55:32:260,40ms
2025/06/28 08:55:41:765,22ms
2025/06/28 08:55:41:907,35ms
2025/06/28 08:55:44:354,77ms
2025/06/28 08:55:45:155,27ms
2025/06/28 08:55:45:831,32ms
2025/06/28 08:55:46:292,32ms
2025/06/28 08:55:58:127,62ms
2025/06/28 08:55:58:674,20ms
2025/06/28 08:55:58:840,67ms
2025/06/28 08:56:00:258,70ms
2025/06/28 08:56:00:392,56ms
2025/06/28 08:56:00:645,60ms
2025/06/28 08:56:02:064,120ms
2025/06/28 08:56:02:175,40ms
2025/06/28 08:56:02:617,120ms
2025/06/28 08:56:02:733,40ms
2025/06/28 08:56:12:812,22ms
2025/06/28 08:56:12:953,35ms
2025/06/28 08:56:14:396,52ms
2025/06/28 08:56:15:719,77ms
2025/06/28 08:56:16:575,27ms
2025/06/28 08:56:17:246,32ms
2025/06/28 08:56:17:694,32ms
2025/06/28 08:56:29:625,62ms
2025/06/28 08:56:30:170,20ms
2025/06/28 08:56:30:338,67ms
2025/06/28 08:56:31:760,70ms
2025/06/28 08:56:31:898,56ms
2025/06/28 08:56:32:158,60ms
2025/06/28 08:56:33:601,120ms
2025/06/28 08:56:33:715,40ms
2025/06/28 08:56:34:222,120ms
2025/06/28 08:56:34:334,40ms
2025/06/28 08:56:44:091,22ms
2025/06/28 08:56:44:233,35ms
2025/06/28 08:56:46:690,77ms
2025/06/28 08:56:47:535,27ms
2025/06/28 08:56:48:221,32ms
2025/06/28 08:56:48:679,32ms
2025/06/28 08:56:59:677,62ms
2025/06/28 08:57:00:232,20ms
