时间,通道,亮度,设置时间
2025/06/28 08:23:59:410,2,255,23ms
2025/06/28 08:23:59:539,2,0,24ms
2025/06/28 08:24:00:242,3,90,23ms
2025/06/28 08:24:00:273,2,255,24ms
2025/06/28 08:24:00:343,3,0,24ms
2025/06/28 08:24:00:373,2,0,24ms
2025/06/28 08:24:00:913,6,255,23ms
2025/06/28 08:24:00:982,6,0,23ms
2025/06/28 08:24:01:256,6,255,23ms
2025/06/28 08:24:01:324,6,0,24ms
2025/06/28 08:24:06:305,2,255,23ms
2025/06/28 08:24:06:413,2,0,24ms
2025/06/28 08:24:06:905,3,255,23ms
2025/06/28 08:24:06:972,3,0,23ms
2025/06/28 08:24:07:003,2,255,23ms
2025/06/28 08:24:07:116,2,0,24ms
2025/06/28 08:24:08:418,1,255,24ms
2025/06/28 08:24:08:529,1,0,24ms
2025/06/28 08:24:08:559,4,255,23ms
2025/06/28 08:24:08:665,4,0,24ms
2025/06/28 08:24:08:815,4,255,24ms
2025/06/28 08:24:08:919,4,0,23ms
2025/06/28 08:24:10:218,5,255,24ms
2025/06/28 08:24:10:378,5,0,23ms
2025/06/28 08:24:10:409,4,255,23ms
2025/06/28 08:24:10:492,4,0,23ms
2025/06/28 08:24:10:802,5,255,23ms
2025/06/28 08:24:10:967,5,0,24ms
2025/06/28 08:24:10:997,4,255,23ms
2025/06/28 08:24:11:080,4,0,23ms
2025/06/28 08:24:21:095,3,255,23ms
2025/06/28 08:24:21:157,3,0,23ms
2025/06/28 08:24:21:188,3,0,23ms
2025/06/28 08:24:21:219,2,255,23ms
2025/06/28 08:24:21:330,3,0,24ms
2025/06/28 08:24:21:362,2,0,24ms
2025/06/28 08:24:22:978,2,255,23ms
2025/06/28 08:24:23:074,2,0,24ms
2025/06/28 08:24:24:262,2,255,24ms
2025/06/28 08:24:24:389,2,0,23ms
2025/06/28 08:24:25:126,3,90,24ms
2025/06/28 08:24:25:157,2,255,23ms
2025/06/28 08:24:25:227,3,0,23ms
2025/06/28 08:24:25:259,2,0,24ms
2025/06/28 08:24:25:837,6,255,24ms
2025/06/28 08:24:25:904,6,0,24ms
2025/06/28 08:24:26:173,6,255,23ms
2025/06/28 08:24:26:241,6,0,24ms
2025/06/28 08:24:38:241,2,255,23ms
2025/06/28 08:24:38:349,2,0,23ms
2025/06/28 08:24:38:833,3,255,24ms
2025/06/28 08:24:38:899,3,0,23ms
2025/06/28 08:24:38:931,2,255,23ms
2025/06/28 08:24:39:039,2,0,23ms
2025/06/28 08:24:40:319,1,255,23ms
2025/06/28 08:24:40:432,1,0,24ms
2025/06/28 08:24:40:462,4,255,24ms
2025/06/28 08:24:40:570,4,0,24ms
2025/06/28 08:24:40:717,4,255,24ms
2025/06/28 08:24:40:820,4,0,23ms
2025/06/28 08:24:42:099,5,255,24ms
2025/06/28 08:24:42:261,5,0,24ms
2025/06/28 08:24:42:292,4,255,24ms
2025/06/28 08:24:42:376,4,0,24ms
2025/06/28 08:24:42:675,5,255,24ms
2025/06/28 08:24:42:838,5,0,23ms
2025/06/28 08:24:42:869,4,255,23ms
2025/06/28 08:24:42:953,4,0,24ms
2025/06/28 08:24:52:740,3,255,23ms
2025/06/28 08:24:52:801,3,0,23ms
2025/06/28 08:24:52:832,3,0,23ms
2025/06/28 08:24:52:863,2,255,23ms
