时间,通道,亮度,设置时间
2025/06/26 08:21:16:326,2,255,23ms
2025/06/26 08:21:16:448,2,0,24ms
2025/06/26 08:21:17:195,3,90,23ms
2025/06/26 08:21:17:227,2,255,24ms
2025/06/26 08:21:17:293,3,0,23ms
2025/06/26 08:21:17:325,2,0,24ms
2025/06/26 08:21:17:860,6,255,24ms
2025/06/26 08:21:17:928,6,0,24ms
2025/06/26 08:21:18:382,6,255,24ms
2025/06/26 08:21:18:448,6,0,23ms
2025/06/26 08:21:23:823,2,255,23ms
2025/06/26 08:21:23:937,2,0,24ms
2025/06/26 08:21:24:433,3,255,23ms
2025/06/26 08:21:24:501,3,0,23ms
2025/06/26 08:21:24:532,2,255,23ms
2025/06/26 08:21:24:644,2,0,24ms
2025/06/26 08:21:25:942,1,255,24ms
2025/06/26 08:21:26:050,1,0,24ms
2025/06/26 08:21:26:081,4,255,23ms
2025/06/26 08:21:26:190,4,0,24ms
2025/06/26 08:21:26:343,4,255,25ms
2025/06/26 08:21:26:445,4,0,23ms
2025/06/26 08:21:27:742,5,255,23ms
2025/06/26 08:21:27:905,5,0,23ms
2025/06/26 08:21:27:937,4,255,23ms
2025/06/26 08:21:28:019,4,0,24ms
2025/06/26 08:21:28:359,5,255,24ms
2025/06/26 08:21:28:519,5,0,24ms
2025/06/26 08:21:28:551,4,255,24ms
2025/06/26 08:21:28:635,4,0,23ms
2025/06/26 08:22:12:359,3,255,24ms
2025/06/26 08:22:12:422,3,0,24ms
2025/06/26 08:22:12:453,3,0,23ms
2025/06/26 08:22:12:484,2,255,24ms
2025/06/26 08:22:12:597,3,0,23ms
2025/06/26 08:22:12:628,2,0,24ms
2025/06/26 08:22:14:210,2,255,24ms
2025/06/26 08:22:14:303,2,0,24ms
2025/06/26 08:22:15:499,2,255,25ms
2025/06/26 08:22:15:625,2,0,23ms
2025/06/26 08:22:16:351,3,90,24ms
2025/06/26 08:22:16:383,2,255,24ms
2025/06/26 08:22:16:452,3,0,24ms
2025/06/26 08:22:16:482,2,0,23ms
2025/06/26 08:22:17:068,6,255,24ms
2025/06/26 08:22:17:135,6,0,24ms
2025/06/26 08:22:17:528,6,255,24ms
2025/06/26 08:22:17:597,6,0,24ms
2025/06/26 08:22:27:985,2,255,23ms
2025/06/26 08:22:28:094,2,0,23ms
2025/06/26 08:22:28:573,3,255,24ms
2025/06/26 08:22:28:640,3,0,23ms
2025/06/26 08:22:28:671,2,255,23ms
2025/06/26 08:22:28:780,2,0,23ms
2025/06/26 08:22:30:062,1,255,23ms
2025/06/26 08:22:30:173,1,0,24ms
2025/06/26 08:22:30:205,4,255,24ms
2025/06/26 08:22:30:308,4,0,23ms
2025/06/26 08:22:30:457,4,255,23ms
2025/06/26 08:22:30:563,4,0,24ms
2025/06/26 08:22:31:861,5,255,24ms
2025/06/26 08:22:32:020,5,0,23ms
2025/06/26 08:22:32:052,4,255,24ms
2025/06/26 08:22:32:135,4,0,24ms
2025/06/26 08:22:32:357,5,255,24ms
2025/06/26 08:22:32:515,5,0,24ms
2025/06/26 08:22:32:546,4,255,24ms
2025/06/26 08:22:32:631,4,0,24ms
2025/06/26 08:22:42:335,3,255,23ms
2025/06/26 08:22:42:398,3,0,23ms
2025/06/26 08:22:42:429,3,0,24ms
2025/06/26 08:22:42:461,2,255,24ms
2025/06/26 08:22:42:568,3,0,24ms
2025/06/26 08:22:42:600,2,0,24ms
2025/06/26 08:22:44:902,2,255,24ms
2025/06/26 08:22:45:031,2,0,24ms
2025/06/26 08:22:45:732,3,90,24ms
2025/06/26 08:22:45:762,2,255,24ms
2025/06/26 08:22:45:832,3,0,24ms
2025/06/26 08:22:45:863,2,0,24ms
2025/06/26 08:22:46:393,6,255,24ms
2025/06/26 08:22:46:460,6,0,24ms
2025/06/26 08:22:46:794,6,255,25ms
2025/06/26 08:22:46:864,6,0,24ms
2025/06/26 08:22:57:186,2,255,24ms
2025/06/26 08:22:57:299,2,0,24ms
2025/06/26 08:22:57:782,3,255,23ms
2025/06/26 08:22:57:850,3,0,25ms
2025/06/26 08:22:57:880,2,255,23ms
2025/06/26 08:22:57:991,2,0,25ms
2025/06/26 08:22:59:268,1,255,23ms
2025/06/26 08:22:59:379,1,0,24ms
2025/06/26 08:22:59:409,4,255,23ms
2025/06/26 08:22:59:512,4,0,23ms
2025/06/26 08:22:59:663,4,255,23ms
2025/06/26 08:22:59:769,4,0,24ms
2025/06/26 08:23:01:040,5,255,24ms
2025/06/26 08:23:01:205,5,0,25ms
2025/06/26 08:23:01:235,4,255,23ms
2025/06/26 08:23:01:320,4,0,24ms
2025/06/26 08:23:01:621,5,255,23ms
2025/06/26 08:23:01:782,5,0,24ms
2025/06/26 08:23:01:813,4,255,23ms
2025/06/26 08:23:01:897,4,0,23ms
2025/06/26 08:23:12:029,3,255,23ms
2025/06/26 08:23:12:090,3,0,24ms
2025/06/26 08:23:12:122,3,0,24ms
2025/06/26 08:23:12:153,2,255,24ms
2025/06/26 08:23:12:265,3,0,24ms
2025/06/26 08:23:12:296,2,0,24ms
2025/06/26 08:23:13:609,2,255,24ms
2025/06/26 08:23:13:703,2,0,23ms
2025/06/26 08:23:14:892,2,255,24ms
2025/06/26 08:23:15:022,2,0,23ms
2025/06/26 08:23:15:742,3,90,24ms
2025/06/26 08:23:15:773,2,255,24ms
2025/06/26 08:23:15:842,3,0,24ms
2025/06/26 08:23:15:872,2,0,23ms
2025/06/26 08:23:16:458,6,255,24ms
2025/06/26 08:23:16:530,6,0,24ms
2025/06/26 08:23:16:974,6,255,23ms
2025/06/26 08:23:17:041,6,0,23ms
2025/06/26 08:23:27:313,2,255,24ms
2025/06/26 08:23:27:426,2,0,24ms
2025/06/26 08:23:27:911,3,255,24ms
2025/06/26 08:23:27:978,3,0,24ms
2025/06/26 08:23:28:008,2,255,23ms
2025/06/26 08:23:28:122,2,0,24ms
2025/06/26 08:23:29:390,1,255,23ms
