时间,通道,亮度,设置时间
2025/06/25 13:40:07:049,2,255,24ms
2025/06/25 13:40:07:182,2,0,23ms
2025/06/25 13:40:08:051,3,90,24ms
2025/06/25 13:40:08:082,2,255,24ms
2025/06/25 13:40:08:157,3,0,24ms
2025/06/25 13:40:08:188,2,0,25ms
2025/06/25 13:40:08:736,6,255,23ms
2025/06/25 13:40:08:809,6,0,24ms
2025/06/25 13:40:09:185,6,255,23ms
2025/06/25 13:40:09:257,6,0,23ms
2025/06/25 13:40:14:468,2,255,23ms
2025/06/25 13:40:14:641,2,0,23ms
2025/06/25 13:40:15:135,3,255,23ms
2025/06/25 13:40:15:222,3,0,23ms
2025/06/25 13:40:15:253,3,255,23ms
2025/06/25 13:40:15:284,2,60,23ms
2025/06/25 13:40:15:361,3,0,23ms
2025/06/25 13:40:15:392,2,0,23ms
2025/06/25 13:40:16:674,1,255,23ms
2025/06/25 13:40:16:788,1,0,23ms
2025/06/25 13:40:16:819,4,255,23ms
2025/06/25 13:40:16:920,4,0,23ms
2025/06/25 13:40:17:080,4,255,23ms
2025/06/25 13:40:17:184,4,0,23ms
2025/06/25 13:40:18:471,5,255,24ms
2025/06/25 13:40:18:640,5,0,23ms
2025/06/25 13:40:18:670,4,255,22ms
2025/06/25 13:40:18:755,4,0,23ms
2025/06/25 13:40:19:069,5,255,23ms
2025/06/25 13:40:19:230,5,0,23ms
2025/06/25 13:40:19:261,4,255,23ms
2025/06/25 13:40:19:346,4,0,24ms
2025/06/25 13:40:28:959,3,255,24ms
2025/06/25 13:40:29:023,3,0,24ms
2025/06/25 13:40:29:054,3,255,23ms
2025/06/25 13:40:29:085,2,60,23ms
2025/06/25 13:40:29:161,3,0,24ms
2025/06/25 13:40:29:192,2,0,24ms
2025/06/25 13:41:17:650,3,255,23ms
2025/06/25 13:41:17:735,3,0,23ms
2025/06/25 13:41:17:766,3,255,23ms
2025/06/25 13:41:17:797,2,60,23ms
2025/06/25 13:41:17:873,3,0,24ms
2025/06/25 13:41:17:905,2,0,24ms
2025/06/25 13:41:19:185,1,255,23ms
2025/06/25 13:41:19:298,1,0,23ms
2025/06/25 13:41:19:329,4,255,23ms
2025/06/25 13:41:19:439,4,0,23ms
2025/06/25 13:41:19:589,4,255,23ms
2025/06/25 13:41:19:693,4,0,23ms
2025/06/25 13:41:20:972,5,255,24ms
2025/06/25 13:41:21:131,5,0,23ms
2025/06/25 13:41:21:162,4,255,23ms
2025/06/25 13:41:21:245,4,0,23ms
2025/06/25 13:41:21:502,5,255,23ms
2025/06/25 13:41:21:663,5,0,23ms
2025/06/25 13:41:21:694,4,255,23ms
2025/06/25 13:41:21:778,4,0,24ms
2025/06/25 13:41:31:778,3,255,24ms
2025/06/25 13:41:31:850,3,0,24ms
2025/06/25 13:41:31:880,3,255,24ms
2025/06/25 13:41:31:910,2,60,23ms
2025/06/25 13:41:31:988,3,0,24ms
2025/06/25 13:41:32:020,2,0,24ms
2025/06/25 13:41:33:332,2,255,24ms
2025/06/25 13:41:33:427,2,0,23ms
2025/06/25 13:42:48:537,2,255,24ms
2025/06/25 13:42:48:661,2,0,23ms
2025/06/25 13:42:49:346,3,90,23ms
2025/06/25 13:42:49:377,2,255,24ms
2025/06/25 13:42:49:443,3,0,23ms
2025/06/25 13:42:49:475,2,0,24ms
2025/06/25 13:42:50:047,6,255,23ms
2025/06/25 13:42:50:119,6,0,24ms
2025/06/25 13:42:50:524,6,255,24ms
2025/06/25 13:42:50:590,6,0,23ms
2025/06/25 13:42:55:856,2,255,23ms
2025/06/25 13:42:56:032,2,0,23ms
2025/06/25 13:42:56:520,3,255,24ms
2025/06/25 13:42:56:612,3,0,25ms
2025/06/25 13:42:56:641,3,255,23ms
2025/06/25 13:42:56:674,2,60,24ms
2025/06/25 13:42:56:749,3,0,24ms
2025/06/25 13:42:56:781,2,0,24ms
2025/06/25 13:42:58:055,1,255,24ms
2025/06/25 13:42:58:163,1,0,23ms
2025/06/25 13:42:58:194,4,255,23ms
2025/06/25 13:42:58:304,4,0,24ms
2025/06/25 13:42:58:457,4,255,23ms
2025/06/25 13:42:58:561,4,0,23ms
2025/06/25 13:42:59:855,5,255,24ms
2025/06/25 13:43:00:013,5,0,23ms
2025/06/25 13:43:00:044,4,255,23ms
2025/06/25 13:43:00:127,4,0,24ms
2025/06/25 13:43:00:344,5,255,24ms
2025/06/25 13:43:00:508,5,0,24ms
2025/06/25 13:43:00:538,4,255,23ms
2025/06/25 13:43:00:621,4,0,23ms
2025/06/25 13:43:10:371,3,255,23ms
2025/06/25 13:43:10:436,3,0,23ms
2025/06/25 13:43:10:467,3,255,23ms
2025/06/25 13:43:10:499,2,60,24ms
2025/06/25 13:43:10:574,3,0,23ms
2025/06/25 13:43:10:605,2,0,23ms
2025/06/25 13:44:26:543,2,255,24ms
2025/06/25 13:44:26:666,2,0,24ms
2025/06/25 13:44:27:398,3,90,23ms
2025/06/25 13:44:27:429,2,255,23ms
2025/06/25 13:44:27:501,3,0,23ms
2025/06/25 13:44:27:533,2,0,24ms
2025/06/25 13:44:28:069,6,255,24ms
2025/06/25 13:44:28:138,6,0,24ms
2025/06/25 13:44:28:502,6,255,23ms
2025/06/25 13:44:28:571,6,0,24ms
2025/06/25 13:44:33:792,2,255,23ms
2025/06/25 13:44:33:970,2,0,24ms
2025/06/25 13:44:34:454,3,255,23ms
2025/06/25 13:44:34:545,3,0,24ms
2025/06/25 13:44:34:575,3,255,23ms
2025/06/25 13:44:34:607,2,60,24ms
2025/06/25 13:44:34:683,3,0,23ms
2025/06/25 13:44:34:715,2,0,24ms
2025/06/25 13:44:35:999,1,255,24ms
2025/06/25 13:44:36:110,1,0,23ms
2025/06/25 13:44:36:143,4,255,25ms
2025/06/25 13:44:36:249,4,0,24ms
2025/06/25 13:44:36:394,4,255,23ms
2025/06/25 13:44:36:499,4,0,23ms
2025/06/25 13:44:37:811,5,255,23ms
2025/06/25 13:44:37:970,5,0,23ms
2025/06/25 13:44:38:001,4,255,23ms
2025/06/25 13:44:38:086,4,0,23ms
2025/06/25 13:44:38:359,5,255,24ms
2025/06/25 13:44:38:519,5,0,24ms
2025/06/25 13:44:38:548,4,255,23ms
2025/06/25 13:44:38:632,4,0,24ms
2025/06/25 13:44:48:649,3,255,23ms
2025/06/25 13:44:48:719,3,0,24ms
2025/06/25 13:44:48:750,3,255,23ms
2025/06/25 13:44:48:782,2,60,24ms
2025/06/25 13:44:48:860,3,0,24ms
2025/06/25 13:44:48:891,2,0,24ms
2025/06/25 13:44:50:214,2,255,25ms
2025/06/25 13:44:50:312,2,0,24ms
2025/06/25 13:45:52:830,2,255,24ms
2025/06/25 13:45:52:954,2,0,24ms
2025/06/25 13:45:53:646,3,90,23ms
2025/06/25 13:45:53:677,2,255,24ms
2025/06/25 13:45:53:746,3,0,23ms
2025/06/25 13:45:53:778,2,0,24ms
2025/06/25 13:45:54:361,6,255,24ms
2025/06/25 13:45:54:428,6,0,23ms
2025/06/25 13:45:54:838,6,255,23ms
2025/06/25 13:45:54:905,6,0,24ms
2025/06/25 13:46:00:174,2,255,23ms
2025/06/25 13:46:00:351,2,0,24ms
2025/06/25 13:46:00:837,3,255,23ms
2025/06/25 13:46:00:924,3,0,25ms
2025/06/25 13:46:00:954,3,255,23ms
2025/06/25 13:46:00:986,2,60,24ms
2025/06/25 13:46:01:061,3,0,23ms
2025/06/25 13:46:01:092,2,0,24ms
2025/06/25 13:46:02:370,1,255,23ms
2025/06/25 13:46:02:482,1,0,24ms
2025/06/25 13:46:02:511,4,255,23ms
2025/06/25 13:46:02:622,4,0,24ms
2025/06/25 13:46:02:775,4,255,23ms
2025/06/25 13:46:02:881,4,0,24ms
2025/06/25 13:46:04:150,5,255,24ms
2025/06/25 13:46:04:313,5,0,24ms
2025/06/25 13:46:04:343,4,255,24ms
2025/06/25 13:46:04:427,4,0,24ms
2025/06/25 13:46:04:711,5,255,23ms
2025/06/25 13:46:04:872,5,0,24ms
2025/06/25 13:46:04:902,4,255,24ms
2025/06/25 13:46:04:986,4,0,24ms
2025/06/25 13:46:14:780,3,255,24ms
2025/06/25 13:46:14:850,3,0,24ms
2025/06/25 13:46:14:881,3,255,24ms
2025/06/25 13:46:14:912,2,60,24ms
2025/06/25 13:46:14:989,3,0,24ms
2025/06/25 13:46:15:020,2,0,24ms
2025/06/25 13:47:26:475,2,255,24ms
2025/06/25 13:47:26:601,2,0,24ms
2025/06/25 13:47:27:320,3,90,24ms
2025/06/25 13:47:27:351,2,255,24ms
2025/06/25 13:47:27:423,3,0,24ms
2025/06/25 13:47:27:453,2,0,24ms
2025/06/25 13:47:28:040,6,255,25ms
2025/06/25 13:47:28:108,6,0,24ms
2025/06/25 13:47:28:464,6,255,24ms
2025/06/25 13:47:28:531,6,0,23ms
2025/06/25 13:47:33:737,2,255,23ms
2025/06/25 13:47:33:911,2,0,25ms
2025/06/25 13:47:34:394,3,255,23ms
2025/06/25 13:47:34:483,3,0,24ms
2025/06/25 13:47:34:514,3,255,23ms
2025/06/25 13:47:34:545,2,60,23ms
2025/06/25 13:47:34:623,3,0,24ms
2025/06/25 13:47:34:654,2,0,24ms
2025/06/25 13:47:35:940,1,255,23ms
2025/06/25 13:47:36:052,1,0,24ms
2025/06/25 13:47:36:081,4,255,23ms
2025/06/25 13:47:36:190,4,0,23ms
2025/06/25 13:47:36:341,4,255,23ms
2025/06/25 13:47:36:446,4,0,23ms
2025/06/25 13:47:37:758,5,255,24ms
2025/06/25 13:47:37:921,5,0,24ms
2025/06/25 13:47:37:951,4,255,23ms
2025/06/25 13:47:38:034,4,0,23ms
2025/06/25 13:47:38:330,5,255,23ms
2025/06/25 13:47:38:491,5,0,24ms
2025/06/25 13:47:38:522,4,255,23ms
2025/06/25 13:47:38:607,4,0,25ms
2025/06/25 13:47:48:354,3,255,24ms
2025/06/25 13:47:48:424,3,0,25ms
2025/06/25 13:47:48:454,3,255,23ms
2025/06/25 13:47:48:485,2,60,24ms
2025/06/25 13:47:48:561,3,0,23ms
2025/06/25 13:47:48:591,2,0,23ms
2025/06/25 13:47:49:917,2,255,24ms
2025/06/25 13:47:50:012,2,0,24ms
2025/06/25 13:51:43:394,2,255,24ms
2025/06/25 13:51:43:516,2,0,23ms
2025/06/25 13:51:44:226,3,90,23ms
2025/06/25 13:51:44:258,2,255,24ms
2025/06/25 13:51:44:328,3,0,24ms
2025/06/25 13:51:44:359,2,0,24ms
2025/06/25 13:51:44:932,6,255,23ms
2025/06/25 13:51:45:003,6,0,23ms
2025/06/25 13:51:45:380,6,255,23ms
2025/06/25 13:51:45:448,6,0,24ms
2025/06/25 13:51:50:680,2,255,24ms
2025/06/25 13:51:50:853,2,0,23ms
2025/06/25 13:51:51:342,3,255,23ms
2025/06/25 13:51:51:427,3,0,23ms
2025/06/25 13:51:51:459,3,255,24ms
2025/06/25 13:51:51:492,2,60,24ms
2025/06/25 13:51:51:568,3,0,24ms
2025/06/25 13:51:51:598,2,0,24ms
2025/06/25 13:51:52:866,1,255,23ms
2025/06/25 13:51:52:977,1,0,24ms
2025/06/25 13:51:53:007,4,255,23ms
2025/06/25 13:51:53:115,4,0,24ms
2025/06/25 13:51:53:266,4,255,23ms
2025/06/25 13:51:53:371,4,0,23ms
2025/06/25 13:51:54:667,5,255,24ms
2025/06/25 13:51:54:827,5,0,23ms
2025/06/25 13:51:54:858,4,255,23ms
2025/06/25 13:51:54:944,4,0,25ms
2025/06/25 13:51:55:242,5,255,24ms
2025/06/25 13:51:55:402,5,0,24ms
2025/06/25 13:51:55:433,4,255,23ms
2025/06/25 13:51:55:518,4,0,24ms
2025/06/25 13:52:05:198,3,255,24ms
2025/06/25 13:52:05:268,3,0,24ms
2025/06/25 13:52:05:298,3,255,23ms
2025/06/25 13:52:05:329,2,60,24ms
2025/06/25 13:52:05:404,3,0,23ms
2025/06/25 13:52:05:435,2,0,24ms
2025/06/25 13:53:17:247,2,255,24ms
2025/06/25 13:53:17:369,2,0,25ms
2025/06/25 13:53:18:110,3,90,24ms
2025/06/25 13:53:18:140,2,255,23ms
2025/06/25 13:53:18:209,3,0,25ms
2025/06/25 13:53:18:239,2,0,24ms
2025/06/25 13:53:18:816,6,255,25ms
2025/06/25 13:53:18:883,6,0,23ms
2025/06/25 13:53:19:292,6,255,24ms
2025/06/25 13:53:19:359,6,0,23ms
2025/06/25 13:53:24:652,2,255,24ms
2025/06/25 13:53:24:826,2,0,24ms
2025/06/25 13:53:25:303,3,255,23ms
2025/06/25 13:53:25:394,3,0,24ms
2025/06/25 13:53:25:425,3,255,23ms
2025/06/25 13:53:25:457,2,60,25ms
2025/06/25 13:53:25:532,3,0,24ms
2025/06/25 13:53:25:564,2,0,24ms
2025/06/25 13:53:26:838,1,255,24ms
2025/06/25 13:53:26:948,1,0,23ms
2025/06/25 13:53:26:979,4,255,23ms
2025/06/25 13:53:27:089,4,0,25ms
2025/06/25 13:53:27:240,4,255,24ms
2025/06/25 13:53:27:345,4,0,23ms
2025/06/25 13:53:28:644,5,255,24ms
2025/06/25 13:53:28:802,5,0,23ms
2025/06/25 13:53:28:833,4,255,23ms
2025/06/25 13:53:28:918,4,0,25ms
2025/06/25 13:53:29:212,5,255,24ms
2025/06/25 13:53:29:371,5,0,23ms
2025/06/25 13:53:29:402,4,255,24ms
2025/06/25 13:53:29:486,4,0,24ms
2025/06/25 13:53:39:508,3,255,23ms
2025/06/25 13:53:39:574,3,0,23ms
2025/06/25 13:53:39:605,3,255,23ms
2025/06/25 13:53:39:635,2,60,23ms
2025/06/25 13:53:39:712,3,0,24ms
2025/06/25 13:53:39:743,2,0,24ms
2025/06/25 13:53:41:059,2,255,23ms
2025/06/25 13:53:41:157,2,0,24ms
2025/06/25 13:54:55:902,2,255,24ms
2025/06/25 13:54:56:028,2,0,24ms
2025/06/25 13:54:56:683,3,90,24ms
2025/06/25 13:54:56:716,2,255,24ms
2025/06/25 13:54:56:786,3,0,25ms
2025/06/25 13:54:56:816,2,0,24ms
2025/06/25 13:54:57:390,6,255,24ms
2025/06/25 13:54:57:456,6,0,24ms
2025/06/25 13:54:57:934,6,255,24ms
2025/06/25 13:54:58:000,6,0,23ms
2025/06/25 13:55:03:336,2,255,23ms
2025/06/25 13:55:03:512,2,0,23ms
2025/06/25 13:55:03:997,3,255,23ms
2025/06/25 13:55:04:083,3,0,24ms
2025/06/25 13:55:04:115,3,255,24ms
2025/06/25 13:55:04:147,2,60,24ms
2025/06/25 13:55:04:222,3,0,24ms
2025/06/25 13:55:04:253,2,0,23ms
2025/06/25 13:55:05:532,1,255,24ms
2025/06/25 13:55:05:641,1,0,23ms
2025/06/25 13:55:05:672,4,255,23ms
2025/06/25 13:55:05:777,4,0,23ms
2025/06/25 13:55:05:925,4,255,24ms
2025/06/25 13:55:06:031,4,0,23ms
2025/06/25 13:55:07:318,5,255,24ms
2025/06/25 13:55:07:478,5,0,24ms
2025/06/25 13:55:07:509,4,255,23ms
2025/06/25 13:55:07:594,4,0,25ms
2025/06/25 13:55:07:806,5,255,24ms
2025/06/25 13:55:07:965,5,0,23ms
2025/06/25 13:55:07:996,4,255,23ms
2025/06/25 13:55:08:081,4,0,23ms
2025/06/25 13:55:17:881,3,255,25ms
