时间,通道,亮度,设置时间
2025/06/25 13:55:17:945,3,0,23ms
2025/06/25 13:55:17:976,3,255,23ms
2025/06/25 13:55:18:008,2,60,24ms
2025/06/25 13:55:18:084,3,0,23ms
2025/06/25 13:55:18:116,2,0,24ms
2025/06/25 13:56:35:532,2,255,24ms
2025/06/25 13:56:35:654,2,0,24ms
2025/06/25 13:56:36:356,3,90,24ms
2025/06/25 13:56:36:387,2,255,24ms
2025/06/25 13:56:36:459,3,0,24ms
2025/06/25 13:56:36:491,2,0,25ms
2025/06/25 13:56:37:032,6,255,24ms
2025/06/25 13:56:37:098,6,0,23ms
2025/06/25 13:56:37:515,6,255,24ms
2025/06/25 13:56:37:583,6,0,24ms
2025/06/25 13:56:42:860,2,255,24ms
2025/06/25 13:56:43:035,2,0,24ms
2025/06/25 13:56:43:519,3,255,23ms
2025/06/25 13:56:43:609,3,0,23ms
2025/06/25 13:56:43:640,3,255,23ms
2025/06/25 13:56:43:671,2,60,24ms
2025/06/25 13:56:43:747,3,0,23ms
2025/06/25 13:56:43:779,2,0,24ms
2025/06/25 13:56:45:061,1,255,23ms
2025/06/25 13:56:45:171,1,0,24ms
2025/06/25 13:56:45:201,4,255,23ms
2025/06/25 13:56:45:306,4,0,23ms
2025/06/25 13:56:45:454,4,255,24ms
2025/06/25 13:56:45:559,4,0,24ms
2025/06/25 13:56:46:842,5,255,23ms
2025/06/25 13:56:47:006,5,0,24ms
2025/06/25 13:56:47:037,4,255,23ms
2025/06/25 13:56:47:121,4,0,23ms
2025/06/25 13:56:47:399,5,255,24ms
2025/06/25 13:56:47:563,5,0,25ms
2025/06/25 13:56:47:593,4,255,24ms
2025/06/25 13:56:47:678,4,0,24ms
2025/06/25 13:56:57:730,3,255,24ms
2025/06/25 13:56:57:800,3,0,24ms
2025/06/25 13:56:57:830,3,255,24ms
2025/06/25 13:56:57:861,2,60,24ms
2025/06/25 13:56:57:938,3,0,25ms
2025/06/25 13:56:57:969,2,0,24ms
2025/06/25 13:56:59:283,2,255,23ms
2025/06/25 13:56:59:380,2,0,24ms
2025/06/25 13:58:02:637,2,255,24ms
2025/06/25 13:58:02:763,2,0,24ms
2025/06/25 13:58:03:462,3,90,23ms
2025/06/25 13:58:03:494,2,255,24ms
2025/06/25 13:58:03:560,3,0,24ms
2025/06/25 13:58:03:591,2,0,24ms
2025/06/25 13:58:04:162,6,255,23ms
2025/06/25 13:58:04:234,6,0,24ms
2025/06/25 13:58:04:626,6,255,24ms
2025/06/25 13:58:04:694,6,0,25ms
2025/06/25 13:58:09:964,2,255,23ms
2025/06/25 13:58:10:139,2,0,23ms
2025/06/25 13:58:10:621,3,255,23ms
2025/06/25 13:58:10:709,3,0,24ms
2025/06/25 13:58:10:739,3,255,23ms
2025/06/25 13:58:10:771,2,60,24ms
2025/06/25 13:58:10:848,3,0,24ms
2025/06/25 13:58:10:879,2,0,24ms
2025/06/25 13:58:12:155,1,255,24ms
2025/06/25 13:58:12:265,1,0,24ms
2025/06/25 13:58:12:295,4,255,23ms
2025/06/25 13:58:12:403,4,0,23ms
2025/06/25 13:58:12:552,4,255,23ms
2025/06/25 13:58:12:657,4,0,23ms
2025/06/25 13:58:13:941,5,255,24ms
2025/06/25 13:58:14:102,5,0,24ms
2025/06/25 13:58:14:132,4,255,24ms
2025/06/25 13:58:14:215,4,0,24ms
2025/06/25 13:58:14:501,5,255,24ms
2025/06/25 13:58:14:661,5,0,24ms
2025/06/25 13:58:14:692,4,255,23ms
2025/06/25 13:58:14:774,4,0,24ms
2025/06/25 13:58:24:511,3,255,24ms
2025/06/25 13:58:24:582,3,0,25ms
2025/06/25 13:58:24:612,3,255,23ms
2025/06/25 13:58:24:643,2,60,24ms
2025/06/25 13:58:24:721,3,0,25ms
2025/06/25 13:58:24:752,2,0,24ms
2025/06/25 13:59:42:685,2,255,23ms
2025/06/25 13:59:42:811,2,0,24ms
2025/06/25 13:59:43:586,3,90,23ms
2025/06/25 13:59:43:617,2,255,24ms
2025/06/25 13:59:43:690,3,0,23ms
2025/06/25 13:59:43:722,2,0,25ms
2025/06/25 13:59:44:302,6,255,24ms
2025/06/25 13:59:44:369,6,0,24ms
2025/06/25 13:59:44:770,6,255,24ms
2025/06/25 13:59:44:837,6,0,23ms
2025/06/25 13:59:50:096,2,255,23ms
2025/06/25 13:59:50:272,2,0,24ms
2025/06/25 13:59:50:748,3,255,24ms
2025/06/25 13:59:50:832,3,0,24ms
2025/06/25 13:59:50:863,3,255,23ms
2025/06/25 13:59:50:895,2,60,25ms
2025/06/25 13:59:50:971,3,0,23ms
2025/06/25 13:59:51:002,2,0,23ms
2025/06/25 13:59:52:278,1,255,23ms
2025/06/25 13:59:52:387,1,0,23ms
2025/06/25 13:59:52:418,4,255,23ms
2025/06/25 13:59:52:525,4,0,24ms
2025/06/25 13:59:52:677,4,255,24ms
2025/06/25 13:59:52:782,4,0,23ms
2025/06/25 13:59:54:074,5,255,24ms
2025/06/25 13:59:54:239,5,0,24ms
2025/06/25 13:59:54:269,4,255,24ms
2025/06/25 13:59:54:354,4,0,24ms
2025/06/25 13:59:54:643,5,255,24ms
2025/06/25 13:59:54:803,5,0,24ms
2025/06/25 13:59:54:836,4,255,25ms
2025/06/25 13:59:54:918,4,0,24ms
2025/06/25 14:00:04:625,3,255,24ms
2025/06/25 14:00:04:695,3,0,23ms
2025/06/25 14:00:04:726,3,255,24ms
2025/06/25 14:00:04:758,2,60,24ms
2025/06/25 14:00:04:834,3,0,24ms
2025/06/25 14:00:04:865,2,0,24ms
2025/06/25 14:00:06:184,2,255,23ms
2025/06/25 14:00:06:282,2,0,24ms
2025/06/25 14:01:07:552,2,255,26ms
2025/06/25 14:01:07:678,2,0,23ms
2025/06/25 14:01:08:373,3,90,23ms
2025/06/25 14:01:08:404,2,255,24ms
2025/06/25 14:01:08:470,3,0,23ms
2025/06/25 14:01:08:502,2,0,24ms
2025/06/25 14:01:09:079,6,255,23ms
2025/06/25 14:01:09:147,6,0,23ms
2025/06/25 14:01:09:469,6,255,23ms
2025/06/25 14:01:09:541,6,0,24ms
2025/06/25 14:01:14:726,2,255,23ms
2025/06/25 14:01:14:902,2,0,23ms
2025/06/25 14:01:15:389,3,255,23ms
2025/06/25 14:01:15:480,3,0,24ms
2025/06/25 14:01:15:510,3,255,23ms
2025/06/25 14:01:15:542,2,60,25ms
2025/06/25 14:01:15:618,3,0,24ms
2025/06/25 14:01:15:649,2,0,24ms
2025/06/25 14:01:16:927,1,255,24ms
2025/06/25 14:01:17:040,1,0,24ms
2025/06/25 14:01:17:069,4,255,22ms
2025/06/25 14:01:17:172,4,0,23ms
2025/06/25 14:01:17:319,4,255,24ms
2025/06/25 14:01:17:422,4,0,23ms
2025/06/25 14:01:18:707,5,255,24ms
2025/06/25 14:01:18:866,5,0,23ms
2025/06/25 14:01:18:898,4,255,24ms
2025/06/25 14:01:18:982,4,0,24ms
2025/06/25 14:01:19:247,5,255,23ms
2025/06/25 14:01:19:409,5,0,24ms
2025/06/25 14:01:19:439,4,255,23ms
2025/06/25 14:01:19:524,4,0,24ms
2025/06/25 14:01:29:574,3,255,24ms
2025/06/25 14:01:29:643,3,0,24ms
2025/06/25 14:01:29:673,3,255,23ms
2025/06/25 14:01:29:705,2,60,24ms
2025/06/25 14:01:29:780,3,0,23ms
2025/06/25 14:01:29:811,2,0,23ms
2025/06/25 14:32:30:590,2,255,24ms
2025/06/25 14:32:30:714,2,0,25ms
2025/06/25 14:32:31:450,3,90,23ms
2025/06/25 14:32:31:481,2,255,24ms
2025/06/25 14:32:31:548,3,0,23ms
2025/06/25 14:32:31:579,2,0,24ms
2025/06/25 14:32:32:153,6,255,24ms
2025/06/25 14:32:32:220,6,0,23ms
2025/06/25 14:32:32:627,6,255,23ms
2025/06/25 14:32:32:695,6,0,23ms
2025/06/25 14:32:37:973,2,255,23ms
2025/06/25 14:32:38:147,2,0,24ms
2025/06/25 14:32:38:635,3,255,23ms
2025/06/25 14:32:38:725,3,0,23ms
2025/06/25 14:32:38:758,3,255,25ms
2025/06/25 14:32:38:790,2,60,23ms
2025/06/25 14:32:38:866,3,0,23ms
2025/06/25 14:32:38:898,2,0,24ms
2025/06/25 14:32:40:181,1,255,24ms
2025/06/25 14:32:40:292,1,0,25ms
2025/06/25 14:32:40:322,4,255,23ms
2025/06/25 14:32:40:430,4,0,24ms
2025/06/25 14:32:40:576,4,255,23ms
2025/06/25 14:32:40:680,4,0,23ms
2025/06/25 14:32:41:969,5,255,24ms
2025/06/25 14:32:42:129,5,0,23ms
2025/06/25 14:32:42:160,4,255,23ms
2025/06/25 14:32:42:246,4,0,25ms
2025/06/25 14:32:42:514,5,255,24ms
2025/06/25 14:32:42:677,5,0,23ms
2025/06/25 14:32:42:709,4,255,24ms
2025/06/25 14:32:42:793,4,0,24ms
2025/06/25 14:32:52:600,3,255,23ms
2025/06/25 14:32:52:666,3,0,24ms
2025/06/25 14:32:52:697,3,255,23ms
2025/06/25 14:32:52:728,2,60,24ms
2025/06/25 14:32:52:804,3,0,24ms
2025/06/25 14:32:52:835,2,0,25ms
2025/06/25 14:32:54:234,2,255,23ms
2025/06/25 14:32:54:333,2,0,25ms
2025/06/25 14:36:21:392,2,255,23ms
2025/06/25 14:36:21:512,2,0,23ms
2025/06/25 14:36:22:276,3,90,23ms
2025/06/25 14:36:22:307,2,255,23ms
2025/06/25 14:36:22:372,3,0,23ms
2025/06/25 14:36:22:403,2,0,23ms
2025/06/25 14:36:22:974,6,255,24ms
2025/06/25 14:36:23:041,6,0,23ms
2025/06/25 14:36:23:467,6,255,24ms
2025/06/25 14:36:23:534,6,0,23ms
2025/06/25 14:36:28:829,2,255,24ms
2025/06/25 14:36:29:008,2,0,24ms
2025/06/25 14:36:29:495,3,255,24ms
2025/06/25 14:36:29:584,3,0,24ms
2025/06/25 14:36:29:614,3,255,23ms
2025/06/25 14:36:29:645,2,60,23ms
2025/06/25 14:36:29:721,3,0,23ms
2025/06/25 14:36:29:753,2,0,24ms
2025/06/25 14:36:31:024,1,255,24ms
2025/06/25 14:36:31:137,1,0,24ms
2025/06/25 14:36:31:166,4,255,23ms
2025/06/25 14:36:31:272,4,0,23ms
2025/06/25 14:36:31:428,4,255,23ms
2025/06/25 14:36:31:533,4,0,23ms
2025/06/25 14:36:32:838,5,255,24ms
2025/06/25 14:36:33:000,5,0,24ms
2025/06/25 14:36:33:031,4,255,23ms
2025/06/25 14:36:33:114,4,0,24ms
2025/06/25 14:36:33:385,5,255,23ms
2025/06/25 14:36:33:546,5,0,23ms
2025/06/25 14:36:33:577,4,255,24ms
2025/06/25 14:36:33:661,4,0,24ms
2025/06/25 14:36:43:219,3,255,23ms
2025/06/25 14:36:43:292,3,0,24ms
2025/06/25 14:36:43:322,3,255,23ms
2025/06/25 14:36:43:353,2,60,23ms
2025/06/25 14:36:43:429,3,0,24ms
2025/06/25 14:36:43:460,2,0,24ms
2025/06/25 14:36:51:137,2,255,23ms
2025/06/25 14:36:51:260,2,0,23ms
2025/06/25 14:36:51:988,3,90,24ms
2025/06/25 14:36:52:018,2,255,23ms
2025/06/25 14:36:52:084,3,0,23ms
2025/06/25 14:36:52:115,2,0,23ms
2025/06/25 14:36:52:697,6,255,23ms
2025/06/25 14:36:52:765,6,0,23ms
2025/06/25 14:36:53:154,6,255,23ms
2025/06/25 14:36:53:221,6,0,23ms
2025/06/25 14:36:58:524,2,255,24ms
2025/06/25 14:36:58:699,2,0,23ms
2025/06/25 14:36:59:188,3,255,24ms
2025/06/25 14:36:59:277,3,0,23ms
2025/06/25 14:36:59:308,3,255,23ms
2025/06/25 14:36:59:339,2,60,23ms
2025/06/25 14:36:59:416,3,0,23ms
2025/06/25 14:36:59:447,2,0,23ms
2025/06/25 14:37:00:724,1,255,23ms
2025/06/25 14:37:00:835,1,0,23ms
2025/06/25 14:37:00:866,4,255,23ms
2025/06/25 14:37:00:969,4,0,24ms
2025/06/25 14:37:01:115,4,255,23ms
2025/06/25 14:37:01:220,4,0,23ms
2025/06/25 14:37:02:513,5,255,24ms
2025/06/25 14:37:02:673,5,0,24ms
2025/06/25 14:37:02:704,4,255,23ms
2025/06/25 14:37:02:788,4,0,24ms
2025/06/25 14:37:03:113,5,255,23ms
2025/06/25 14:37:03:273,5,0,23ms
2025/06/25 14:37:03:304,4,255,23ms
2025/06/25 14:37:03:387,4,0,23ms
2025/06/25 14:37:13:198,3,255,23ms
2025/06/25 14:37:13:264,3,0,23ms
2025/06/25 14:37:13:295,3,255,23ms
