时间,通道,亮度,设置时间
2025/06/27 08:18:21:768,2,255,24ms
2025/06/27 08:18:21:896,2,0,23ms
2025/06/27 08:18:22:537,3,90,23ms
2025/06/27 08:18:22:568,2,255,24ms
2025/06/27 08:18:22:638,3,0,24ms
2025/06/27 08:18:22:669,2,0,24ms
2025/06/27 08:18:23:209,6,255,25ms
2025/06/27 08:18:23:278,6,0,23ms
2025/06/27 08:18:23:498,6,255,23ms
2025/06/27 08:18:23:566,6,0,24ms
2025/06/27 08:18:28:559,2,255,24ms
2025/06/27 08:18:28:673,2,0,24ms
2025/06/27 08:18:29:154,3,255,24ms
2025/06/27 08:18:29:220,3,0,24ms
2025/06/27 08:18:29:252,2,255,23ms
2025/06/27 08:18:29:365,2,0,24ms
2025/06/27 08:18:30:681,1,255,23ms
2025/06/27 08:18:30:792,1,0,24ms
2025/06/27 08:18:30:822,4,255,23ms
2025/06/27 08:18:30:925,4,0,24ms
2025/06/27 08:18:31:073,4,255,24ms
2025/06/27 08:18:31:178,4,0,24ms
2025/06/27 08:18:32:476,5,255,24ms
2025/06/27 08:18:32:640,5,0,24ms
2025/06/27 08:18:32:669,4,255,23ms
2025/06/27 08:18:32:755,4,0,24ms
2025/06/27 08:18:33:059,5,255,23ms
2025/06/27 08:18:33:218,5,0,23ms
2025/06/27 08:18:33:249,4,255,24ms
2025/06/27 08:18:33:334,4,0,25ms
2025/06/27 08:18:43:540,3,255,24ms
2025/06/27 08:18:43:605,3,0,24ms
2025/06/27 08:18:43:636,3,0,24ms
2025/06/27 08:18:43:668,2,255,24ms
2025/06/27 08:18:43:776,3,0,24ms
2025/06/27 08:18:43:806,2,0,24ms
2025/06/27 08:18:45:433,2,255,23ms
2025/06/27 08:18:45:527,2,0,24ms
2025/06/27 08:18:46:719,2,255,24ms
2025/06/27 08:18:46:844,2,0,24ms
2025/06/27 08:18:47:548,3,90,24ms
2025/06/27 08:18:47:579,2,255,25ms
2025/06/27 08:18:47:644,3,0,24ms
2025/06/27 08:18:47:675,2,0,24ms
2025/06/27 08:18:48:255,6,255,24ms
2025/06/27 08:18:48:322,6,0,24ms
2025/06/27 08:18:48:714,6,255,24ms
2025/06/27 08:18:48:781,6,0,23ms
2025/06/27 08:18:59:245,2,255,24ms
2025/06/27 08:18:59:360,2,0,24ms
2025/06/27 08:18:59:846,3,255,23ms
2025/06/27 08:18:59:909,3,0,24ms
2025/06/27 08:18:59:940,2,255,23ms
2025/06/27 08:19:00:053,2,0,24ms
2025/06/27 08:19:01:337,1,255,23ms
2025/06/27 08:19:01:447,1,0,23ms
2025/06/27 08:19:01:478,4,255,23ms
2025/06/27 08:19:01:584,4,0,24ms
2025/06/27 08:19:01:734,4,255,23ms
2025/06/27 08:19:01:839,4,0,24ms
2025/06/27 08:19:03:155,5,255,24ms
2025/06/27 08:19:03:316,5,0,24ms
2025/06/27 08:19:03:345,4,255,22ms
2025/06/27 08:19:03:430,4,0,24ms
2025/06/27 08:19:03:756,5,255,24ms
2025/06/27 08:19:03:921,5,0,24ms
