时间,通道,亮度,设置时间
2025/06/27 08:19:03:951,4,255,23ms
2025/06/27 08:19:04:035,4,0,23ms
2025/06/27 08:19:14:084,3,255,24ms
2025/06/27 08:19:14:146,3,0,24ms
2025/06/27 08:19:14:176,3,0,24ms
2025/06/27 08:19:14:207,2,255,24ms
2025/06/27 08:19:14:315,3,0,23ms
2025/06/27 08:19:14:347,2,0,24ms
2025/06/27 08:19:16:629,2,255,23ms
2025/06/27 08:19:16:757,2,0,23ms
2025/06/27 08:19:17:442,3,90,23ms
2025/06/27 08:19:17:474,2,255,25ms
2025/06/27 08:19:17:541,3,0,23ms
2025/06/27 08:19:17:573,2,0,25ms
2025/06/27 08:19:18:155,6,255,23ms
2025/06/27 08:19:18:222,6,0,23ms
2025/06/27 08:19:18:616,6,255,23ms
2025/06/27 08:19:18:683,6,0,23ms
2025/06/27 08:19:28:160,2,255,23ms
2025/06/27 08:19:28:272,2,0,23ms
2025/06/27 08:19:28:761,3,255,24ms
2025/06/27 08:19:28:829,3,0,24ms
2025/06/27 08:19:28:860,2,255,24ms
2025/06/27 08:19:28:969,2,0,24ms
2025/06/27 08:19:30:257,1,255,23ms
2025/06/27 08:19:30:369,1,0,25ms
2025/06/27 08:19:30:399,4,255,23ms
2025/06/27 08:19:30:506,4,0,24ms
2025/06/27 08:19:30:655,4,255,24ms
2025/06/27 08:19:30:763,4,0,23ms
2025/06/27 08:19:32:037,5,255,23ms
2025/06/27 08:19:32:199,5,0,23ms
2025/06/27 08:19:32:230,4,255,23ms
2025/06/27 08:19:32:313,4,0,25ms
2025/06/27 08:19:32:589,5,255,24ms
2025/06/27 08:19:32:748,5,0,24ms
2025/06/27 08:19:32:778,4,255,23ms
2025/06/27 08:19:32:864,4,0,24ms
2025/06/27 08:19:42:900,3,255,24ms
2025/06/27 08:19:42:962,3,0,25ms
2025/06/27 08:19:42:992,3,0,23ms
2025/06/27 08:19:43:023,2,255,24ms
2025/06/27 08:19:43:132,3,0,24ms
2025/06/27 08:19:43:162,2,0,24ms
2025/06/27 08:19:44:503,2,255,23ms
2025/06/27 08:19:44:597,2,0,23ms
2025/06/27 08:59:06:868,2,255,24ms
2025/06/27 08:59:06:996,2,0,24ms
2025/06/27 08:59:07:702,3,90,23ms
2025/06/27 08:59:07:734,2,255,24ms
2025/06/27 08:59:07:804,3,0,24ms
2025/06/27 08:59:07:836,2,0,25ms
2025/06/27 08:59:08:374,6,255,23ms
2025/06/27 08:59:08:443,6,0,24ms
2025/06/27 08:59:08:792,6,255,24ms
2025/06/27 08:59:08:860,6,0,25ms
2025/06/27 08:59:13:988,2,255,23ms
2025/06/27 08:59:14:103,2,0,23ms
2025/06/27 08:59:14:589,3,255,24ms
2025/06/27 08:59:14:648,3,0,24ms
2025/06/27 08:59:14:679,3,0,24ms
2025/06/27 08:59:14:709,2,255,23ms
2025/06/27 08:59:14:821,3,0,24ms
2025/06/27 08:59:14:852,2,0,25ms
2025/06/27 08:59:16:193,1,255,23ms
2025/06/27 08:59:16:304,1,0,23ms
2025/06/27 08:59:16:335,4,255,23ms
2025/06/27 08:59:16:441,4,0,24ms
2025/06/27 08:59:16:590,4,255,23ms
2025/06/27 08:59:16:702,4,0,24ms
2025/06/27 08:59:17:974,5,255,23ms
2025/06/27 08:59:18:135,5,0,24ms
2025/06/27 08:59:18:166,4,255,23ms
2025/06/27 08:59:18:249,4,0,23ms
2025/06/27 08:59:18:535,5,255,24ms
2025/06/27 08:59:18:694,5,0,23ms
2025/06/27 08:59:18:726,4,255,24ms
2025/06/27 08:59:18:811,4,0,23ms
2025/06/27 08:59:28:670,3,255,23ms
2025/06/27 08:59:28:738,3,0,25ms
2025/06/27 08:59:28:767,3,255,23ms
2025/06/27 08:59:28:798,2,0,24ms
2025/06/27 08:59:28:877,3,0,24ms
2025/06/27 08:59:28:909,2,0,24ms
2025/06/27 09:03:22:955,2,255,24ms
2025/06/27 09:03:23:083,2,0,23ms
2025/06/27 09:03:23:840,3,90,24ms
2025/06/27 09:03:23:870,2,255,23ms
2025/06/27 09:03:23:937,3,0,24ms
2025/06/27 09:03:23:968,2,0,24ms
2025/06/27 09:03:24:542,6,255,24ms
2025/06/27 09:03:24:610,6,0,23ms
2025/06/27 09:03:24:950,6,255,24ms
2025/06/27 09:03:25:016,6,0,23ms
2025/06/27 09:03:30:124,2,255,23ms
2025/06/27 09:03:30:237,2,0,23ms
2025/06/27 09:03:30:722,3,255,24ms
2025/06/27 09:03:30:785,3,0,24ms
2025/06/27 09:03:30:815,3,0,24ms
2025/06/27 09:03:30:846,2,255,24ms
2025/06/27 09:03:30:951,3,0,24ms
2025/06/27 09:03:30:981,2,0,24ms
2025/06/27 09:03:32:276,1,255,25ms
2025/06/27 09:03:32:389,1,0,24ms
2025/06/27 09:03:32:419,4,255,23ms
2025/06/27 09:03:32:523,4,0,24ms
2025/06/27 09:03:32:669,4,255,24ms
2025/06/27 09:03:32:776,4,0,24ms
2025/06/27 09:03:34:020,5,255,23ms
2025/06/27 09:03:34:180,5,0,23ms
2025/06/27 09:03:34:212,4,255,24ms
2025/06/27 09:03:34:297,4,0,23ms
2025/06/27 09:03:34:605,5,255,23ms
2025/06/27 09:03:34:767,5,0,23ms
2025/06/27 09:03:34:798,4,255,23ms
2025/06/27 09:03:34:881,4,0,23ms
2025/06/27 09:03:44:950,3,255,24ms
2025/06/27 09:03:45:020,3,0,24ms
2025/06/27 09:03:45:051,3,255,24ms
2025/06/27 09:03:45:082,2,0,24ms
2025/06/27 09:03:45:160,3,0,24ms
2025/06/27 09:03:45:192,2,0,24ms
2025/06/27 09:03:46:611,2,255,24ms
2025/06/27 09:03:46:705,2,0,24ms
2025/06/27 09:03:49:125,2,255,24ms
2025/06/27 09:03:49:254,2,0,23ms
2025/06/27 09:03:50:004,3,90,23ms
2025/06/27 09:03:50:035,2,255,23ms
2025/06/27 09:03:50:101,3,0,25ms
2025/06/27 09:03:50:130,2,0,24ms
2025/06/27 09:03:50:716,6,255,23ms
2025/06/27 09:03:50:785,6,0,24ms
2025/06/27 09:03:51:220,6,255,24ms
2025/06/27 09:03:51:288,6,0,24ms
2025/06/27 09:03:59:496,2,255,24ms
2025/06/27 09:03:59:608,2,0,24ms
2025/06/27 09:04:00:091,3,255,24ms
2025/06/27 09:04:00:149,3,0,23ms
2025/06/27 09:04:00:180,3,0,23ms
2025/06/27 09:04:00:210,2,255,23ms
2025/06/27 09:04:00:315,3,0,24ms
2025/06/27 09:04:00:347,2,0,24ms
2025/06/27 09:04:01:637,1,255,24ms
2025/06/27 09:04:01:747,1,0,23ms
2025/06/27 09:04:01:778,4,255,24ms
2025/06/27 09:04:01:883,4,0,23ms
2025/06/27 09:04:02:031,4,255,24ms
2025/06/27 09:04:02:135,4,0,24ms
2025/06/27 09:04:03:410,5,255,24ms
2025/06/27 09:04:03:573,5,0,24ms
2025/06/27 09:04:03:603,4,255,23ms
2025/06/27 09:04:03:686,4,0,24ms
2025/06/27 09:04:03:914,5,255,24ms
2025/06/27 09:04:04:076,5,0,24ms
2025/06/27 09:04:04:107,4,255,23ms
2025/06/27 09:04:04:191,4,0,23ms
2025/06/27 09:04:14:110,3,255,24ms
2025/06/27 09:04:14:177,3,0,24ms
2025/06/27 09:04:14:209,3,255,24ms
2025/06/27 09:04:14:241,2,0,23ms
2025/06/27 09:04:14:319,3,0,24ms
2025/06/27 09:04:14:349,2,0,24ms
2025/06/27 09:05:30:268,2,255,24ms
2025/06/27 09:05:30:394,2,0,23ms
2025/06/27 09:05:31:089,3,90,23ms
2025/06/27 09:05:31:122,2,255,25ms
2025/06/27 09:05:31:190,3,0,24ms
2025/06/27 09:05:31:222,2,0,24ms
2025/06/27 09:05:31:758,6,255,24ms
2025/06/27 09:05:31:830,6,0,24ms
2025/06/27 09:05:32:205,6,255,23ms
2025/06/27 09:05:32:272,6,0,23ms
2025/06/27 09:05:37:421,2,255,24ms
2025/06/27 09:05:37:531,2,0,24ms
2025/06/27 09:05:38:014,3,255,23ms
2025/06/27 09:05:38:073,3,0,23ms
2025/06/27 09:05:38:104,3,0,23ms
2025/06/27 09:05:38:134,2,255,24ms
2025/06/27 09:05:38:241,3,0,24ms
2025/06/27 09:05:38:271,2,0,24ms
2025/06/27 09:05:39:566,1,255,23ms
2025/06/27 09:05:39:677,1,0,24ms
2025/06/27 09:05:39:707,4,255,24ms
2025/06/27 09:05:39:817,4,0,24ms
2025/06/27 09:05:39:964,4,255,24ms
2025/06/27 09:05:40:069,4,0,23ms
2025/06/27 09:05:41:349,5,255,23ms
2025/06/27 09:05:41:510,5,0,24ms
2025/06/27 09:05:41:540,4,255,23ms
2025/06/27 09:05:41:625,4,0,24ms
2025/06/27 09:05:41:929,5,255,24ms
2025/06/27 09:05:42:089,5,0,23ms
2025/06/27 09:05:42:120,4,255,23ms
2025/06/27 09:05:42:202,4,0,24ms
2025/06/27 09:05:51:871,3,255,23ms
2025/06/27 09:05:51:939,3,0,24ms
2025/06/27 09:05:51:969,3,255,23ms
2025/06/27 09:05:52:000,2,0,24ms
2025/06/27 09:05:52:080,3,0,24ms
2025/06/27 09:05:52:112,2,0,24ms
2025/06/27 09:05:53:431,2,255,24ms
2025/06/27 09:05:53:524,2,0,24ms
2025/06/27 09:06:23:379,2,255,24ms
2025/06/27 09:06:23:506,2,0,24ms
2025/06/27 09:06:24:171,3,90,24ms
2025/06/27 09:06:24:202,2,255,24ms
2025/06/27 09:06:24:270,3,0,24ms
2025/06/27 09:06:24:302,2,0,23ms
2025/06/27 09:06:24:884,6,255,23ms
2025/06/27 09:06:24:952,6,0,24ms
2025/06/27 09:06:25:298,6,255,23ms
2025/06/27 09:06:25:365,6,0,23ms
2025/06/27 09:06:30:453,2,255,24ms
2025/06/27 09:06:30:564,2,0,23ms
2025/06/27 09:06:31:049,3,255,23ms
2025/06/27 09:06:31:109,3,0,24ms
2025/06/27 09:06:31:140,3,0,23ms
2025/06/27 09:06:31:172,2,255,25ms
2025/06/27 09:06:31:278,3,0,24ms
2025/06/27 09:06:31:309,2,0,24ms
2025/06/27 09:06:32:596,1,255,23ms
2025/06/27 09:06:32:708,1,0,24ms
2025/06/27 09:06:32:738,4,255,23ms
2025/06/27 09:06:32:847,4,0,23ms
2025/06/27 09:06:32:993,4,255,23ms
2025/06/27 09:06:33:097,4,0,23ms
2025/06/27 09:06:34:372,5,255,23ms
2025/06/27 09:06:34:533,5,0,24ms
2025/06/27 09:06:34:564,4,255,23ms
2025/06/27 09:06:34:649,4,0,25ms
2025/06/27 09:06:34:921,5,255,24ms
2025/06/27 09:06:35:081,5,0,24ms
2025/06/27 09:06:35:112,4,255,24ms
2025/06/27 09:06:35:197,4,0,24ms
2025/06/27 09:06:45:309,3,255,24ms
2025/06/27 09:06:45:371,3,0,24ms
2025/06/27 09:06:45:402,3,255,23ms
2025/06/27 09:06:45:434,2,0,25ms
2025/06/27 09:06:45:511,3,0,23ms
2025/06/27 09:06:45:542,2,0,24ms
2025/06/27 09:09:44:632,2,255,24ms
2025/06/27 09:09:44:762,2,0,24ms
2025/06/27 09:09:45:489,3,90,24ms
2025/06/27 09:09:45:520,2,255,24ms
2025/06/27 09:09:45:585,3,0,24ms
2025/06/27 09:09:45:616,2,0,24ms
2025/06/27 09:09:46:186,6,255,24ms
2025/06/27 09:09:46:260,6,0,25ms
2025/06/27 09:09:46:695,6,255,23ms
2025/06/27 09:09:46:762,6,0,24ms
2025/06/27 09:09:51:945,2,255,25ms
2025/06/27 09:09:52:058,2,0,24ms
2025/06/27 09:09:52:544,3,255,23ms
2025/06/27 09:09:52:603,3,0,23ms
2025/06/27 09:09:52:634,3,0,23ms
2025/06/27 09:09:52:664,2,255,23ms
2025/06/27 09:09:52:772,3,0,25ms
2025/06/27 09:09:52:802,2,0,24ms
2025/06/27 09:09:54:349,1,255,23ms
2025/06/27 09:09:54:460,1,0,23ms
2025/06/27 09:09:54:491,4,255,24ms
2025/06/27 09:09:54:599,4,0,23ms
2025/06/27 09:09:54:747,4,255,23ms
2025/06/27 09:09:54:852,4,0,24ms
2025/06/27 09:09:56:113,5,255,24ms
2025/06/27 09:09:56:276,5,0,23ms
2025/06/27 09:09:56:307,4,255,23ms
2025/06/27 09:09:56:391,4,0,24ms
2025/06/27 09:09:56:670,5,255,24ms
2025/06/27 09:09:56:830,5,0,24ms
2025/06/27 09:09:56:861,4,255,23ms
2025/06/27 09:09:56:945,4,0,24ms
2025/06/27 09:10:07:042,3,255,24ms
2025/06/27 09:10:07:109,3,0,24ms
2025/06/27 09:10:07:140,3,255,23ms
2025/06/27 09:10:07:172,2,0,24ms
2025/06/27 09:10:07:250,3,0,23ms
2025/06/27 09:10:07:281,2,0,24ms
2025/06/27 09:10:09:115,2,255,24ms
2025/06/27 09:10:09:209,2,0,24ms
2025/06/27 09:10:15:761,2,255,23ms
2025/06/27 09:10:15:888,2,0,24ms
2025/06/27 09:10:16:595,3,90,24ms
2025/06/27 09:10:16:626,2,255,24ms
2025/06/27 09:10:16:695,3,0,24ms
2025/06/27 09:10:16:725,2,0,23ms
2025/06/27 09:10:17:302,6,255,24ms
2025/06/27 09:10:17:374,6,0,24ms
2025/06/27 09:10:17:792,6,255,24ms
2025/06/27 09:10:17:862,6,0,23ms
2025/06/27 09:10:23:099,2,255,24ms
2025/06/27 09:10:23:214,2,0,24ms
2025/06/27 09:10:23:695,3,255,23ms
2025/06/27 09:10:23:754,3,0,24ms
2025/06/27 09:10:23:786,3,0,24ms
2025/06/27 09:10:23:817,2,255,24ms
2025/06/27 09:10:23:922,3,0,24ms
2025/06/27 09:10:23:953,2,0,25ms
2025/06/27 09:10:25:407,1,255,23ms
2025/06/27 09:10:25:518,1,0,24ms
2025/06/27 09:10:25:548,4,255,23ms
2025/06/27 09:10:25:655,4,0,23ms
2025/06/27 09:10:25:803,4,255,23ms
2025/06/27 09:10:25:907,4,0,23ms
2025/06/27 09:10:27:163,5,255,24ms
2025/06/27 09:10:27:321,5,0,23ms
2025/06/27 09:10:27:352,4,255,23ms
2025/06/27 09:10:27:435,4,0,23ms
2025/06/27 09:10:27:676,5,255,24ms
2025/06/27 09:10:27:838,5,0,23ms
2025/06/27 09:10:27:869,4,255,23ms
2025/06/27 09:10:27:952,4,0,23ms
2025/06/27 09:10:37:578,3,255,23ms
2025/06/27 09:10:37:644,3,0,24ms
2025/06/27 09:10:37:675,3,255,24ms
2025/06/27 09:10:37:706,2,0,24ms
2025/06/27 09:10:37:783,3,0,24ms
2025/06/27 09:10:37:813,2,0,24ms
2025/06/27 09:10:41:888,2,255,23ms
2025/06/27 09:10:42:018,2,0,24ms
2025/06/27 09:10:42:732,3,90,24ms
2025/06/27 09:10:42:763,2,255,24ms
2025/06/27 09:10:42:833,3,0,24ms
2025/06/27 09:10:42:864,2,0,25ms
2025/06/27 09:10:43:426,6,255,24ms
2025/06/27 09:10:43:495,6,0,24ms
2025/06/27 09:10:43:873,6,255,23ms
2025/06/27 09:10:43:940,6,0,23ms
2025/06/27 09:10:51:725,2,255,23ms
2025/06/27 09:10:51:843,2,0,24ms
2025/06/27 09:10:52:325,3,255,24ms
2025/06/27 09:10:52:384,3,0,23ms
2025/06/27 09:10:52:415,3,0,23ms
2025/06/27 09:10:52:445,2,255,23ms
2025/06/27 09:10:52:551,3,0,24ms
2025/06/27 09:10:52:581,2,0,23ms
2025/06/27 09:10:53:971,1,255,24ms
2025/06/27 09:10:54:083,1,0,24ms
2025/06/27 09:10:54:113,4,255,23ms
2025/06/27 09:10:54:218,4,0,23ms
2025/06/27 09:10:54:372,4,255,25ms
2025/06/27 09:10:54:479,4,0,23ms
2025/06/27 09:10:55:749,5,255,24ms
2025/06/27 09:10:55:912,5,0,23ms
2025/06/27 09:10:55:943,4,255,23ms
2025/06/27 09:10:56:026,4,0,24ms
2025/06/27 09:10:56:200,5,255,24ms
2025/06/27 09:10:56:360,5,0,24ms
2025/06/27 09:10:56:390,4,255,24ms
2025/06/27 09:10:56:472,4,0,24ms
2025/06/27 09:11:06:253,3,255,23ms
2025/06/27 09:11:06:322,3,0,24ms
2025/06/27 09:11:06:352,3,255,23ms
2025/06/27 09:11:06:383,2,0,24ms
2025/06/27 09:11:06:463,3,0,24ms
2025/06/27 09:11:06:494,2,0,24ms
2025/06/27 09:11:08:238,2,255,24ms
2025/06/27 09:11:08:332,2,0,23ms
2025/06/27 09:12:01:777,2,255,24ms
2025/06/27 09:12:01:908,2,0,25ms
2025/06/27 09:12:02:649,3,90,24ms
2025/06/27 09:12:02:679,2,255,24ms
2025/06/27 09:12:02:749,3,0,24ms
2025/06/27 09:12:02:781,2,0,25ms
2025/06/27 09:12:03:318,6,255,23ms
2025/06/27 09:12:03:387,6,0,24ms
2025/06/27 09:12:03:779,6,255,24ms
2025/06/27 09:12:03:846,6,0,23ms
2025/06/27 09:12:09:002,2,255,23ms
2025/06/27 09:12:09:117,2,0,24ms
2025/06/27 09:12:09:609,3,255,23ms
2025/06/27 09:12:09:669,3,0,23ms
2025/06/27 09:12:09:700,3,0,23ms
2025/06/27 09:12:09:732,2,255,25ms
2025/06/27 09:12:09:837,3,0,23ms
2025/06/27 09:12:09:868,2,0,24ms
2025/06/27 09:12:11:276,1,255,24ms
2025/06/27 09:12:11:386,1,0,24ms
2025/06/27 09:12:11:417,4,255,23ms
2025/06/27 09:12:11:523,4,0,23ms
2025/06/27 09:12:11:675,4,255,24ms
2025/06/27 09:12:11:779,4,0,23ms
2025/06/27 09:12:13:049,5,255,23ms
2025/06/27 09:12:13:211,5,0,23ms
2025/06/27 09:12:13:242,4,255,24ms
2025/06/27 09:12:13:327,4,0,24ms
2025/06/27 09:12:13:628,5,255,23ms
2025/06/27 09:12:13:793,5,0,24ms
2025/06/27 09:12:13:824,4,255,24ms
2025/06/27 09:12:13:905,4,0,24ms
2025/06/27 09:12:24:027,3,255,23ms
2025/06/27 09:12:24:095,3,0,24ms
2025/06/27 09:12:24:125,3,255,24ms
2025/06/27 09:12:24:157,2,0,25ms
2025/06/27 09:12:24:237,3,0,24ms
2025/06/27 09:12:24:267,2,0,24ms
2025/06/27 09:12:34:841,2,255,24ms
2025/06/27 09:12:34:973,2,0,23ms
2025/06/27 09:12:35:666,3,90,24ms
2025/06/27 09:12:35:697,2,255,24ms
2025/06/27 09:12:35:767,3,0,24ms
2025/06/27 09:12:35:796,2,0,23ms
2025/06/27 09:12:36:375,6,255,23ms
2025/06/27 09:12:36:444,6,0,25ms
2025/06/27 09:12:36:814,6,255,24ms
2025/06/27 09:12:36:885,6,0,24ms
2025/06/27 09:12:42:022,2,255,24ms
2025/06/27 09:12:42:135,2,0,23ms
2025/06/27 09:12:42:627,3,255,23ms
2025/06/27 09:12:42:686,3,0,24ms
2025/06/27 09:12:42:716,3,0,23ms
2025/06/27 09:12:42:748,2,255,24ms
2025/06/27 09:12:42:853,3,0,24ms
2025/06/27 09:12:42:885,2,0,24ms
2025/06/27 09:12:44:172,1,255,24ms
2025/06/27 09:12:44:282,1,0,23ms
2025/06/27 09:12:44:313,4,255,23ms
2025/06/27 09:12:44:418,4,0,24ms
2025/06/27 09:12:44:566,4,255,24ms
2025/06/27 09:12:44:673,4,0,24ms
2025/06/27 09:12:45:950,5,255,23ms
2025/06/27 09:12:46:111,5,0,24ms
2025/06/27 09:12:46:142,4,255,23ms
2025/06/27 09:12:46:225,4,0,23ms
2025/06/27 09:12:46:445,5,255,23ms
2025/06/27 09:12:46:605,5,0,24ms
2025/06/27 09:12:46:635,4,255,24ms
2025/06/27 09:12:46:718,4,0,23ms
2025/06/27 09:12:56:634,3,255,23ms
2025/06/27 09:12:56:702,3,0,24ms
2025/06/27 09:12:56:732,3,255,23ms
2025/06/27 09:12:56:764,2,0,24ms
2025/06/27 09:12:56:842,3,0,24ms
2025/06/27 09:12:56:872,2,0,23ms
2025/06/27 09:12:58:322,2,255,25ms
2025/06/27 09:12:58:415,2,0,24ms
2025/06/27 09:13:31:604,2,255,24ms
2025/06/27 09:13:31:732,2,0,24ms
2025/06/27 09:13:32:399,3,90,23ms
2025/06/27 09:13:32:431,2,255,24ms
2025/06/27 09:13:32:502,3,0,24ms
2025/06/27 09:13:32:532,2,0,24ms
2025/06/27 09:13:33:098,6,255,23ms
2025/06/27 09:13:33:169,6,0,24ms
2025/06/27 09:13:33:556,6,255,24ms
2025/06/27 09:13:33:625,6,0,25ms
2025/06/27 09:13:38:779,2,255,23ms
2025/06/27 09:13:38:895,2,0,24ms
2025/06/27 09:13:39:380,3,255,23ms
2025/06/27 09:13:39:440,3,0,24ms
2025/06/27 09:13:39:471,3,0,23ms
2025/06/27 09:13:39:503,2,255,24ms
2025/06/27 09:13:39:611,3,0,24ms
2025/06/27 09:13:39:642,2,0,24ms
2025/06/27 09:13:41:092,1,255,23ms
2025/06/27 09:13:41:204,1,0,24ms
2025/06/27 09:13:41:234,4,255,23ms
2025/06/27 09:13:41:343,4,0,24ms
2025/06/27 09:13:41:489,4,255,24ms
2025/06/27 09:13:41:595,4,0,24ms
2025/06/27 09:13:42:849,5,255,23ms
2025/06/27 09:13:43:011,5,0,23ms
2025/06/27 09:13:43:042,4,255,23ms
2025/06/27 09:13:43:124,4,0,23ms
2025/06/27 09:13:43:431,5,255,23ms
2025/06/27 09:13:43:592,5,0,23ms
2025/06/27 09:13:43:623,4,255,23ms
2025/06/27 09:13:43:708,4,0,24ms
2025/06/27 09:13:53:764,3,255,24ms
2025/06/27 09:13:53:829,3,0,23ms
2025/06/27 09:13:53:860,3,255,24ms
2025/06/27 09:13:53:892,2,0,24ms
2025/06/27 09:13:53:969,3,0,24ms
2025/06/27 09:13:54:000,2,0,24ms
2025/06/27 09:13:56:759,2,255,24ms
2025/06/27 09:13:56:886,2,0,24ms
2025/06/27 09:13:57:584,3,90,24ms
2025/06/27 09:13:57:615,2,255,24ms
2025/06/27 09:13:57:685,3,0,25ms
2025/06/27 09:13:57:714,2,0,23ms
2025/06/27 09:13:58:299,6,255,24ms
2025/06/27 09:13:58:367,6,0,24ms
2025/06/27 09:13:58:660,6,255,23ms
2025/06/27 09:13:58:732,6,0,24ms
2025/06/27 09:14:07:895,2,255,24ms
2025/06/27 09:14:08:011,2,0,24ms
2025/06/27 09:14:08:500,3,255,23ms
2025/06/27 09:14:08:564,3,0,24ms
2025/06/27 09:14:08:594,3,0,23ms
2025/06/27 09:14:08:625,2,255,24ms
2025/06/27 09:14:08:734,3,0,24ms
2025/06/27 09:14:08:764,2,0,24ms
2025/06/27 09:14:10:049,1,255,23ms
2025/06/27 09:14:10:161,1,0,24ms
2025/06/27 09:14:10:191,4,255,23ms
2025/06/27 09:14:10:300,4,0,24ms
2025/06/27 09:14:10:449,4,255,23ms
2025/06/27 09:14:10:555,4,0,24ms
2025/06/27 09:14:11:833,5,255,24ms
2025/06/27 09:14:11:997,5,0,24ms
2025/06/27 09:14:12:028,4,255,24ms
2025/06/27 09:14:12:113,4,0,24ms
2025/06/27 09:14:12:415,5,255,23ms
2025/06/27 09:14:12:577,5,0,24ms
2025/06/27 09:14:12:607,4,255,23ms
2025/06/27 09:14:12:691,4,0,24ms
2025/06/27 09:14:22:390,3,255,24ms
2025/06/27 09:14:22:459,3,0,25ms
2025/06/27 09:14:22:490,3,255,25ms
2025/06/27 09:14:22:521,2,0,24ms
2025/06/27 09:14:22:599,3,0,24ms
2025/06/27 09:14:22:629,2,0,23ms
2025/06/27 09:14:23:945,2,255,22ms
2025/06/27 09:14:24:041,2,0,24ms
2025/06/27 09:14:53:900,2,255,24ms
2025/06/27 09:14:54:027,2,0,24ms
2025/06/27 09:14:54:692,3,90,23ms
2025/06/27 09:14:54:724,2,255,25ms
2025/06/27 09:14:54:788,3,0,24ms
2025/06/27 09:14:54:819,2,0,23ms
2025/06/27 09:14:55:394,6,255,24ms
2025/06/27 09:14:55:465,6,0,24ms
2025/06/27 09:14:55:800,6,255,23ms
2025/06/27 09:14:55:868,6,0,24ms
2025/06/27 09:15:00:947,2,255,23ms
2025/06/27 09:15:01:058,2,0,24ms
2025/06/27 09:15:01:544,3,255,23ms
2025/06/27 09:15:01:604,3,0,24ms
2025/06/27 09:15:01:635,3,0,23ms
2025/06/27 09:15:01:667,2,255,24ms
2025/06/27 09:15:01:773,3,0,25ms
2025/06/27 09:15:01:803,2,0,24ms
2025/06/27 09:15:03:088,1,255,23ms
2025/06/27 09:15:03:199,1,0,24ms
2025/06/27 09:15:03:229,4,255,23ms
2025/06/27 09:15:03:337,4,0,23ms
2025/06/27 09:15:03:485,4,255,24ms
2025/06/27 09:15:03:592,4,0,24ms
2025/06/27 09:15:04:872,5,255,23ms
2025/06/27 09:15:05:034,5,0,23ms
2025/06/27 09:15:05:065,4,255,23ms
