Angle,Torque
154.98,0.0189
157.14,0.0209
159.3,0.021
162,0.01995
164.16,0.01965
166.32,0.0206
168.48,0.02105
170.64,0.0217
172.8,0.02165
174.96,0.02255
177.66,0.02265
179.82,0.0225
181.98,0.0229
184.14,0.0226
186.84,0.0206
189,0.02355
191.16,0.02415
193.32,0.02295
195.48,0.02505
197.64,0.0254
199.8,0.02445
201.96,0.02635
204.66,0.0262
206.82,0.0251
208.98,0.0261
211.14,0.02615
213.3,0.02485
215.46,0.0265
218.16,0.02555
220.32,0.02555
222.48,0.0257
224.64,0.0257
226.8,0.0251
229.5,0.02655
231.66,0.0266
233.82,0.0276
235.98,0.02855
238.14,0.02725
240.3,0.02805
242.46,0.0284
244.62,0.0278
247.32,0.02905
249.48,0.02905
251.64,0.0282
253.8,0.0301
256.5,0.0301
258.66,0.02915
260.82,0.0298
262.98,0.03035
265.14,0.03005
267.3,0.03235
269.46,0.0319
271.62,0.03205
274.32,0.032
276.48,0.03195
278.64,0.0319
280.8,0.0344
282.96,0.03495
285.12,0.0356
287.28,0.0356
289.44,0.0356
291.6,0.0361
293.76,0.0381
296.46,0.0353
298.62,0.03775
300.78,0.03805
302.94,0.03675
305.1,0.0377
307.26,0.0376
309.42,0.03685
311.58,0.0382
314.28,0.03765
316.44,0.0377
318.6,0.03755
320.76,0.037
323.46,0.037
325.08,0.0383
327.78,0.0384
329.94,0.03845
332.1,0.0398
334.26,0.0391
336.42,0.03805
338.58,0.03945
341.28,0.0389
343.44,0.0384
346.14,0.03855
348.3,0.0378
350.46,0.0379
352.62,0.03695
355.32,0.03525
357.48,0.0376
359.64,0.03805
361.8,0.03595
364.5,0.03715
366.66,0.0365
368.82,0.03715
370.98,0.03655
373.68,0.0362
375.84,0.03645
378,0.0377
380.16,0.0374
382.32,0.03825
385.02,0.03985
387.18,0.03705
389.34,0.03855
392.04,0.03935
394.2,0.03725
396.36,0.03815
398.52,0.0385
401.22,0.036
403.38,0.0366
405.54,0.03635
407.7,0.03645
410.4,0.0364
412.56,0.0357
415.26,0.0347
417.42,0.03525
420.12,0.0334
422.28,0.0328
424.44,0.0329
427.14,0.0314
429.3,0.03175
432,0.03125
434.16,0.03135
436.32,0.03265
439.02,0.03225
441.18,0.03135
443.34,0.03135
446.04,0.0306
448.2,0.029
450.36,0.03045
453.06,0.02825
455.22,0.02855
457.92,0.0279
