Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.7,0
-3.24,0
-4.32,0
-5.94,0
-7.56,0
-9.18,-0.0025
-10.8,-0.00645
-12.96,-0.0125
-15.12,-0.01465
-17.28,-0.01495
-19.44,-0.0143
-21.6,-0.0141
-23.76,-0.0141
-25.92,-0.01655
-28.08,-0.0198
-30.24,-0.0221
-32.4,-0.0253
-34.56,-0.0253
-36.72,-0.0247
-38.88,-0.02125
-41.58,-0.018
-43.74,-0.01625
-45.9,-0.01585
-48.06,-0.01615
-50.22,-0.01695
-52.38,-0.02035
-54.54,-0.0217
-57.24,-0.0217
-59.4,-0.0216
-61.56,-0.0215
-63.72,-0.0172
-66.42,-0.01595
-68.58,-0.01545
-70.74,-0.01545
-73.44,-0.01715
-75.6,-0.0185
-77.76,-0.0201
-79.92,-0.0208
-82.08,-0.0207
-84.78,-0.01985
-86.94,-0.01805
-89.1,-0.0173
-91.26,-0.01625
-93.96,-0.0172
-96.12,-0.0186
-98.28,-0.0186
-100.44,-0.02
-102.6,-0.0199
-105.3,-0.0201
-107.46,-0.0201
-109.62,-0.02005
-111.78,-0.0196
-113.94,-0.01985
-116.64,-0.01925
-118.8,-0.0198
-120.96,-0.02095
-123.12,-0.0235
-125.28,-0.02475
-127.98,-0.02445
-130.14,-0.02155
-132.3,-0.0203
-135,-0.01825
-137.16,-0.01665
-139.32,-0.017
-141.48,-0.0166
-144.18,-0.01675
-146.34,-0.017
-148.5,-0.01705
-151.2,-0.0178
-153.36,-0.0178
-155.52,-0.01705
-158.22,-0.0168
-160.38,-0.01595
-162.54,-0.01595
-164.7,-0.0159
-167.4,-0.01635
-169.56,-0.01655
-171.72,-0.01965
-174.42,-0.0197
-176.58,-0.0188
-178.74,-0.01815
-180.9,-0.017
-183.6,-0.01685
-185.76,-0.01775
-187.92,-0.0171
-190.08,-0.0161
-192.78,-0.0176
-194.94,-0.0191
-197.1,-0.0212
-199.26,-0.02045
-201.96,-0.0232
-204.12,-0.0244
-206.28,-0.0241
-208.44,-0.02195
-210.6,-0.0218
-212.76,-0.02185
-214.92,-0.0205
-217.62,-0.02205
-219.78,-0.0218
-221.94,-0.0218
-224.64,-0.02355
-226.8,-0.0241
-228.96,-0.02795
-231.12,-0.02865
-232.74,-0.0311
-234.9,-0.03255
-237.06,-0.03495
-239.22,-0.0349
-241.38,-0.0387
-243.54,-0.0387
-246.24,-0.0378
-247.86,-0.03695
-250.02,-0.03395
-252.72,-0.0323
-254.88,-0.02485
-257.58,-0.0192
-260.28,-0.01635
-262.44,-0.0156
-265.14,-0.016
-267.3,-0.0145
-270,-0.01895
