Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-2.7,0
-3.78,0
-5.4,0
-7.02,0
-8.64,0
-10.8,-0.0048
-12.42,-0.012
-14.58,-0.01445
-16.74,-0.0147
-18.9,-0.01365
-21.06,-0.01525
-23.22,-0.01755
-25.38,-0.021
-27.54,-0.02395
-29.7,-0.02775
-31.86,-0.0292
-34.02,-0.03025
-36.18,-0.02935
-38.34,-0.0282
-40.5,-0.02605
-42.66,-0.02655
-44.82,-0.0241
-46.98,-0.026
-49.14,-0.02935
-51.3,-0.0293
-53.46,-0.03015
-56.16,-0.0298
-58.32,-0.02645
-60.48,-0.02485
-62.64,-0.02375
-64.8,-0.0221
-67.5,-0.02125
-69.66,-0.02175
-71.82,-0.0209
-74.52,-0.02265
-76.68,-0.02265
-79.38,-0.0164
-81.54,-0.01625
-84.24,-0.0161
-86.4,-0.01455
-88.56,-0.0145
-91.26,-0.01145
-93.42,-0.0138
-95.58,-0.01565
-98.28,-0.01785
-100.44,-0.01835
-103.14,-0.0179
-105.3,-0.01865
-107.46,-0.0183
-110.16,-0.01635
-112.32,-0.01355
-114.48,-0.0138
-116.64,-0.01385
-119.34,-0.0152
-121.5,-0.016
-124.2,-0.0158
-126.36,-0.0157
-128.52,-0.0144
-130.68,-0.0146
-133.38,-0.01465
-135.54,-0.0146
-137.7,-0.0139
-140.4,-0.01505
-142.56,-0.01495
-144.72,-0.0162
-146.88,-0.0163
-149.58,-0.0155
-151.74,-0.0154
-153.9,-0.01595
-156.6,-0.0138
-158.76,-0.0135
-160.92,-0.01395
-163.08,-0.01525
-165.24,-0.0179
-167.94,-0.01825
-170.1,-0.01815
-172.26,-0.01945
-174.42,-0.0191
-177.12,-0.01995
-179.28,-0.01985
-181.44,-0.01865
-183.6,-0.0181
-185.76,-0.0203
-188.46,-0.02015
-190.62,-0.0182
-192.78,-0.01875
-194.94,-0.0188
-197.1,-0.01865
-199.8,-0.0196
-201.96,-0.01955
-204.12,-0.0189
-206.28,-0.01825
-208.98,-0.0175
-211.14,-0.01795
-213.3,-0.0177
-215.46,-0.01705
-218.16,-0.01695
-220.32,-0.0152
-223.02,-0.01515
-225.18,-0.01425
-227.34,-0.01485
-229.5,-0.01495
-232.2,-0.01455
-234.36,-0.01345
-236.52,-0.01495
-239.22,-0.0149
-241.38,-0.01605
-243.54,-0.0161
-246.24,-0.01455
-248.4,-0.0159
-250.56,-0.0175
-252.72,-0.01735
-254.88,-0.01785
-257.58,-0.0186
-259.74,-0.01855
-261.9,-0.0196
-264.6,-0.0191
-266.22,-0.01795
-268.92,-0.0195
-271.08,-0.01935
