Angle,Torque
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.94,0
-7.56,0
-9.18,0
-11.34,-0.0036
-12.96,-0.00665
-15.12,-0.008
-17.82,-0.00965
-19.98,-0.0102
-22.14,-0.01125
-24.3,-0.01325
-26.46,-0.01455
-28.62,-0.01625
-30.78,-0.02
-32.94,-0.0211
-35.1,-0.02075
-37.26,-0.0177
-39.42,-0.01865
-41.58,-0.01775
-43.74,-0.0183
-46.44,-0.01835
-48.6,-0.01935
-50.76,-0.0212
-52.92,-0.02165
-55.08,-0.02115
-57.24,-0.01935
-59.4,-0.01945
-61.56,-0.01875
-64.26,-0.0185
-66.42,-0.01875
-68.58,-0.0186
-71.28,-0.0198
-73.44,-0.0217
-75.6,-0.0226
-77.76,-0.02445
-79.92,-0.02475
-82.08,-0.0232
-84.24,-0.02335
-86.4,-0.0241
-89.1,-0.0233
-91.26,-0.02315
-93.42,-0.0221
-95.58,-0.02495
-97.74,-0.0253
-99.9,-0.02525
-102.6,-0.02305
-104.76,-0.0205
-106.92,-0.0201
-109.62,-0.016
-111.78,-0.01455
-114.48,-0.015
-116.64,-0.01475
-118.8,-0.014
-121.5,-0.01495
-123.66,-0.01545
-125.82,-0.0158
-128.52,-0.0149
-130.68,-0.01595
-132.84,-0.01595
-135.54,-0.01525
-137.7,-0.01675
-139.86,-0.0168
-142.56,-0.0161
-144.72,-0.01645
-146.88,-0.0171
-149.04,-0.01835
-151.2,-0.01935
-153.9,-0.0193
-156.06,-0.02085
-158.22,-0.0209
-160.92,-0.01915
-163.08,-0.01895
-165.24,-0.01975
-167.4,-0.0211
-169.56,-0.02305
-171.72,-0.02305
-173.88,-0.0234
-176.04,-0.02355
-178.74,-0.0246
-180.9,-0.02465
-183.06,-0.0253
-185.22,-0.02405
-187.38,-0.02425
-190.08,-0.0248
-192.24,-0.0248
-194.4,-0.0229
-196.56,-0.02445
-198.72,-0.02395
-200.88,-0.025
-203.58,-0.02675
-205.74,-0.0265
-207.9,-0.02475
-210.06,-0.02625
-212.22,-0.0269
-214.38,-0.02885
-216.54,-0.02895
-219.24,-0.02795
-221.4,-0.02845
-223.56,-0.0303
-225.72,-0.02965
-227.88,-0.03205
-230.58,-0.032
-232.74,-0.0301
-234.9,-0.02975
-237.06,-0.03055
-239.22,-0.0323
-241.38,-0.03365
-243.54,-0.03345
-245.7,-0.03435
-247.86,-0.03625
-250.02,-0.03675
-252.18,-0.03685
-254.88,-0.03695
-257.04,-0.03605
-259.2,-0.03675
-261.36,-0.0366
-263.52,-0.03555
-265.68,-0.0339
-268.38,-0.0337
