Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.4,0
-7.02,0
-9.18,0
-10.8,-0.00525
-12.96,-0.01095
-15.12,-0.01285
-17.28,-0.0127
-19.44,-0.01305
-21.6,-0.0121
-23.76,-0.01385
-25.92,-0.0171
-28.08,-0.0202
-30.24,-0.0237
-32.4,-0.0259
-34.56,-0.0244
-36.72,-0.02385
-38.88,-0.022
-41.58,-0.0185
-43.74,-0.016
-45.9,-0.0156
-48.06,-0.0177
-50.22,-0.02125
-52.92,-0.0221
-55.08,-0.02185
-57.24,-0.02185
-59.4,-0.0211
-61.56,-0.01975
-64.26,-0.01905
-66.42,-0.0179
-68.58,-0.01565
-71.28,-0.01615
-73.44,-0.0187
-75.6,-0.02125
-77.76,-0.0213
-79.92,-0.01955
-82.62,-0.0213
-84.78,-0.0209
-86.94,-0.01885
-89.1,-0.0174
-91.8,-0.01735
-93.96,-0.0169
-96.12,-0.01845
-98.28,-0.01925
-100.98,-0.02085
-103.14,-0.02135
-105.3,-0.02065
-107.46,-0.0213
-109.62,-0.0214
-111.78,-0.02135
-114.48,-0.01875
-116.64,-0.02185
-118.8,-0.02175
-121.5,-0.02165
-123.66,-0.02265
-125.82,-0.02265
-127.98,-0.0223
-130.14,-0.02275
-132.3,-0.0208
-135,-0.0198
-137.16,-0.02075
-139.32,-0.02345
-141.48,-0.0252
-144.18,-0.0253
-146.34,-0.02425
-148.5,-0.02575
-150.66,-0.0272
-152.82,-0.02785
-154.98,-0.02945
-157.14,-0.0292
-159.3,-0.0287
-162,-0.0287
-163.62,-0.02955
-166.32,-0.03185
-168.48,-0.0323
-170.64,-0.03
-172.8,-0.0302
-174.96,-0.0314
-177.12,-0.03155
-179.82,-0.03385
-181.44,-0.0344
-183.6,-0.03405
-186.3,-0.03545
-188.46,-0.0365
-190.62,-0.03715
-192.78,-0.03485
-194.94,-0.0355
-197.1,-0.03465
-199.26,-0.03455
-201.96,-0.0338
-204.12,-0.0332
-206.28,-0.03225
-208.44,-0.03375
-211.14,-0.03315
-213.3,-0.03425
-215.46,-0.0348
-217.62,-0.03485
-219.78,-0.0375
-221.94,-0.0367
-224.64,-0.0353
-226.8,-0.03615
-228.96,-0.03715
-231.12,-0.0397
-233.28,-0.0397
-235.44,-0.038
-238.14,-0.03665
-240.3,-0.0371
-242.46,-0.0372
-244.62,-0.03675
-247.32,-0.037
-248.94,-0.0363
-251.64,-0.0381
-253.8,-0.0384
-255.96,-0.03485
-258.66,-0.03515
-260.82,-0.0359
-262.98,-0.0372
-265.14,-0.0378
-267.84,-0.03735
