Angle,Torque
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.4,0
-7.02,0
-8.64,0
-10.8,-0.00695
-12.42,-0.01505
-14.58,-0.01675
-16.74,-0.01645
-18.9,-0.0188
-21.06,-0.02195
-23.22,-0.0241
-25.38,-0.0271
-27,-0.02845
-29.16,-0.029
-31.32,-0.02995
-33.48,-0.0293
-35.64,-0.02745
-37.8,-0.027
-40.5,-0.0267
-42.66,-0.02635
-44.82,-0.02275
-46.98,-0.0254
-49.14,-0.02815
-51.3,-0.0279
-53.46,-0.029
-56.16,-0.02865
-58.32,-0.028
-60.48,-0.028
-62.64,-0.0258
-64.8,-0.02435
-67.5,-0.0258
-69.66,-0.0271
-71.82,-0.02715
-73.98,-0.028
-76.68,-0.027
-78.3,-0.02525
-81,-0.02745
-83.16,-0.0275
-85.32,-0.02425
-88.02,-0.02515
-90.18,-0.02505
-92.88,-0.025
-94.5,-0.0256
-97.2,-0.02755
-99.36,-0.02805
-101.52,-0.0278
-103.68,-0.02595
-106.38,-0.02635
-108.54,-0.02675
-110.7,-0.0252
-112.86,-0.0266
-115.56,-0.02605
-117.72,-0.02705
-119.88,-0.027
-122.04,-0.0265
-124.74,-0.02725
-126.9,-0.0271
-129.06,-0.02775
-131.22,-0.02825
-133.38,-0.0302
-136.08,-0.02985
-138.24,-0.02905
-140.4,-0.0288
-142.56,-0.02895
-145.26,-0.03065
-146.88,-0.03075
-149.58,-0.0288
-151.74,-0.0309
-153.9,-0.0308
-156.6,-0.0295
-158.76,-0.0283
-160.92,-0.02815
-163.08,-0.0295
-165.24,-0.03105
-167.94,-0.0295
-170.1,-0.0297
-172.26,-0.0318
-174.42,-0.03205
-177.12,-0.03305
-179.28,-0.03365
-181.44,-0.0318
-183.6,-0.03015
-185.76,-0.032
-188.46,-0.0316
-190.62,-0.0344
-192.78,-0.03435
-194.94,-0.0337
-197.1,-0.03435
-199.26,-0.03405
-201.96,-0.03235
-204.12,-0.03405
-206.28,-0.0329
-208.98,-0.0314
-211.14,-0.0328
-213.3,-0.0329
-215.46,-0.0335
-217.62,-0.0338
-219.78,-0.0336
-221.94,-0.03525
-224.64,-0.0362
-226.8,-0.0347
-228.96,-0.03455
-231.12,-0.033
-233.82,-0.03455
-235.98,-0.0357
-238.14,-0.037
-240.3,-0.03635
-242.46,-0.0372
-244.62,-0.0377
-247.32,-0.03595
-249.48,-0.0345
-252.18,-0.02805
-254.88,-0.01355
-257.58,-0.0107
-260.28,-0.0093
-262.98,-0.00475
-265.14,-0.0044
-267.84,-0.00915
-270,-0.0148
-272.16,-0.016
