Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-3.24,0
-3.24,0
-3.24,0
-3.24,0
-3.24,0
-3.78,0
-3.78,0
-3.78,0
-3.78,0
-3.78,0
-4.32,-0.0003
-4.32,-0.0002
-4.32,-0.00025
-4.32,-0.0005
-4.86,-0.0004
-4.86,-0.00025
-4.86,-0.00015
-5.4,-5E-05
-5.4,-0.00025
-5.4,-0.00015
-5.4,-0.0006
-5.94,-0.0009
-5.94,-0.00175
-5.94,-0.0024
-6.48,-0.0033
-6.48,-0.00425
-6.48,-0.0054
-7.02,-0.00685
-7.02,-0.00805
-7.02,-0.0093
-7.56,-0.01105
-7.56,-0.0127
-7.56,-0.014
-8.1,-0.01555
-8.1,-0.01685
-8.1,-0.01805
-8.64,-0.0193
-8.64,-0.0205
-8.64,-0.02145
-8.64,-0.0224
-9.18,-0.02335
-9.18,-0.0237
-9.18,-0.0248
-9.72,-0.02565
-9.72,-0.02615
-10.26,-0.0272
-10.26,-0.02805
-10.26,-0.02885
-10.8,-0.0293
-10.8,-0.02985
-10.8,-0.03095
-11.34,-0.0316
-11.34,-0.03245
-11.88,-0.03325
-11.88,-0.03425
-11.88,-0.03475
-12.42,-0.03575
-12.42,-0.03655
-12.96,-0.03725
-12.96,-0.03775
-12.96,-0.03845
-13.5,-0.03915
-13.5,-0.03955
-14.04,-0.0402
-14.04,-0.04055
-14.04,-0.0407
-14.58,-0.0409
-14.58,-0.0413
-15.12,-0.0415
-15.12,-0.04165
-15.12,-0.0416
-15.66,-0.04165
-15.66,-0.04195
-16.2,-0.0419
-16.2,-0.042
-16.74,-0.04205
-16.74,-0.04255
-16.74,-0.04345
-17.28,-0.04405
-17.28,-0.04575
-17.28,-0.0475
-17.82,-0.0498
-17.82,-0.05205
