时间,采集时间
2025/06/25 13:58:04:666,32ms
2025/06/25 13:58:10:111,128ms
2025/06/25 13:58:10:681,44ms
2025/06/25 13:58:10:817,35ms
2025/06/25 13:58:12:234,70ms
2025/06/25 13:58:12:371,56ms
2025/06/25 13:58:12:628,60ms
2025/06/25 13:58:14:073,120ms
2025/06/25 13:58:14:185,40ms
2025/06/25 13:58:14:633,120ms
2025/06/25 13:58:14:745,40ms
2025/06/25 13:58:24:550,27ms
2025/06/25 13:58:24:690,35ms
2025/06/25 13:59:42:782,77ms
2025/06/25 13:59:43:659,28ms
2025/06/25 13:59:44:341,32ms
2025/06/25 13:59:44:810,32ms
2025/06/25 13:59:50:240,128ms
2025/06/25 13:59:50:806,44ms
2025/06/25 13:59:50:941,35ms
2025/06/25 13:59:52:358,70ms
2025/06/25 13:59:52:494,56ms
2025/06/25 13:59:52:753,60ms
2025/06/25 13:59:54:207,120ms
2025/06/25 13:59:54:323,40ms
2025/06/25 13:59:54:776,120ms
2025/06/25 13:59:54:888,40ms
2025/06/25 14:00:04:664,27ms
2025/06/25 14:00:04:804,36ms
2025/06/25 14:00:06:251,52ms
2025/06/25 14:01:07:648,77ms
2025/06/25 14:01:08:443,27ms
2025/06/25 14:01:09:119,32ms
2025/06/25 14:01:09:510,33ms
2025/06/25 14:01:14:870,128ms
2025/06/25 14:01:15:448,44ms
2025/06/25 14:01:15:589,35ms
2025/06/25 14:01:17:008,69ms
2025/06/25 14:01:17:144,55ms
2025/06/25 14:01:17:393,60ms
2025/06/25 14:01:18:839,120ms
2025/06/25 14:01:18:951,40ms
2025/06/25 14:01:19:380,120ms
2025/06/25 14:01:19:493,40ms
2025/06/25 14:01:29:611,27ms
2025/06/25 14:01:29:751,35ms
2025/06/25 14:32:30:683,77ms
2025/06/25 14:32:31:522,27ms
2025/06/25 14:32:32:192,32ms
2025/06/25 14:32:32:667,32ms
2025/06/25 14:32:38:117,128ms
2025/06/25 14:32:38:694,44ms
2025/06/25 14:32:38:838,35ms
2025/06/25 14:32:40:260,70ms
2025/06/25 14:32:40:396,56ms
2025/06/25 14:32:40:652,60ms
2025/06/25 14:32:42:102,120ms
2025/06/25 14:32:42:214,40ms
2025/06/25 14:32:42:646,120ms
2025/06/25 14:32:42:761,40ms
2025/06/25 14:32:52:639,27ms
2025/06/25 14:32:52:775,36ms
2025/06/25 14:32:54:300,52ms
2025/06/25 14:36:21:483,77ms
2025/06/25 14:36:22:345,27ms
2025/06/25 14:36:23:013,32ms
2025/06/25 14:36:23:506,32ms
2025/06/25 14:36:28:975,128ms
2025/06/25 14:36:29:552,44ms
2025/06/25 14:36:29:692,35ms
2025/06/25 14:36:31:104,70ms
2025/06/25 14:36:31:240,56ms
2025/06/25 14:36:31:504,60ms
2025/06/25 14:36:32:970,120ms
2025/06/25 14:36:33:083,40ms
2025/06/25 14:36:33:518,119ms
2025/06/25 14:36:33:630,40ms
2025/06/25 14:36:43:259,27ms
2025/06/25 14:36:43:400,35ms
2025/06/25 14:36:51:230,77ms
2025/06/25 14:36:52:058,27ms
2025/06/25 14:36:52:737,32ms
2025/06/25 14:36:53:193,32ms
2025/06/25 14:36:58:666,128ms
2025/06/25 14:36:59:245,44ms
2025/06/25 14:36:59:386,35ms
2025/06/25 14:37:00:804,70ms
