time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.0,0.0,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-154,61,31,-26,-21,-450,-42,19,-15,-128,0,0,0,0,
00:00:45,0.0,0.01,0.05,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-155,61,31,-25,-22,-449,-42,17,-15,-128,0,0,0,0,
00:01:15,0.0,0.03,0.03,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,60,31,-25,-22,-448,-42,18,-15,-127,0,0,0,0,
00:01:45,0.0,0.0,0.02,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,61,30,-26,-22,-448,-42,18,-14,-128,0,0,0,0,
00:02:15,0.0,0.04,0.03,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,61,31,-25,-22,-447,-42,18,-14,-127,0,0,0,0,
00:02:45,0.03,0.0,0.07,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-15,-156,61,31,-26,-22,-447,-42,18,-15,-128,0,0,0,0,
00:03:15,0.0,0.0,0.04,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-157,61,31,-25,-21,-448,-42,17,-14,-128,0,0,0,0,
00:03:45,0.0,0.0,0.02,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,61,31,-25,-21,-448,-41,17,-15,-128,0,0,0,0,
00:04:15,0.02,0.02,0.02,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,61,31,-25,-22,-449,-42,18,-14,-127,0,0,0,0,
00:04:45,0.0,0.01,0.01,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-155,61,31,-24,-21,-448,-41,17,-14,-128,0,0,0,0,
00:05:15,0.0,0.02,0.03,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,62,31,-25,-22,-446,-42,19,-14,-128,0,0,0,0,
00:05:45,0.0,0.04,0.04,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,62,32,-25,-22,-447,-43,19,-14,-128,0,0,0,0,
00:06:15,0.0,0.0,0.04,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,61,31,-25,-22,-447,-42,18,-15,-128,0,0,0,0,
00:06:45,0.0,0.0,0.04,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,63,31,-24,-21,-449,-41,18,-14,-127,0,0,0,0,
00:07:15,0.0,0.0,0.02,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-156,62,32,-25,-21,-448,-42,17,-15,-128,0,0,0,0,
00:07:45,0.0,0.0,0.02,27.2,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-16,-154,62,31,-25,-21,-448,-42,18,-15,-128,0,0,0,0,
00:08:15,0.0,0.03,0.01,27.3,0.388,0.229,0.68,0.67,0.058,0.243,0.177,0.154,0.216,0.135,0.135,0.071,0.053,0.247,0.247,-15,-156,61,32,-26,-22,-450,-42,18,-15,-129,0,0,0,0,
