time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.01,0.03,0.09,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,78,43,-21,-34,-446,-45,-1,-12,-125,0,0,0,0,
00:00:45,0.0,0.04,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,78,43,-21,-35,-446,-44,0,-13,-125,0,0,0,0,
00:01:15,0.0,0.02,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,77,44,-21,-34,-446,-44,-1,-12,-126,0,0,0,0,
00:01:45,0.0,0.01,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,44,-21,-34,-443,-43,0,-13,-125,0,0,0,0,
00:02:15,0.0,0.03,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,78,45,-21,-34,-446,-45,0,-13,-125,0,0,0,0,
00:02:45,0.0,0.0,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-138,77,44,-21,-34,-444,-43,0,-13,-126,0,0,0,0,
00:03:15,0.0,0.02,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,44,-21,-34,-444,-45,0,-13,-126,0,0,0,0,
00:03:45,0.0,0.02,0.04,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-136,77,44,-21,-35,-442,-43,0,-13,-125,0,0,0,0,
00:04:15,0.0,0.03,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,78,43,-21,-34,-445,-45,-1,-13,-125,0,0,0,0,
00:04:45,0.02,0.02,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,44,-21,-35,-446,-44,0,-12,-126,0,0,0,0,
00:05:15,0.0,0.02,0.01,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-136,77,44,-21,-35,-444,-44,-1,-13,-126,0,0,0,0,
00:05:45,0.0,0.0,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-138,78,44,-22,-35,-444,-44,0,-13,-125,0,0,0,0,
00:06:15,0.0,0.01,0.04,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,45,-20,-34,-445,-44,0,-12,-125,0,0,0,0,
00:06:45,0.0,0.0,0.06,29.3,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-136,77,45,-22,-34,-447,-44,-1,-13,-125,0,0,0,0,
00:07:15,0.0,0.0,0.04,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,78,45,-21,-35,-445,-44,0,-13,-125,0,0,0,0,
00:07:45,0.0,0.03,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-139,79,46,-20,-34,-444,-43,0,-12,-125,0,0,0,0,
00:08:15,0.0,0.03,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,79,46,-21,-35,-445,-44,0,-12,-125,0,0,0,0,
00:08:45,0.0,0.0,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,80,46,-21,-34,-447,-44,0,-12,-125,0,0,0,0,
00:09:15,0.0,0.01,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,80,47,-21,-33,-444,-43,1,-13,-125,0,0,0,0,
00:09:45,0.0,0.04,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-138,79,47,-20,-35,-446,-44,0,-13,-127,0,0,0,0,
00:10:15,0.0,0.04,0.0,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,80,46,-21,-34,-444,-44,-1,-13,-125,0,0,0,0,
00:10:45,0.0,0.07,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,80,46,-20,-34,-443,-43,0,-13,-125,0,0,0,0,
00:11:15,0.0,0.0,0.02,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,79,46,-20,-35,-445,-44,0,-12,-125,0,0,0,0,
00:11:45,0.0,0.0,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-136,80,47,-21,-34,-445,-44,-1,-12,-125,0,0,0,0,
00:12:15,0.0,0.01,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-12,-138,80,46,-20,-35,-444,-45,0,-12,-125,0,0,0,0,
00:12:45,0.0,0.02,0.07,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,79,46,-21,-35,-443,-45,0,-12,-125,0,0,0,0,
00:13:15,0.02,0.03,0.02,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,80,45,-20,-35,-443,-46,1,-13,-125,0,0,0,0,
00:13:45,0.01,0.0,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,79,45,-20,-34,-443,-43,0,-12,-125,0,0,0,0,
00:14:15,0.0,0.03,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,78,45,-20,-34,-447,-43,-1,-12,-125,0,0,0,0,
00:14:45,0.0,0.02,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-136,79,44,-20,-34,-445,-44,0,-13,-125,0,0,0,0,
00:15:15,0.02,0.01,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-136,79,44,-21,-35,-444,-44,1,-12,-125,0,0,0,0,
00:15:45,0.0,0.02,0.09,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-136,78,44,-20,-34,-444,-45,0,-12,-125,0,0,0,0,
00:16:15,0.0,0.0,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,79,44,-20,-34,-446,-45,0,-12,-126,0,0,0,0,
00:16:45,0.0,0.02,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-138,78,44,-21,-35,-445,-44,-2,-12,-125,0,0,0,0,
00:17:15,0.0,0.04,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,79,45,-21,-34,-444,-45,0,-12,-126,0,0,0,0,
00:17:45,0.0,0.0,0.07,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-138,78,44,-21,-34,-444,-44,0,-12,-125,0,0,0,0,
00:18:15,0.0,0.02,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,79,44,-20,-35,-446,-44,1,-12,-125,0,0,0,0,
00:18:45,0.0,0.01,0.02,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,78,44,-20,-34,-445,-44,-1,-12,-125,0,0,0,0,
00:19:15,0.0,0.0,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,77,43,-21,-35,-445,-44,0,-12,-125,0,0,0,0,
00:19:45,0.0,0.01,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-138,76,43,-21,-35,-444,-44,0,-12,-126,0,0,0,0,
00:20:15,0.0,0.02,0.03,29.0,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,77,44,-20,-34,-444,-44,0,-13,-126,0,0,0,0,
00:20:45,0.0,0.03,0.05,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,77,44,-21,-34,-445,-44,-1,-12,-125,0,0,0,0,
00:21:15,0.0,0.02,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,78,44,-21,-34,-445,-45,-2,-12,-125,0,0,0,0,
00:21:45,0.0,0.0,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,79,44,-21,-34,-443,-45,-1,-12,-126,0,0,0,0,
00:22:15,0.02,0.02,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,80,45,-20,-34,-442,-44,0,-12,-125,0,0,0,0,
00:22:45,0.0,0.02,0.01,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-136,80,45,-20,-33,-445,-44,1,-12,-125,0,0,0,0,
00:23:15,0.0,0.0,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,80,46,-20,-35,-446,-45,-1,-12,-126,0,0,0,0,
00:23:45,0.0,0.02,0.04,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-139,81,45,-21,-34,-444,-45,0,-12,-126,0,0,0,0,
00:24:15,0.0,0.01,0.06,29.0,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,81,45,-20,-33,-443,-45,-1,-12,-125,0,0,0,0,
00:24:45,0.0,0.05,0.06,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,80,45,-21,-34,-444,-45,-1,-12,-125,0,0,0,0,
00:25:15,0.0,0.04,0.02,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,79,45,-20,-34,-444,-44,0,-12,-125,0,0,0,0,
00:25:45,0.0,0.0,0.02,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,79,44,-20,-34,-444,-43,0,-12,-125,0,0,0,0,
00:26:15,0.0,0.0,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,79,44,-19,-35,-446,-43,-1,-12,-125,0,0,0,0,
00:26:45,0.0,0.02,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-139,77,43,-20,-34,-446,-45,0,-12,-125,0,0,0,0,
00:27:15,0.0,0.02,0.04,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,78,42,-20,-34,-443,-44,0,-11,-125,0,0,0,0,
00:27:45,0.0,0.01,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-136,77,42,-20,-35,-447,-44,1,-12,-125,0,0,0,0,
00:28:15,0.0,0.01,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,76,42,-22,-34,-445,-45,-1,-12,-125,0,0,0,0,
00:28:45,0.0,0.03,0.06,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,42,-21,-35,-445,-45,0,-12,-125,0,0,0,0,
00:29:15,0.0,0.03,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-135,76,42,-21,-35,-444,-44,0,-12,-125,0,0,0,0,
00:29:45,0.0,0.02,0.01,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,76,42,-21,-35,-445,-45,-1,-12,-126,0,0,0,0,
00:30:15,0.0,0.01,0.06,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,78,42,-21,-35,-444,-45,0,-13,-126,0,0,0,0,
00:30:45,0.0,0.04,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,43,-20,-35,-445,-45,-1,-12,-126,0,0,0,0,
00:31:15,0.0,0.01,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,76,42,-20,-34,-443,-44,0,-12,-125,0,0,0,0,
00:31:45,0.0,0.01,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,76,42,-21,-35,-443,-44,-1,-12,-125,0,0,0,0,
00:32:15,0.0,0.01,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,77,42,-21,-34,-446,-43,-1,-12,-125,0,0,0,0,
00:32:45,0.0,0.01,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,76,42,-21,-36,-444,-44,0,-12,-125,0,0,0,0,
00:33:15,0.0,0.02,0.03,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,76,42,-20,-36,-445,-45,0,-13,-126,0,0,0,0,
00:33:45,0.0,0.02,0.04,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,76,43,-21,-35,-446,-44,-1,-12,-125,0,0,0,0,
00:34:15,0.0,0.01,0.02,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-136,78,44,-21,-35,-445,-44,0,-12,-126,0,0,0,0,
00:34:45,0.0,0.02,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-14,-137,78,44,-20,-35,-445,-44,0,-12,-125,0,0,0,0,
00:35:15,0.0,0.03,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-137,79,44,-21,-34,-443,-44,0,-13,-126,0,0,0,0,
00:35:45,0.0,0.0,0.03,29.2,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,43,-20,-35,-445,-44,0,-12,-126,0,0,0,0,
00:36:15,0.01,0.02,0.05,29.1,0.387,0.237,0.681,0.67,0.061,0.246,0.18,0.153,0.223,0.138,0.138,0.07,0.057,0.248,0.235,-13,-138,77,43,-20,-34,-446,-44,0,-12,-125,0,0,0,0,
