time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:12:15,0.0,0.0,0.04,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,126,0,-38,-24,-444,-37,-1,-12,-129,0,0,0,0
00:12:45,0.0,0.02,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,125,0,-39,-24,-443,-37,-1,-13,-130,0,0,0,0
00:13:15,0.0,0.01,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-39,-24,-445,-38,-1,-12,-130,0,0,0,0
00:13:45,0.03,0.03,0.06,30.6,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,126,0,-39,-24,-444,-38,-1,-13,-129,0,0,0,0
00:14:15,0.0,0.06,0.06,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,126,0,-38,-24,-442,-37,-2,-13,-129,0,0,0,0
00:14:45,0.0,0.0,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,127,0,-39,-24,-443,-38,-1,-13,-130,0,0,0,0
00:15:15,0.0,0.0,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,127,1,-38,-24,-444,-37,-2,-13,-130,0,0,0,0
00:15:45,0.0,0.01,0.01,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-155,126,0,-39,-23,-445,-37,-1,-12,-129,0,0,0,0
00:16:15,0.01,0.03,0.07,30.6,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,126,1,-38,-24,-444,-37,-1,-13,-129,0,0,0,0
00:16:45,0.0,0.02,0.05,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,126,0,-38,-24,-445,-38,-2,-13,-129,0,0,0,0
00:17:15,0.0,0.0,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-39,-24,-446,-37,-1,-13,-129,0,0,0,0
00:17:45,0.0,0.07,0.06,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-39,-24,-443,-38,-1,-13,-129,0,0,0,0
00:18:15,0.0,0.0,0.07,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-38,-23,-446,-37,-1,-13,-130,0,0,0,0
00:18:45,0.0,0.01,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,126,1,-39,-25,-446,-38,-2,-13,-130,0,0,0,0
00:19:15,0.0,0.01,0.06,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,125,1,-39,-24,-445,-37,-1,-13,-128,0,0,0,0
00:19:45,0.01,0.06,0.07,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-158,127,0,-39,-25,-444,-39,-1,-13,-129,0,0,0,0
00:20:15,0.0,0.04,0.05,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-39,-25,-445,-38,-1,-13,-129,0,0,0,0
00:20:45,0.0,0.09,0.05,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,125,0,-39,-24,-444,-38,-1,-13,-129,0,0,0,0
00:21:15,0.0,0.0,0.09,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-40,-24,-447,-38,-2,-14,-129,0,0,0,0
00:21:45,0.0,0.02,0.0,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,126,0,-38,-24,-443,-37,-1,-13,-129,0,0,0,0
00:22:15,0.01,0.0,0.06,30.6,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,126,1,-38,-24,-443,-37,0,-13,-130,0,0,0,0
00:22:45,0.0,0.01,0.05,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,126,1,-39,-24,-446,-37,-1,-13,-129,0,0,0,0
00:23:15,0.0,0.04,0.07,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,127,1,-38,-24,-443,-37,-2,-13,-129,0,0,0,0
00:23:45,0.02,0.01,0.08,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,1,-39,-24,-445,-37,-1,-13,-129,0,0,0,0
00:24:15,0.0,0.02,0.04,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,128,1,-39,-24,-443,-37,0,-13,-128,0,0,0,0
00:24:45,0.0,0.02,0.07,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,1,-38,-23,-444,-38,-1,-13,-129,0,0,0,0
00:25:15,0.0,0.03,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,127,1,-37,-24,-444,-38,-2,-13,-129,0,0,0,0
00:25:45,0.0,0.03,0.02,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-155,128,1,-38,-24,-442,-37,-1,-12,-129,0,0,0,0
00:26:15,0.0,0.02,0.06,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,128,1,-39,-24,-442,-38,-1,-13,-129,0,0,0,0
00:26:45,0.0,0.03,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,1,-37,-24,-444,-37,-1,-12,-128,0,0,0,0
00:27:15,0.0,0.0,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,2,-39,-24,-444,-38,-1,-13,-129,0,0,0,0
