time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:12:15,0.0,0.01,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,9,-23,-30,-455,-29,-1,-15,-122,0,0,0,0,
00:12:45,0.0,0.03,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-24,-30,-457,-29,-2,-15,-122,0,0,0,0,
00:13:15,0.0,0.03,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,85,9,-24,-30,-458,-29,-2,-15,-121,0,0,0,0,
00:13:45,0.0,0.0,0.02,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,84,9,-23,-30,-455,-29,-2,-15,-121,0,0,0,0,
00:14:15,0.0,0.04,0.06,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,84,10,-22,-29,-458,-28,-2,-15,-121,0,0,0,0,
00:14:45,0.02,0.04,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,84,10,-23,-29,-455,-29,-2,-15,-121,0,0,0,0,
00:15:15,0.0,0.0,0.02,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,10,-23,-29,-456,-29,-2,-15,-121,0,0,0,0,
00:15:45,0.0,0.01,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,85,10,-23,-29,-456,-28,-3,-14,-121,0,0,0,0,
00:16:15,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,10,-23,-29,-456,-28,-3,-15,-121,0,0,0,0,
00:16:45,0.0,0.01,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,84,10,-23,-30,-454,-29,-2,-15,-122,0,0,0,0,
00:17:15,0.0,0.01,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,10,-23,-29,-457,-28,-2,-15,-120,0,0,0,0,
00:17:45,0.0,0.02,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,84,10,-23,-30,-456,-29,-2,-15,-121,0,0,0,0,
00:18:15,0.0,0.0,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,84,9,-23,-31,-455,-29,-3,-16,-121,0,0,0,0,
00:18:45,0.02,0.01,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-24,-30,-454,-29,-3,-16,-121,0,0,0,0,
00:19:15,0.0,0.03,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,9,-23,-30,-457,-29,-3,-15,-121,0,0,0,0,
00:19:45,0.02,0.03,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,83,9,-24,-30,-454,-29,-1,-15,-122,0,0,0,0,
00:20:15,0.0,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-24,-29,-455,-28,-1,-15,-121,0,0,0,0,
00:20:45,0.0,0.04,0.03,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,84,10,-24,-29,-455,-28,-1,-15,-121,0,0,0,0,
00:21:15,0.0,0.01,0.0,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,85,10,-24,-29,-455,-30,-3,-16,-121,0,0,0,0,
00:21:45,0.0,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,84,10,-23,-29,-457,-28,-1,-14,-121,0,0,0,0,
00:22:15,0.0,0.0,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,85,10,-24,-31,-456,-29,-2,-16,-122,0,0,0,0,
00:22:45,0.0,0.01,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,83,10,-22,-29,-455,-29,-2,-15,-121,0,0,0,0,
00:23:15,0.0,0.01,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,10,-23,-30,-456,-28,-1,-15,-121,0,0,0,0,
00:23:45,0.0,0.03,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,84,10,-23,-30,-457,-28,-2,-15,-121,0,0,0,0,
00:24:15,0.0,0.02,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,85,10,-23,-29,-455,-29,-2,-15,-121,0,0,0,0,
00:24:45,0.0,0.02,0.04,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,85,10,-23,-29,-457,-29,-2,-15,-121,0,0,0,0,
00:25:15,0.0,0.01,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,85,10,-23,-30,-457,-28,-2,-15,-122,0,0,0,0,
00:25:45,0.0,0.0,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,86,10,-23,-30,-455,-28,-3,-15,-121,0,0,0,0,
00:26:15,0.0,0.03,0.05,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,85,10,-23,-29,-455,-28,-2,-15,-122,0,0,0,0,
00:26:45,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,85,10,-22,-29,-455,-29,-3,-15,-120,0,0,0,0,
00:27:15,0.0,0.05,0.04,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,86,10,-24,-30,-455,-28,-1,-15,-121,0,0,0,0,
00:27:45,0.0,0.0,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,85,10,-23,-30,-456,-29,-2,-15,-121,0,0,0,0,
00:28:15,0.0,0.02,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,85,10,-23,-30,-457,-29,-3,-15,-122,0,0,0,0,
00:28:45,0.0,0.03,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,84,11,-22,-29,-456,-29,-2,-15,-122,0,0,0,0,
00:29:15,0.0,0.03,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,85,10,-23,-30,-455,-29,-3,-15,-121,0,0,0,0,
00:29:45,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,85,10,-22,-30,-457,-29,-2,-15,-121,0,0,0,0,
00:30:15,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,85,11,-22,-29,-455,-29,-2,-15,-122,0,0,0,0,
00:30:45,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,85,10,-23,-30,-456,-28,-2,-15,-121,0,0,0,0,
00:31:15,0.0,0.02,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,85,11,-23,-30,-457,-28,-2,-15,-121,0,0,0,0,
00:31:45,0.01,0.0,0.0,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,86,11,-23,-30,-457,-29,-1,-15,-121,0,0,0,0,
00:32:15,0.0,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,86,10,-24,-31,-456,-29,-3,-15,-120,0,0,0,0,
00:32:45,0.0,0.0,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,86,10,-24,-30,-456,-29,-3,-15,-121,0,0,0,0,
