time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.03,0.03,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,120,10,-43,-29,-447,-58,3,-12,-121,0,0,0,0,
00:00:45,0.0,0.02,0.03,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-15,-119,121,10,-42,-29,-444,-59,5,-12,-122,0,0,0,0,
00:01:15,0.0,0.02,0.03,30.0,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,122,10,-43,-28,-445,-58,4,-11,-121,0,0,0,0,
00:01:45,0.0,0.03,0.03,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-15,-120,120,10,-43,-29,-446,-59,5,-12,-121,0,0,0,0,
00:02:15,0.0,0.03,0.02,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,120,10,-43,-29,-446,-59,5,-12,-121,0,0,0,0,
00:02:45,0.0,0.03,0.03,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-15,-119,121,10,-42,-29,-445,-58,3,-12,-121,0,0,0,0,
00:03:15,0.0,0.0,0.02,30.0,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-13,-120,121,10,-43,-28,-444,-58,4,-12,-121,0,0,0,0,
00:03:45,0.0,0.0,0.01,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,120,10,-43,-29,-445,-59,6,-12,-122,0,0,0,0,
00:04:15,0.0,0.03,0.03,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,121,11,-42,-29,-444,-59,4,-12,-121,0,0,0,0,
00:04:45,0.0,0.01,0.03,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,121,10,-43,-29,-444,-58,5,-12,-121,0,0,0,0,
00:05:15,0.0,0.02,0.06,29.8,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,120,10,-42,-28,-445,-58,3,-12,-122,0,0,0,0,
00:05:45,0.0,0.0,0.04,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,122,11,-42,-28,-443,-57,4,-12,-122,0,0,0,0,
00:06:15,0.0,0.0,0.03,30.0,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,120,11,-43,-29,-444,-58,5,-12,-121,0,0,0,0,
00:06:45,0.01,0.02,0.03,30.0,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-121,120,11,-42,-29,-445,-57,5,-11,-121,0,0,0,0,
00:07:15,0.0,0.02,0.04,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-15,-120,122,11,-43,-29,-447,-58,6,-12,-121,0,0,0,0,
00:07:45,0.0,0.01,0.01,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,121,11,-42,-29,-446,-59,4,-12,-121,0,0,0,0,
00:08:15,0.0,0.0,0.02,29.9,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-120,121,11,-42,-29,-444,-58,3,-12,-121,0,0,0,0,
00:08:45,0.0,0.01,0.04,30.0,0.388,0.243,0.684,0.67,0.057,0.244,0.179,0.152,0.252,0.135,0.135,0.065,0.061,0.3,0.231,-14,-119,121,12,-44,-29,-445,-58,5,-12,-121,0,0,0,0,
