time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.03,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,72,54,-19,-24,-451,-36,-1,-18,-128,0,0,0,0,
00:00:45,0.0,0.01,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,74,55,-19,-25,-452,-36,0,-18,-129,0,0,0,0,
00:01:15,0.0,0.02,0.06,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-137,74,55,-19,-24,-453,-36,0,-19,-128,0,0,0,0,
00:01:45,0.0,0.01,0.01,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,74,55,-20,-25,-451,-36,-1,-19,-129,0,0,0,0,
00:02:15,0.0,0.03,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-139,73,54,-20,-24,-453,-36,0,-19,-127,0,0,0,0,
00:02:45,0.0,0.01,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,74,55,-18,-25,-453,-36,0,-18,-127,0,0,0,0,
00:03:15,0.0,0.01,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,54,-20,-24,-453,-35,-2,-18,-128,0,0,0,0,
00:03:45,0.0,0.0,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,74,55,-20,-25,-456,-36,-1,-19,-127,0,0,0,0,
00:04:15,0.0,0.0,0.04,28.8,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-139,73,55,-20,-24,-453,-36,-1,-18,-128,0,0,0,0,
00:04:45,0.0,0.03,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,74,55,-19,-24,-451,-35,0,-19,-128,0,0,0,0,
00:05:15,0.0,0.03,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,73,55,-19,-25,-455,-37,-1,-18,-128,0,0,0,0,
00:05:45,0.0,0.0,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-139,75,55,-18,-24,-452,-36,-1,-18,-127,0,0,0,0,
00:06:15,0.0,0.0,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-139,75,55,-18,-25,-455,-36,-1,-19,-128,0,0,0,0,
00:06:45,0.0,0.0,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-136,75,56,-19,-24,-453,-36,-2,-18,-128,0,0,0,0,
00:07:15,0.0,0.0,0.06,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-139,73,56,-19,-24,-454,-36,-1,-18,-127,0,0,0,0,
00:07:45,0.0,0.01,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-137,74,55,-19,-24,-452,-35,0,-18,-128,0,0,0,0,
00:08:15,0.0,0.02,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-137,73,55,-20,-24,-454,-35,-1,-18,-128,0,0,0,0,
00:08:45,0.0,0.03,0.05,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,55,-20,-25,-452,-36,-2,-18,-128,0,0,0,0,
00:09:15,0.0,0.02,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,54,-18,-24,-451,-35,-1,-18,-127,0,0,0,0,
00:09:45,0.0,0.01,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,73,54,-20,-23,-453,-36,0,-18,-127,0,0,0,0,
00:10:15,0.03,0.03,0.05,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,74,54,-20,-25,-453,-35,-1,-18,-128,0,0,0,0,
00:10:45,0.0,0.02,0.06,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,73,55,-19,-24,-454,-35,0,-18,-128,0,0,0,0,
00:11:15,0.0,0.03,0.06,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,72,54,-19,-24,-452,-35,-1,-18,-127,0,0,0,0,
00:11:45,0.0,0.02,0.01,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,73,54,-19,-24,-453,-35,0,-18,-127,0,0,0,0,
00:12:15,0.0,0.03,0.01,28.8,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,54,-20,-24,-453,-36,-1,-18,-128,0,0,0,0,
00:12:45,0.0,0.0,0.02,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,54,-19,-25,-454,-35,0,-18,-127,0,0,0,0,
00:13:15,0.0,0.0,0.09,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,54,-19,-25,-452,-35,-2,-19,-128,0,0,0,0,
00:13:45,0.0,0.03,0.07,28.8,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,74,54,-20,-25,-452,-36,-2,-18,-128,0,0,0,0,
00:14:15,0.0,0.0,0.07,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,74,55,-20,-24,-452,-36,-1,-18,-128,0,0,0,0,
00:14:45,0.0,0.04,0.01,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,55,-19,-25,-455,-35,-1,-18,-127,0,0,0,0,
00:15:15,0.0,0.02,0.05,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-137,73,55,-19,-24,-453,-35,0,-18,-127,0,0,0,0,
00:15:45,0.0,0.03,0.01,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,74,55,-18,-24,-451,-35,0,-18,-128,0,0,0,0,
00:16:15,0.0,0.0,0.03,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,74,55,-19,-24,-452,-35,0,-18,-128,0,0,0,0,
00:16:45,0.0,0.03,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,75,56,-20,-24,-452,-36,0,-18,-128,0,0,0,0,
00:17:15,0.0,0.03,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,75,55,-19,-24,-453,-35,0,-18,-127,0,0,0,0,
00:17:45,0.0,0.03,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-139,74,55,-20,-24,-453,-36,0,-18,-127,0,0,0,0,
00:18:15,0.0,0.0,0.02,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,74,55,-20,-24,-451,-36,0,-18,-126,0,0,0,0,
00:18:45,0.01,0.03,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-139,74,55,-19,-24,-452,-36,0,-18,-128,0,0,0,0,
00:19:15,0.0,0.03,0.02,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,75,55,-18,-24,-450,-35,0,-18,-127,0,0,0,0,
00:19:45,0.0,0.03,0.03,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,74,55,-19,-24,-452,-35,0,-18,-127,0,0,0,0,
00:20:15,0.0,0.01,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,74,55,-18,-24,-453,-36,0,-18,-128,0,0,0,0,
00:20:45,0.0,0.01,0.04,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,73,55,-19,-24,-451,-35,0,-19,-127,0,0,0,0,
00:21:15,0.0,0.01,0.01,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,55,-18,-24,-451,-35,0,-18,-127,0,0,0,0,
00:21:45,0.0,0.03,0.06,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,73,54,-18,-24,-451,-35,0,-18,-127,0,0,0,0,
00:22:15,0.0,0.02,0.03,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-136,74,55,-19,-25,-455,-36,1,-18,-128,0,0,0,0,
00:22:45,0.0,0.03,0.02,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,75,54,-19,-24,-455,-35,-1,-18,-128,0,0,0,0,
00:23:15,0.0,0.0,0.03,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,73,54,-19,-24,-454,-36,0,-19,-127,0,0,0,0,
00:23:45,0.0,0.03,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-138,73,54,-20,-24,-452,-35,0,-18,-127,0,0,0,0,
00:24:15,0.0,0.0,0.04,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,73,54,-20,-24,-452,-36,0,-18,-127,0,0,0,0,
00:24:45,0.0,0.02,0.02,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-137,73,54,-19,-24,-452,-35,0,-18,-128,0,0,0,0,
00:25:15,0.0,0.0,0.02,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-139,74,54,-19,-24,-451,-36,0,-18,-128,0,0,0,0,
00:25:45,0.0,0.02,0.04,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,73,55,-19,-24,-453,-35,0,-18,-128,0,0,0,0,
00:26:15,0.0,0.0,0.05,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-137,75,55,-18,-24,-454,-36,0,-18,-127,0,0,0,0,
00:26:45,0.0,0.01,0.06,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,74,55,-19,-25,-452,-36,-1,-19,-128,0,0,0,0,
00:27:15,0.0,0.0,0.03,28.7,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-15,-137,73,54,-19,-24,-452,-34,0,-18,-129,0,0,0,0,
00:27:45,0.03,0.02,0.02,28.6,0.386,0.237,0.679,0.67,0.056,0.24,0.179,0.149,0.218,0.135,0.135,0.066,0.057,0.17,0.241,-16,-138,73,55,-20,-25,-451,-36,0,-19,-128,0,0,0,0,
