time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.0,0.03,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-152,106,21,-17,-20,-447,-34,6,-16,-108,0,0,0,0,
00:00:45,0.0,0.0,0.03,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-151,107,21,-18,-21,-447,-34,6,-16,-108,0,0,0,0,
00:01:15,0.0,0.04,0.01,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-151,106,21,-16,-21,-447,-33,5,-16,-108,0,0,0,0,
00:01:45,0.0,0.01,0.02,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-152,105,21,-17,-22,-446,-34,4,-16,-109,0,0,0,0,
00:02:15,0.0,0.01,0.03,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-150,106,21,-17,-21,-447,-33,7,-16,-108,0,0,0,0,
00:02:45,0.02,0.03,0.04,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-152,105,21,-17,-22,-449,-34,6,-16,-108,0,0,0,0,
00:03:15,0.0,0.01,0.03,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-151,106,21,-18,-21,-446,-34,6,-16,-108,0,0,0,0,
00:03:45,0.0,0.06,0.04,29.8,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-151,105,21,-17,-20,-449,-33,5,-16,-108,0,0,0,0,
00:04:15,0.0,0.0,0.05,29.9,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-152,106,21,-16,-21,-447,-34,6,-16,-107,0,0,0,0,
00:04:45,0.0,0.02,0.01,29.8,0.387,0.236,0.68,0.67,0.062,0.24,0.178,0.152,0.183,0.136,0.136,0.07,0.048,0.249,0.254,-14,-151,106,21,-16,-21,-447,-34,6,-16,-107,0,0,0,0,
