time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.06,0.02,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,73,31,-26,-44,-450,-44,9,-17,-123,0,0,0,0,
00:00:45,0.0,0.06,0.03,29.5,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,32,-26,-43,-451,-44,9,-17,-122,0,0,0,0,
00:01:15,0.0,0.03,0.04,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,73,31,-26,-44,-451,-44,9,-17,-123,0,0,0,0,
00:01:45,0.0,0.0,0.01,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,32,-26,-45,-451,-45,9,-17,-122,0,0,0,0,
00:02:15,0.0,0.02,0.04,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-147,75,32,-26,-44,-451,-45,9,-18,-122,0,0,0,0,
00:02:45,0.0,0.03,0.03,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,31,-26,-44,-453,-45,11,-17,-123,0,0,0,0,
00:03:15,0.0,0.0,0.02,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,73,32,-26,-44,-451,-45,10,-17,-122,0,0,0,0,
00:03:45,0.0,0.02,0.02,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,73,32,-25,-44,-451,-45,9,-17,-122,0,0,0,0,
00:04:15,0.03,0.1,0.03,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-144,74,32,-26,-44,-453,-44,10,-17,-122,0,0,0,0,
00:04:45,0.0,0.0,0.03,29.5,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-12,-146,73,31,-26,-45,-451,-45,9,-17,-122,0,0,0,0,
00:05:15,0.0,0.03,0.03,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-12,-144,73,32,-26,-45,-452,-46,10,-17,-123,0,0,0,0,
00:05:45,0.0,0.01,0.02,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,31,-25,-43,-453,-44,9,-16,-122,0,0,0,0,
00:06:15,0.0,0.03,0.03,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,73,32,-25,-43,-453,-44,9,-16,-122,0,0,0,0,
00:06:45,0.0,0.06,0.04,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-12,-146,74,32,-26,-45,-454,-45,10,-16,-121,0,0,0,0,
00:07:15,0.01,0.02,0.0,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-145,74,32,-26,-44,-451,-44,10,-16,-121,0,0,0,0,
00:07:45,0.0,0.02,0.01,29.5,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,32,-25,-44,-452,-45,10,-18,-122,0,0,0,0,
00:08:15,0.0,0.03,0.04,29.7,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,32,-24,-44,-452,-44,9,-18,-122,0,0,0,0,
00:08:45,0.0,0.03,0.04,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,75,32,-26,-43,-453,-45,11,-18,-122,0,0,0,0,
00:09:15,0.0,0.04,0.03,29.6,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-146,74,32,-25,-43,-453,-45,10,-18,-121,0,0,0,0,
00:09:45,0.0,0.02,0.02,29.5,0.391,0.238,0.685,0.67,0.057,0.243,0.181,0.153,0.252,0.136,0.136,0.062,0.057,0.229,0.252,-13,-145,76,32,-26,-44,-453,-45,10,-18,-122,0,0,0,0,
